variable_name,loss_train,loss_test,loss_validate,train_corr,test_corr,validate_corr 
SUICIDE,nan,nan,nan,nan,nan,nan
IQ,nan,nan,nan,nan,nan,nan
AMBIG,nan,nan,nan,nan,nan,nan
EGODYST,nan,nan,nan,nan,nan,nan
PAG,nan,nan,nan,nan,nan,nan
PRO,nan,nan,nan,nan,nan,nan
SPL,33.222982572305085,34.50028968626453,33.44006203066918,0.7318811204048067,0.7287944580729947,0.6759244375989457
WDR,nan,nan,nan,nan,nan,nan
CON_1,43.833318590877035,44.48345067424159,43.583546669252456,0.671698112992435,0.6152056047077311,0.6801256825277622
DSC,nan,nan,nan,nan,nan,nan
FAN,51.95530758722864,49.65564438892949,54.34069697606948,0.6699596843618243,0.6941128623761714,0.7443735321227514
OMN,39.1587317746095,36.02972322894681,41.48569739249445,0.7631946068126965,0.7671844324048379,0.8236877946812715
REP,nan,nan,nan,nan,nan,nan
SOM,nan,nan,nan,nan,nan,nan
SUB,28.181968735203597,26.211214742352887,26.481428700108683,0.6640634939564433,0.7190666060541135,0.6426685385754873
UND,nan,nan,nan,nan,nan,nan
ALT,nan,nan,nan,nan,nan,nan
HUM,nan,nan,nan,nan,nan,nan
IDL,nan,nan,nan,nan,nan,nan
RFM,nan,nan,nan,nan,nan,nan
DN,nan,nan,nan,nan,nan,nan
INT,45.473487268313015,49.97882564606205,48.73448162694131,0.6465959010710889,0.6340642096232314,0.7392501820746363
SUP,46.17039417016386,41.11158154087682,49.212909098594416,0.6123320509394855,0.7333832960990216,0.5502898495590998
ANT,nan,nan,nan,nan,nan,nan
ISO,36.42122054615846,32.084580128009506,34.67023052359527,0.7183408080076386,0.6084973737489443,0.6616219819774296
