,WITHD,0
301,46.38888889,45.80147
302,46.0,46.264576
303,54.0,46.58409
304,46.38888889,54.372345
305,51.0,49.53649
306,53.0,51.50029
307,71.0,54.763844
308,34.0,46.53888
309,76.0,53.18789
310,65.0,50.10907
311,51.0,50.091763
312,53.0,53.336475
313,43.0,45.5704
314,49.16666667,50.81549
315,51.25,46.757027
316,45.0,45.411285
317,51.0,52.647556
318,60.0,59.27896
319,54.0,53.173946
320,62.0,54.874645
321,67.0,52.606632
322,47.0,46.756306
323,37.66666667,41.08487
324,37.66666667,50.908195
325,42.0,51.38421
326,67.0,44.875225
327,35.0,45.531204
328,51.25,49.146465
329,35.0,44.157772
330,49.0,47.779476
331,49.0,55.867252
332,43.0,49.19802
333,52.5,50.13441
334,69.66666667,56.116116
335,40.0,53.102467
336,59.75,55.698536
337,48.0,50.861023
338,46.66666667,49.52697
339,53.0,51.386097
340,43.0,47.120636
341,57.0,50.327328
342,95.0,50.722195
343,69.0,56.218765
344,56.0,50.86988
345,57.0,52.23209
346,54.0,48.904972
347,53.55555556,52.27152
348,65.25,51.902523
349,53.0,53.28999
350,35.0,46.01739
351,53.22222222,53.082314
352,43.0,43.38417
353,46.38888889,52.634365
354,47.0,46.886375
355,37.0,51.116634
356,54.25,50.13358
357,70.0,51.462795
358,46.0,53.59472
359,35.0,51.19269
360,67.0,56.14884
361,51.0,50.48262
362,40.0,50.036793
363,45.0,46.28858
364,56.0,54.877617
365,46.0,46.75123
366,37.91666667,50.265434
367,37.27777778,45.40321
368,49.16666667,48.27089
369,38.0,51.979904
370,43.0,45.09044
371,36.0,41.75191
372,72.0,52.348454
373,62.33333333,50.96774
374,74.0,50.79432
375,78.0,46.09215
376,68.0,47.714703
377,46.0,45.92039
378,43.125,54.121143
379,38.0,44.11328
380,58.0,58.005924
381,46.0,53.262157
382,42.0,48.554447
383,48.33333333,49.166805
384,40.0,48.823093
385,62.33333333,54.52306
386,51.36111111,51.511307
387,56.0,48.85281
388,51.5,52.856945
389,87.38888889,55.31834
390,35.0,47.744587
391,35.0,47.812183
392,51.0,48.98873
393,43.0,48.798046
394,51.0,51.53637
395,43.0,48.697605
396,70.0,53.237453
397,46.0,49.23856
398,69.66666667,53.21086
399,44.0,46.4868
400,59.0,49.78236
401,54.0,52.588223
402,48.75,46.24255
403,42.58333333,44.113415
404,60.0,47.488197
405,53.0,46.769157
406,38.0,52.625984
407,58.0,52.073204
408,81.0,50.229946
409,40.0,52.748222
410,43.0,43.112995
411,51.52777778,51.737225
412,43.0,47.64356
413,43.0,47.632565
414,67.0,49.23348
415,57.88888889,48.439938
416,50.0,48.309628
