,RESTRICTED_AFFECTIVITY,0
374,0.0,11.65655
375,1.0,13.934429
376,1.75,14.438624
377,1.25,11.524095
378,0.75,15.691355
379,0.25,7.7842064
380,0.0,4.0000534
381,1.0,10.724906
382,0.25,8.132717
383,0.75,7.507598
384,0.5,9.624667
385,1.25,6.995409
386,1.25,14.956584
387,0.75,9.495553
388,0.0,5.722869
389,0.0,7.5280876
390,0.0,5.8926873
391,0.75,9.472286
392,0.0,7.872739
393,1.0,9.7164
394,0.0,8.069315
395,0.0,6.3134375
396,0.0,13.53367
397,0.0,7.9821463
398,0.25,8.106118
399,0.75,6.9075828
400,1.0,11.534697
401,1.25,11.608376
402,0.0,10.455206
403,0.25,9.278624
404,0.0,9.753612
405,1.0,7.937843
406,1.5,14.557458
407,1.25,5.376355
408,1.25,10.977263
409,1.5,13.334473
410,2.0,17.779392
411,1.75,13.650145
412,2.75,11.410433
413,0.0,9.818389
414,0.0,16.976364
415,0.75,12.5938835
