,DSC,0
187,80.0,74.118515
188,20.0,43.413475
189,55.0,46.479855
190,40.0,55.442688
191,80.0,55.19642
192,80.0,63.059418
193,95.0,69.45561
194,85.0,61.39311
195,80.0,61.5027
196,75.0,52.063126
197,40.0,47.869717
198,85.0,66.57865
199,55.0,67.52987
200,40.0,50.99318
201,20.0,43.645996
202,85.0,64.15541
203,55.0,57.61491
204,55.0,61.56645
205,40.0,52.664303
206,75.0,55.272068
207,100.0,59.7847
208,5.0,40.417152
209,5.0,45.51438
210,55.0,64.91966
211,40.0,48.843216
212,20.0,30.3447
213,55.0,54.120407
214,95.0,76.71904
215,5.0,51.709053
216,95.0,59.913757
217,100.0,52.668926
218,5.0,64.243256
219,40.0,65.067
220,55.0,48.381435
221,40.0,35.172535
222,20.0,44.636444
223,45.0,46.668747
224,80.0,57.9473
225,5.0,54.725838
226,5.0,36.573933
227,40.0,60.200565
228,55.0,51.185963
229,5.0,55.387535
230,5.0,48.350468
231,55.0,63.411156
232,5.0,49.87118
233,75.0,57.95681
234,40.0,39.509415
235,5.0,41.89328
236,65.0,65.808586
237,5.0,34.910828
238,90.0,69.4656
239,20.0,54.318916
240,40.0,43.03544
241,80.0,60.539146
242,55.0,46.47947
243,55.0,51.549126
244,75.0,68.08831
245,55.0,59.69624
246,80.0,64.65859
247,85.0,57.104115
248,20.0,55.448338
249,80.0,52.208275
250,5.0,50.775524
251,45.0,58.409485
252,20.0,48.261208
253,65.0,63.03004
254,40.0,53.4709
255,40.0,72.92609
256,55.0,65.65753
257,100.0,56.968594
258,85.0,66.75536
259,5.0,50.104233
260,20.0,47.31578
261,95.0,67.7756
262,20.0,53.56101
263,40.0,48.784492
264,75.0,55.840424
265,40.0,75.26604
266,20.0,50.627064
267,25.0,50.089195
268,5.0,39.514164
269,100.0,50.253212
270,45.0,60.03003
271,40.0,54.371403
272,85.0,58.5514
273,80.0,60.639645
274,85.0,53.13736
275,85.0,63.174732
276,5.0,46.039574
277,20.0,54.66869
278,20.0,49.580315
279,40.0,59.68405
280,100.0,57.97874
281,55.0,59.648293
282,40.0,44.710365
283,95.0,70.37242
284,40.0,51.049328
285,25.0,42.427147
286,75.0,62.90775
287,55.0,49.38165
288,5.0,48.41055
289,20.0,50.572006
290,80.0,84.382355
291,55.0,70.07352
292,65.0,49.72452
293,95.0,64.91323
294,100.0,63.958176
295,5.0,45.68467
296,55.0,59.116627
297,55.0,55.11742
298,55.0,65.65136
299,45.0,52.829422
300,5.0,50.86216
301,5.0,59.78572
302,20.0,35.027504
303,55.0,63.288727
304,55.0,42.973415
305,5.0,44.458984
306,40.0,50.398163
307,5.0,59.26709
308,85.0,58.15769
309,55.0,58.62161
310,80.0,63.675587
311,20.0,38.26529
312,80.0,57.637257
313,5.0,54.62356
314,55.0,60.19586
315,25.0,36.62887
316,45.0,48.91503
317,20.0,62.069225
318,5.0,47.408966
319,55.0,48.1907
320,45.0,48.303024
321,20.0,61.766445
322,95.0,54.05078
323,5.0,45.170902
324,20.0,55.405212
325,75.0,53.510326
326,5.0,49.631954
327,65.0,58.596493
328,40.0,52.04189
329,55.0,58.54629
330,40.0,51.67659
331,55.0,47.12023
332,5.0,42.218006
333,95.0,44.45889
334,5.0,40.68376
335,85.0,55.10793
336,45.0,66.06555
337,95.0,62.700085
338,40.0,54.716377
339,100.0,73.705086
340,75.0,49.763405
341,55.0,48.509132
342,65.0,66.78285
343,55.0,43.871613
344,5.0,51.001846
345,80.0,64.81464
346,80.0,76.62743
347,5.0,58.352222
348,25.0,48.640327
349,100.0,52.737347
350,40.0,53.17076
351,20.0,57.70133
352,40.0,60.490574
353,75.0,58.347637
354,55.0,61.806076
355,100.0,57.966164
356,75.0,59.889008
357,45.0,57.139626
358,20.0,49.343826
359,5.0,45.40091
360,5.0,44.014893
361,5.0,43.75118
362,20.0,49.246105
363,80.0,72.42902
364,100.0,60.59477
365,45.0,58.197132
366,40.0,60.334007
367,95.0,56.212337
368,5.0,58.02905
369,45.0,52.178436
370,75.0,57.086544
371,75.0,60.307743
372,40.0,46.557632
373,40.0,46.692757
374,100.0,52.026955
375,75.0,51.370697
