,ISO,0
362,30.0,32.289074
363,45.0,41.05469
364,25.0,36.84828
365,40.0,36.513294
366,75.0,57.02908
367,15.0,45.23093
368,15.0,42.831696
369,85.0,55.369186
370,45.0,44.431976
371,85.0,46.437664
372,30.0,29.390583
373,35.0,34.893143
374,55.0,50.520336
375,75.0,42.12782
376,15.0,29.812603
377,40.0,38.089645
378,30.0,53.931355
379,15.0,41.399185
380,15.0,47.104145
381,60.0,44.30932
382,40.0,42.316036
383,65.0,58.143917
384,65.0,56.136024
385,80.0,48.053516
386,95.0,41.059135
387,15.0,46.56412
388,80.0,30.000172
389,15.0,32.847565
390,55.0,41.796093
391,40.0,36.69088
392,35.0,34.65878
393,80.0,44.210003
394,75.0,49.007286
395,15.0,41.825745
396,15.0,37.52495
397,25.0,39.49738
398,55.0,60.689945
399,15.0,37.98395
400,55.0,45.441704
401,80.0,34.81242
402,90.0,53.943363
403,65.0,58.536507
404,15.0,46.38485
405,35.0,32.2876
406,90.0,48.999165
407,35.0,30.668203
408,80.0,39.815666
409,15.0,24.377092
410,15.0,44.105637
411,30.0,36.58069
412,60.0,40.203415
413,80.0,37.289917
414,75.0,49.857197
415,80.0,50.7355
