,HOSTILITY,0
202,1.0,23.773745
203,2.0,22.636562
204,0.0,22.017107
205,0.5,24.878813
206,1.25,19.137264
207,1.5,23.6389
208,2.0,26.196785
209,1.25,27.152405
210,1.75,21.880936
211,0.25,20.693743
212,0.0,23.90807
213,0.0,20.464956
214,1.75,22.495913
215,0.75,16.068556
216,0.0,22.092533
217,1.0,20.065893
218,1.5,23.441967
219,1.25,23.644701
220,0.25,25.267256
221,1.75,24.536442
222,0.0,20.860355
223,0.75,20.809855
224,0.0,17.837645
225,1.0,21.618578
226,0.5,19.078909
227,2.25,19.864819
228,2.5,23.742569
229,0.0,21.704847
230,0.0,18.342846
231,1.75,24.85392
232,1.0,24.129873
233,0.0,19.174833
234,1.5,19.604095
235,0.5,23.072578
236,0.0,22.519897
237,0.25,19.788906
238,1.0,21.957233
239,0.25,21.05273
240,1.5,22.252392
241,0.75,22.355042
242,0.0,19.97468
243,1.25,25.626614
244,2.25,20.072952
245,1.5,22.258934
246,1.25,27.497082
247,0.0,20.262608
248,0.5,19.763319
249,0.75,21.554657
250,0.5,18.838531
251,0.5,19.992107
252,2.75,26.511261
253,0.75,17.528027
254,0.0,21.076788
255,0.25,21.176573
256,0.0,16.55822
257,1.25,21.518642
258,1.5,21.651564
259,1.75,22.170486
260,1.5,24.422997
261,0.5,15.281855
262,2.0,24.05088
263,0.0,17.360859
264,1.75,22.61579
265,0.5,22.137941
266,0.0,19.186438
267,3.0,28.536213
268,1.0,21.925516
269,0.0,22.563763
270,0.0,17.89018
271,0.5,19.999374
272,1.0,19.71579
273,0.0,25.957644
274,0.0,18.157246
275,0.25,20.38185
276,0.0,21.69976
277,0.25,18.762766
278,1.25,19.860437
279,0.0,21.38973
280,0.5,16.976505
281,0.25,20.203152
282,0.0,23.685108
283,0.0,22.664652
284,0.0,18.966846
285,0.0,18.764793
286,1.0,22.313026
287,2.0,25.287374
288,1.5,24.311958
289,0.75,17.39593
290,2.25,26.935078
291,0.75,20.813522
292,1.0,24.668785
293,2.0,22.582909
294,2.5,22.307495
295,0.0,20.656048
296,0.0,18.532967
297,0.25,21.71794
298,0.0,18.806318
299,0.25,17.446854
300,1.0,22.022144
301,0.25,22.388048
302,1.75,21.608622
303,0.0,22.6536
304,0.0,15.979638
305,1.25,22.697903
306,0.25,26.187046
307,0.25,18.717579
308,0.0,20.845772
309,0.5,20.526127
310,0.0,20.972506
311,1.5,22.146019
312,0.5,23.886044
313,0.25,19.981129
314,2.5,26.59542
315,0.5,20.715672
316,0.5,20.067533
317,0.5,21.700552
318,0.0,17.816223
319,0.0,17.518713
320,1.25,21.389812
321,0.0,20.207077
322,0.25,18.787794
323,1.5,24.473215
324,0.75,21.826113
325,1.0,22.808332
326,1.0,20.35022
327,1.75,22.903503
328,0.25,20.161585
329,0.75,20.160902
330,1.0,22.361889
331,1.0,20.500587
332,0.0,20.7425
333,0.5,18.876295
334,1.5,21.165667
335,1.75,24.41584
336,0.75,23.499865
337,0.0,19.885181
338,0.0,19.018143
339,1.5,26.071424
340,0.0,21.765165
341,0.5,17.373705
342,0.0,17.377787
343,0.0,17.592052
344,2.25,24.529148
345,2.25,25.984486
346,0.0,19.566376
347,0.0,17.799953
348,0.0,16.678558
349,0.0,20.36504
350,0.0,18.236744
351,0.5,20.189625
352,1.0,21.935589
353,1.75,23.94711
354,0.0,19.258448
355,1.5,21.894001
356,0.5,20.902636
357,2.0,21.815292
358,0.0,19.110048
359,0.75,22.273422
360,0.0,21.636166
361,2.0,22.454088
362,0.25,22.529713
363,0.0,20.034678
364,1.25,22.340477
365,0.75,22.881382
366,1.75,18.799404
367,0.0,19.692268
368,1.0,23.96662
369,0.0,22.876013
370,0.5,19.455057
371,0.75,23.2423
372,1.0,20.411797
373,0.75,23.36844
374,1.0,21.590263
375,1.25,23.380623
376,1.5,21.393457
377,0.25,22.3839
378,0.0,20.489473
379,2.0,25.314846
380,2.0,23.989025
381,2.0,24.049482
382,0.5,21.615976
383,0.0,20.146183
384,0.5,19.142536
385,1.0,26.1358
386,0.0,18.26593
387,0.25,20.734652
388,0.0,19.133299
389,1.5,21.762964
390,0.0,19.404705
391,2.75,28.287872
392,1.0,24.836227
393,0.75,19.63121
394,0.25,19.756264
395,1.25,24.44349
396,1.5,19.067932
397,1.25,27.090588
398,0.25,18.461555
399,0.75,23.783081
400,0.75,19.919998
401,0.0,20.291517
402,1.75,20.946218
403,2.25,21.698471
404,2.5,25.89702
405,1.25,25.302114
406,0.0,16.978163
407,0.0,20.80816
408,3.0,25.924614
409,0.25,17.784868
410,0.0,19.218334
411,0.0,21.864037
412,1.75,21.818792
413,0.0,18.504217
414,1.5,24.140354
415,1.0,23.636093
