,WITHDRAWAL,0
155,0.75,25.894274
156,0.5,26.601683
157,1.0,26.367472
158,0.25,24.936995
159,0.0,22.607775
160,0.0,26.268896
161,0.25,27.11083
162,0.0,26.66627
163,0.5,26.559002
164,0.75,23.421822
165,2.0,28.92446
166,1.0,27.288877
167,0.5,25.865862
168,0.25,29.24552
169,0.25,27.084757
170,1.5,27.01245
171,0.25,24.249336
172,1.0,27.797123
173,1.5,29.148333
174,0.0,24.987677
175,0.0,25.212408
176,0.25,27.000692
177,0.0,25.844648
178,0.0,25.068552
179,0.0,25.030882
180,2.25,29.685062
181,0.0,24.74109
182,2.0,30.177794
183,0.75,26.254591
184,0.0,27.131433
185,0.0,23.457418
186,0.5,22.709345
187,0.0,27.05416
188,0.25,27.252842
189,0.0,27.931978
190,0.0,27.76467
191,0.0,32.35014
192,1.5,27.777033
193,0.75,25.459734
194,0.0,21.804289
195,0.5,22.710325
196,0.25,24.080616
197,2.5,27.362724
198,0.0,22.62337
199,0.25,26.93516
200,0.0,24.188667
201,0.0,24.925776
202,0.0,20.422617
203,0.0,24.05195
204,0.0,22.232458
205,1.5,28.993404
206,3.0,31.601164
207,0.0,24.684511
208,0.75,27.609823
209,0.75,23.611387
210,2.0,28.096113
211,1.75,30.82958
212,0.25,25.892004
213,1.0,26.925045
214,0.75,27.977232
215,0.0,23.283968
216,0.5,29.42574
217,1.25,29.472197
218,0.25,25.643188
219,0.0,26.212801
220,0.0,27.23848
221,1.0,30.373043
222,0.0,28.71504
223,0.0,23.293009
224,0.25,25.359303
225,2.25,32.707893
226,0.0,24.844202
227,0.0,23.504114
228,1.5,28.17784
229,1.0,22.791641
230,0.0,26.499548
231,2.25,29.796959
232,0.75,23.829538
233,1.25,28.018888
234,0.0,27.103085
235,0.75,25.745901
236,0.0,23.92447
237,0.0,25.287222
238,0.25,25.090052
239,1.75,28.226435
240,0.0,32.439713
241,0.75,27.536383
242,0.5,22.931364
243,0.0,27.757576
244,0.0,18.678308
245,0.0,27.990469
246,0.0,26.93948
247,0.75,28.772665
248,1.0,27.217932
249,0.0,22.695501
250,0.0,22.49032
251,0.0,22.734156
252,0.0,23.025917
253,0.0,19.659906
254,1.25,29.744562
255,0.5,21.376852
256,1.0,28.638922
257,1.0,26.546106
258,1.75,29.794653
259,0.0,23.596111
260,0.0,22.017181
261,0.25,25.310171
262,1.75,28.83586
263,0.25,26.09474
264,0.0,28.538046
265,0.0,25.547499
266,1.0,25.273668
267,0.0,22.826132
268,0.0,22.437418
269,0.0,25.252596
270,2.5,26.753168
271,0.0,30.907854
272,0.25,25.271364
273,0.0,24.95201
274,0.0,28.809008
275,0.25,24.551542
276,1.5,28.4246
277,0.75,25.866655
278,1.75,28.662264
279,0.5,24.232908
280,0.5,28.917667
281,0.5,25.352114
282,0.5,27.405516
283,0.0,27.78829
284,0.25,26.710537
285,0.5,26.734762
286,0.0,25.781155
287,0.25,28.061129
288,0.0,24.624296
289,0.75,25.390886
290,0.0,24.518946
291,0.75,27.918947
292,1.0,30.78681
293,0.0,23.8446
294,0.0,24.403917
295,0.0,24.33026
296,2.5,26.547073
297,0.0,26.564121
298,0.75,27.018963
299,0.75,23.16381
300,0.0,17.161137
301,1.75,27.420893
302,0.0,22.87193
303,0.0,26.254158
304,2.0,29.73873
305,1.5,26.025602
306,0.0,24.081617
307,0.0,32.346043
308,0.0,26.354353
309,0.0,23.204414
310,0.0,25.539171
311,0.5,25.030354
312,0.5,25.659544
313,0.0,24.827211
314,0.5,24.330389
315,0.5,24.728046
316,1.5,32.650513
317,1.25,26.878769
318,0.0,22.704636
319,0.0,25.317781
320,0.0,23.253237
321,0.0,24.706064
322,1.0,30.099138
323,1.75,28.540083
324,1.25,27.017622
325,0.0,21.887266
326,0.25,21.25219
327,0.25,24.502928
328,0.25,22.421051
329,0.25,23.683817
330,0.0,24.851957
331,0.0,23.691942
332,0.25,26.896082
333,0.75,26.704733
334,0.25,24.661407
335,2.25,28.451082
336,0.25,30.661531
337,0.0,24.01303
338,0.0,26.053709
339,0.75,28.125994
340,0.0,20.435377
341,0.0,23.167068
342,1.0,26.249197
343,0.0,19.662975
344,0.0,27.677664
345,0.5,27.769526
346,1.25,26.518421
347,0.75,25.076954
348,1.0,28.254023
349,0.0,25.34131
350,1.5,34.039124
351,2.25,30.266672
352,0.25,23.849522
353,0.0,23.448935
354,0.5,24.19859
355,1.5,27.442255
356,0.25,26.717577
357,0.0,27.836393
358,0.5,27.75794
359,0.0,22.790426
360,0.5,25.189777
361,0.0,22.570583
362,0.0,25.800892
363,0.0,27.605534
364,0.0,24.363117
365,0.25,23.839336
366,1.0,26.890354
367,0.0,29.011297
368,0.0,20.208681
369,0.75,24.654491
370,3.0,31.989252
371,1.5,25.900946
372,0.0,26.06286
373,0.75,27.565626
374,0.0,24.715517
375,0.0,24.98041
376,0.0,27.730062
377,0.0,22.211687
378,0.0,23.90161
379,0.5,26.47299
380,1.25,26.922394
381,1.5,23.594229
382,0.5,26.375631
383,1.0,27.589943
384,2.75,32.917244
385,0.0,21.66309
386,0.5,24.724463
387,1.0,25.282728
388,0.5,28.434874
389,0.75,26.28347
390,1.0,29.34371
391,0.0,25.48188
392,0.0,29.761848
393,2.25,30.143698
394,2.25,28.980465
395,0.25,19.134249
396,0.0,24.032381
397,0.0,27.923954
398,0.25,27.31161
399,1.5,29.036161
400,0.0,25.290571
401,0.5,26.976547
402,0.0,25.477823
403,0.0,25.40124
404,0.0,20.61551
405,0.0,22.081903
406,2.25,30.865248
407,2.5,32.223137
408,0.0,21.45779
409,0.0,22.432205
410,0.0,25.444605
411,0.5,25.617123
412,0.0,22.361628
413,1.25,30.636198
414,0.5,23.531908
415,0.0,21.707062
