,HYPER,0
327,51.33333333,50.65277
328,46.0,47.886154
329,56.0,51.22298
330,58.0,51.64869
331,35.0,44.99403
332,35.0,44.282337
333,55.66666667,54.622044
334,54.0,47.56479
335,49.0,49.510822
336,52.0,48.272655
337,38.54166667,43.39139
338,63.33333333,47.66
339,54.0,47.73476
340,56.0,48.243046
341,54.0,53.015
342,53.0,53.04042
343,61.0,53.82406
344,42.0,42.93168
345,47.0,46.902695
346,35.0,46.721214
347,50.83333333,53.520935
348,35.0,38.369465
349,54.33333333,50.93375
350,44.625,48.66325
351,46.0,47.011215
352,67.0,50.728237
353,38.16666667,42.532627
354,39.0,43.087513
355,44.0,47.61704
356,41.0,43.187008
357,63.0,46.44481
358,42.0,43.192226
359,63.0,48.217976
360,38.0,39.360577
361,46.66666667,47.896675
362,59.0,50.35094
363,39.0,49.499897
364,57.0,48.568256
365,42.0,50.717487
366,42.75,46.862846
367,59.0,50.177288
368,54.25,46.668724
369,50.83333333,46.08961
370,48.0,48.755848
371,54.0,52.81855
372,46.0,46.12748
373,48.0,47.709343
374,37.0,50.31255
375,49.16666667,49.606552
376,46.0,46.25269
377,48.0,49.361
378,56.0,48.219624
379,51.0,52.270355
380,65.0,50.76831
381,44.0,44.296352
382,38.0,48.825653
383,54.0,49.976234
384,71.0,49.497696
385,51.0,45.559303
386,45.0,45.63264
387,57.0,50.50319
388,35.0,47.974895
389,39.0,42.169567
390,51.0,48.72855
391,39.4,42.055565
392,35.0,42.705723
393,51.33333333,51.54428
394,61.0,49.259262
395,45.0,48.67094
396,37.0,46.62738
397,60.0,52.554375
398,44.0,50.53538
399,38.0,42.936718
400,45.0,46.237038
401,60.4,49.207394
402,76.0,49.813404
403,38.0,46.354626
404,54.0,47.44901
405,63.5,46.598953
406,47.0,47.321907
407,61.0,47.331917
408,58.0,49.340096
409,55.66666667,47.03096
410,47.83333333,48.017345
411,54.0,54.46708
412,56.0,50.646255
413,41.33333333,43.75343
414,37.0,43.630215
415,45.0,47.456917
416,35.0,43.08196
417,48.0,51.8675
418,40.0,42.765114
419,47.91666667,48.371895
420,49.16666667,48.830772
421,45.0,45.659622
422,39.0,43.238403
423,35.0,47.3875
424,35.0,41.661358
425,56.0,43.47387
426,48.0,48.06422
427,49.0,49.66645
428,49.0,42.685402
429,38.0,42.036068
430,38.0,45.781357
431,64.0,47.537395
432,35.0,47.050785
433,35.0,43.098274
434,40.0,41.92761
435,42.0,43.046608
436,45.0,45.177277
437,40.0,47.177982
438,50.0,48.22679
