,SOC_SK,0
264,33.33333333,49.66653
265,38.0,49.420586
266,44.16666667,54.960957
267,53.33333333,55.01985
268,54.0,50.231888
269,46.0,50.977634
270,31.0,55.06598
271,50.0,49.225475
272,52.0,53.52298
273,62.0,50.963657
274,46.0,42.43
275,57.0,51.76685
276,46.0,47.41566
277,33.0,49.58897
278,51.0,52.185116
279,61.0,52.5167
280,46.0,48.097027
281,34.66666667,43.890408
282,49.0,55.920567
283,50.0,50.695526
284,63.0,54.934994
285,51.0,50.02947
286,55.0,53.164635
287,39.83333333,43.214165
288,56.0,53.872066
289,40.0,49.821743
290,68.0,56.616135
291,44.0,54.111115
292,20.0,45.761482
293,44.16666667,47.88146
294,33.0,50.37018
295,70.0,57.905815
296,56.0,60.19798
297,37.0,45.294567
298,30.0,51.006035
299,29.0,40.765156
300,51.0,50.94319
301,40.0,47.84138
302,46.0,52.221523
303,64.0,59.87628
304,39.0,51.90894
305,39.66666667,49.52246
306,39.0,49.819935
307,52.0,58.41407
308,63.0,53.954803
309,64.0,57.373466
310,55.0,51.000397
311,32.0,53.9424
312,29.5,49.679783
313,34.0,52.851593
314,54.25,56.09646
315,57.75,53.64891
316,16.0,46.83844
317,58.0,52.92593
318,50.0,54.014954
319,25.0,42.74778
320,53.0,49.936905
321,39.0,54.16372
322,50.0,55.783157
323,45.25,50.743263
324,44.0,45.665924
325,55.66666667,52.467876
326,46.0,51.15828
327,41.66666667,47.60551
328,50.0,48.284393
329,21.0,36.988316
330,31.0,43.80161
331,42.0,51.212513
332,31.75,41.723686
333,32.0,39.325283
334,65.0,64.84118
335,40.0,55.449627
336,43.0,47.149193
337,41.0,45.915325
338,52.83333333,60.699276
339,38.0,39.990627
340,31.0,43.938965
341,56.0,50.761917
342,60.0,49.20246
343,31.0,45.23823
344,50.0,53.60519
345,37.33333333,44.976776
346,37.0,50.93425
347,55.0,55.15967
348,37.25,44.041035
349,54.25,50.45567
350,50.0,50.848896
351,31.16666667,47.415585
352,51.0,49.553394
353,41.5,50.822975
354,31.0,51.097168
355,48.5,42.09118
356,37.0,40.418583
357,71.0,64.41123
358,60.0,53.849216
359,60.0,61.237877
360,54.0,55.79344
361,35.5,37.013947
362,46.0,49.26238
363,61.0,54.55166
364,56.0,53.491592
365,46.33333333,45.070976
366,60.0,51.39476
367,37.25,57.660065
368,49.75,52.29701
369,37.0,49.751152
370,57.0,57.302174
371,61.0,57.33105
372,43.625,48.228493
373,65.0,58.834473
374,37.66666667,50.307407
375,65.0,56.635677
376,70.0,57.09058
377,41.5,49.247944
378,52.0,55.69494
379,65.0,53.45378
380,70.0,49.310867
381,35.0,53.287148
382,29.0,52.07985
383,57.0,53.51764
384,53.0,56.16463
385,39.0,50.372105
386,50.0,51.818226
387,31.0,42.16261
388,63.0,57.679493
389,58.25,50.162243
390,58.0,45.30794
391,44.33333333,45.96556
392,35.0,43.70224
393,34.0,37.9163
394,37.0,51.110336
395,50.0,55.685707
396,55.0,54.226875
397,52.83333333,56.950546
398,60.33333333,53.902702
399,61.0,56.95578
400,44.16666667,48.251076
401,46.0,45.871902
402,42.0,49.298595
403,41.0,46.88188
404,39.0,47.541557
405,31.0,47.231163
406,63.0,54.55365
407,58.0,45.6216
408,39.0,48.25298
409,63.0,61.387764
410,48.5,47.22062
411,55.66666667,51.98245
412,39.83333333,46.321293
413,51.0,51.901093
414,51.0,54.463383
415,54.0,58.85383
416,59.0,53.15091
417,42.0,50.04617
418,56.0,54.993763
419,39.0,47.43256
420,50.0,49.11264
421,49.0,53.588585
422,29.0,44.690933
423,55.0,56.268295
424,51.0,50.602444
425,29.0,40.005848
426,65.0,58.437485
427,37.0,45.96572
428,50.0,52.940548
429,41.0,42.928394
430,65.0,65.44728
431,39.125,53.573395
432,37.0,43.76461
433,54.0,51.650246
434,51.0,50.265507
435,53.0,54.3093
436,54.0,48.49438
437,41.0,52.27955
438,55.0,58.519302
