,IMPULSIVITY,0
354,2.75,13.710149
355,0.75,7.6456237
356,1.0,8.432022
357,0.25,8.898199
358,2.0,19.252478
359,2.25,17.600645
360,1.25,4.658894
361,2.25,17.27483
362,2.0,9.910806
363,0.25,9.071091
364,0.0,10.041717
365,2.25,10.352193
366,1.25,11.387535
367,2.25,13.40509
368,0.5,12.8441515
369,0.5,8.928582
370,1.25,13.980978
371,1.75,12.208342
372,0.5,9.972372
373,1.0,11.022242
374,0.0,11.674086
375,1.5,6.3334823
376,1.25,13.181421
377,1.25,13.2018795
378,0.0,9.272242
379,0.75,11.245135
380,1.25,12.992105
381,1.75,13.747164
382,2.0,15.638756
383,0.5,8.986099
384,1.0,13.436815
385,1.0,11.631197
386,2.0,16.623676
387,2.75,15.761967
388,1.25,10.117211
389,0.0,10.7248125
390,1.75,7.4719176
391,0.75,11.564175
392,0.0,7.8125663
393,1.75,11.602415
394,0.0,10.510254
395,0.5,10.822061
396,1.0,6.189292
397,2.25,13.962121
398,0.5,8.763444
399,0.25,7.792884
400,0.0,3.7589037
401,1.0,13.178143
402,1.25,12.8561735
403,1.5,13.33978
404,0.75,11.829353
405,1.0,11.355402
406,3.0,18.451126
407,0.25,8.132151
408,2.5,14.275848
409,1.0,8.152957
410,0.0,10.565867
411,1.5,8.171583
412,0.0,6.9184074
413,0.0,9.628427
414,0.0,10.991566
415,0.0,5.470679
