,EMPATHY,0
304,0.0,10.407566
305,1.333333333,12.212902
306,0.0,11.400501
307,2.666666667,14.939612
308,0.0,10.66212
309,0.0,13.625553
310,4.0,18.035826
311,0.0,13.592909
312,0.0,11.138833
313,2.0,17.276516
314,0.0,10.725122
315,2.666666667,17.04494
316,0.0,12.449322
317,0.0,12.041075
318,1.0,11.710781
319,0.0,12.998676
320,1.33,14.7284775
321,0.67,13.767721
322,1.0,14.116398
323,2.0,13.249352
324,0.666666667,14.241693
325,0.0,13.721365
326,1.333333333,13.992849
327,1.333333333,13.527397
328,1.0,11.8096695
329,1.666666667,15.892517
330,0.0,11.089542
331,1.0,13.550496
332,0.0,12.425249
333,2.666666667,17.289675
334,3.0,13.233362
335,2.33,15.774205
336,0.0,10.914868
337,2.666666667,14.649355
338,0.33,12.686512
339,1.333333333,14.348024
340,0.0,13.372775
341,0.0,11.75569
342,1.0,11.5008545
343,1.0,13.247116
344,0.33,13.33415
345,0.333333333,12.890678
346,0.0,11.829555
347,0.0,13.1057
348,2.0,12.09819
349,1.67,16.035856
350,0.666666667,11.439828
351,3.0,13.234723
352,1.0,12.712845
353,1.333333333,12.732937
354,0.0,8.788748
355,0.666666667,13.452887
356,1.0,13.278471
357,0.0,12.744757
358,2.0,14.567459
359,2.0,16.818663
360,2.0,13.374826
361,2.666666667,14.346088
362,1.333333333,13.676452
363,1.333333333,13.022483
364,1.0,12.280646
365,2.0,15.65122
366,1.0,8.721907
367,1.333333333,13.062952
368,0.0,11.610205
369,0.0,10.489645
370,0.0,12.635397
371,3.333333333,15.959698
372,2.0,18.484755
373,1.666666667,14.73767
374,1.0,15.207706
375,1.666666667,10.920744
376,0.0,10.736383
377,1.0,15.441639
378,1.0,15.954036
379,2.0,12.701644
380,1.333333333,14.879188
381,0.0,14.58753
382,0.0,11.739
383,0.333333333,11.013424
384,3.0,17.690134
385,0.0,13.317323
386,1.33,13.186329
387,2.0,16.870264
388,1.333333333,14.357182
389,0.0,12.506987
390,1.666666667,10.293137
391,1.333333333,13.242529
392,1.666666667,16.794207
393,2.0,16.350065
394,0.33,12.602624
395,0.0,12.660547
396,1.333333333,13.576366
397,1.333333333,13.542153
398,2.666666667,14.208765
399,0.0,12.190063
400,0.67,15.409277
401,0.0,11.426838
402,0.0,12.536825
403,1.333333333,16.74406
404,1.333333333,11.991449
405,0.0,11.457684
406,1.333333333,17.98835
407,0.0,13.238695
408,3.0,17.967384
