,PAG,0
222,35.0,88.34018
223,60.0,56.183052
224,100.0,85.82797
225,75.0,68.0144
226,25.0,48.789146
227,55.0,50.013798
228,75.0,70.054565
229,95.0,78.63736
230,60.0,49.199375
231,25.0,38.88919
232,60.0,66.630226
233,60.0,58.86978
234,100.0,59.758495
235,5.0,43.179943
236,35.0,41.76397
237,55.0,55.075573
238,40.0,36.526535
239,90.0,77.0206
240,80.0,67.47819
241,90.0,68.57348
242,75.0,59.44887
243,35.0,30.281721
244,5.0,56.052677
245,80.0,73.011246
246,60.0,65.792336
247,100.0,66.7432
248,55.0,48.533367
249,60.0,52.44433
250,75.0,69.0887
251,75.0,64.081024
252,100.0,77.14807
253,60.0,60.153347
254,35.0,49.641712
255,5.0,50.124302
256,60.0,60.630924
257,100.0,58.448353
258,40.0,51.823277
259,75.0,70.83148
260,55.0,55.048786
261,75.0,68.95847
262,25.0,48.812443
263,75.0,44.245754
264,90.0,70.930534
265,100.0,66.8839
266,90.0,81.969604
267,80.0,62.805134
268,55.0,54.09705
269,5.0,47.279343
270,25.0,62.827106
271,25.0,44.171
272,90.0,83.70418
273,35.0,34.895645
274,60.0,64.9569
275,25.0,33.712017
276,75.0,68.26351
277,90.0,89.47019
278,25.0,43.42764
279,35.0,33.856846
280,90.0,79.382126
281,90.0,60.092564
282,55.0,57.29546
283,100.0,76.95124
284,15.0,48.174297
285,55.0,47.186764
286,25.0,59.99679
287,60.0,60.034798
288,40.0,52.59552
289,35.0,29.472425
290,100.0,76.944595
291,25.0,32.536335
292,55.0,63.114456
293,100.0,52.548042
294,95.0,80.21779
295,60.0,49.9106
296,90.0,78.55794
297,80.0,57.13699
298,75.0,58.217224
299,90.0,56.777294
300,40.0,57.914925
301,35.0,55.32843
302,90.0,65.24767
303,25.0,42.929638
304,55.0,55.65845
305,95.0,79.414894
306,40.0,59.650707
307,95.0,82.5755
308,35.0,58.212837
309,95.0,75.17769
310,100.0,67.28487
311,35.0,64.3341
312,90.0,72.06568
313,5.0,61.61202
314,100.0,97.48276
315,35.0,38.02894
316,15.0,64.289345
317,15.0,55.170067
318,75.0,72.72068
319,100.0,89.023575
320,25.0,52.231457
321,75.0,60.84281
322,60.0,54.85248
323,75.0,54.908413
324,55.0,59.251778
325,25.0,43.61959
326,55.0,63.495144
327,100.0,79.00987
328,75.0,65.10724
329,100.0,75.52409
330,100.0,65.63063
331,95.0,68.67257
332,60.0,58.889256
