,DEPR,0
270,43.0,39.902805
271,49.76923077,47.050007
272,58.0,48.62382
273,47.0,47.14278
274,69.0,53.80462
275,51.71794872,49.16255
276,41.25641026,44.21724
277,39.0,47.037327
278,58.02564103,47.620586
279,47.64102564,44.3362
280,51.8974359,47.388283
281,39.0,43.10268
282,41.0,47.025146
283,79.0,52.348045
284,50.0,47.96092
285,37.0,41.882843
286,49.0,47.84494
287,37.0,39.639233
288,39.1025641,39.839123
289,41.0,44.31116
290,62.0,47.89041
291,37.0,39.760742
292,69.0,50.861187
293,90.0,49.140167
294,43.38461538,43.040096
295,47.0,46.349968
296,56.15384615,41.18125
297,70.5952381,56.722332
298,75.30769231,53.036087
299,69.0,45.979946
300,66.43589744,54.343403
301,58.0,45.1292
302,43.0,52.953983
303,45.0,42.436234
304,45.0,46.96965
305,40.95238095,44.819553
306,41.0,45.03904
307,45.0,42.07826
308,54.0,42.567806
309,39.0,47.572384
310,41.0,45.931217
311,43.0,49.202835
312,41.0,48.110516
313,63.0,44.97893
314,99.0,51.461067
315,77.0,48.1759
316,46.76190476,43.177277
317,45.0,48.70708
318,60.0,53.659786
319,52.0,49.176144
320,42.85714286,48.43751
321,58.28205128,45.58367
322,58.0,50.44618
323,37.0,51.426952
324,43.0,42.514137
325,65.0,49.040585
326,57.0,50.47112
327,52.0,45.692833
328,50.0,48.446102
329,43.0,41.42784
330,59.0,50.26039
331,39.0,49.57766
332,39.0,45.240185
333,56.0,49.023987
334,60.0,44.040264
335,37.0,45.26649
336,71.0,46.531506
337,69.0,48.410484
338,46.0,44.732742
339,48.0,47.483948
340,50.0,46.13697
341,48.0,46.815098
342,57.0,46.519726
343,43.0,40.472576
344,77.0,46.670498
345,39.12820513,43.664494
346,53.0,47.920036
347,62.0,55.44432
348,41.0,42.862267
349,52.0,45.894585
350,57.0,51.600655
351,74.0,47.33482
352,49.0,45.08341
353,53.0,48.539608
354,46.0,45.67185
355,48.0,44.650906
356,39.0,45.72021
357,54.0,48.266415
358,49.76923077,44.37223
359,56.0,52.196632
360,50.0,46.914772
361,60.12820513,48.039753
362,37.0,44.942593
363,46.0,45.100662
364,39.0,44.741737
365,37.0,45.534435
366,54.78571429,41.183113
367,50.0,48.762947
368,41.0,49.920727
369,50.0,50.131832
370,56.15384615,45.775764
371,47.64102564,46.09587
372,41.0,44.19571
