,SELFESTEEM,0
105,3.2,33.887825
106,3.0,30.78056
107,2.7,27.899532
108,2.3,30.331104
109,2.8,30.215178
110,3.3,32.61659
111,2.9,38.29116
112,2.9,24.739296
113,2.6,29.03384
114,3.1,32.58539
115,2.6,30.603931
116,2.9,35.17577
117,3.0,34.175114
118,2.2,33.006912
119,2.7,29.766525
120,2.8,26.434446
121,3.7,32.197845
122,2.9,27.258942
123,2.8,33.77287
124,3.0,26.897457
125,2.9,31.746763
126,2.9,30.824806
127,2.8,29.707714
128,2.3,17.80346
129,2.2,27.006048
130,2.8,28.206732
131,3.0,32.49205
132,2.4,28.990559
133,3.4,31.44056
134,3.7,33.189598
135,3.1,34.50405
136,2.9,32.512295
137,3.2,32.392635
138,2.8,28.364357
139,3.2,35.19759
140,3.6,34.14388
141,2.6,29.794006
142,2.8,31.115885
143,2.4,29.949478
144,3.7,34.325108
145,2.6,25.876522
146,2.7,28.55848
147,3.6,37.14871
148,2.9,30.111486
149,3.7,37.43567
150,2.6,27.491837
151,3.1,32.853443
152,2.5,22.120224
153,2.4,27.756798
154,2.9,35.628212
155,3.0,29.820122
156,2.8,32.545044
157,2.5,29.83901
158,3.7,33.494984
159,2.9,29.23272
160,2.6,27.90665
161,2.7,31.643263
162,2.5,27.270733
163,3.7,31.66031
164,3.6,25.371082
165,2.6,29.565647
166,3.0,32.010723
167,2.8,32.302715
168,2.5,29.263523
169,3.7,29.85797
170,2.7,32.16173
171,3.3,36.29294
172,2.6,26.348864
173,3.4,33.43354
174,3.7,30.653824
175,2.8,26.26698
176,3.0,31.315987
177,3.4,36.269478
178,2.7,35.555084
179,2.2,27.063282
180,2.8,31.346884
181,3.2,37.824226
182,3.3,27.02776
183,2.9,29.46209
184,2.8,28.000427
185,2.7,28.67903
186,2.6,32.046593
187,2.9,28.597252
188,3.1,31.715397
189,3.3,32.339355
190,3.7,35.55824
191,2.8,32.223526
192,2.7,29.120079
193,3.7,34.30566
194,3.5,31.876074
195,2.9,35.02508
196,2.1,24.459589
197,2.8,33.087524
198,3.0,29.840685
199,2.5,32.37758
200,3.4,34.36351
201,3.4,33.184006
202,2.6,30.511585
203,3.7,35.25793
204,2.3,29.461048
205,3.6,33.29819
206,2.5,29.211935
207,3.4,33.033485
208,2.8,29.089302
209,2.9,32.540222
210,3.3,37.95359
211,2.6,29.349928
212,3.1,31.704578
213,2.7,30.485096
214,2.9,27.412014
215,2.4,28.90636
216,2.6,29.461384
217,3.6,31.097145
218,2.8,29.537401
219,3.6,40.225433
220,2.4,34.425808
221,2.8,30.198933
222,3.3,32.588985
223,2.9,34.226074
224,3.4,33.572895
225,3.0,33.296978
226,3.5,29.805014
227,3.7,32.964622
228,2.6,29.801193
229,3.7,33.686954
230,3.7,31.90093
231,2.8,29.166561
232,3.5,33.348938
233,3.4,34.397648
234,2.7,23.56876
235,3.2,29.011059
236,2.6,28.507061
237,3.4,30.818644
238,3.6,34.797665
239,2.7,29.402275
240,2.7,30.22409
241,3.4,26.784784
242,3.7,34.07267
243,2.8,27.846146
244,3.0,31.439188
245,2.8,28.59905
246,2.8,32.49275
247,2.6,31.821934
248,3.4,33.768505
249,3.2,25.959963
250,3.1,35.750042
251,2.7,26.761795
252,3.1,33.126358
253,3.4,32.632397
254,2.8,28.806728
255,3.0,29.407356
256,2.9,32.055553
257,3.4,32.806698
258,3.3,29.040281
259,3.0,30.632563
260,2.7,32.86965
261,2.9,23.273758
262,2.8,30.16212
263,2.9,27.550915
264,3.6,32.48758
265,3.1,33.38859
266,3.1,23.467207
267,2.6,29.170277
268,2.9,32.412273
269,2.8,28.624702
270,2.9,23.269186
271,2.8,28.632864
272,2.4,27.315437
273,3.4,33.527264
274,3.1,27.050587
275,2.9,34.26823
276,3.4,31.304619
277,3.4,34.96345
278,2.9,30.869032
279,3.2,28.58843
280,2.4,33.971546
281,2.7,27.24672
282,2.8,30.167408
283,2.7,34.96429
284,2.6,28.154299
285,2.8,29.007334
286,3.0,29.97536
287,2.8,26.860214
288,2.6,27.708897
289,3.4,36.123913
290,2.7,30.382143
291,2.9,26.86668
292,3.3,31.772453
293,3.6,34.550144
294,3.1,27.847912
295,2.8,28.42639
296,3.2,32.79259
297,3.4,33.279144
298,2.9,31.281618
299,2.8,31.142338
300,2.6,22.42292
301,3.7,32.640408
302,2.9,34.258392
303,2.8,30.236752
304,2.4,23.57833
305,2.9,32.6066
306,3.0,28.14993
307,3.1,29.858738
308,2.8,29.282022
309,2.9,28.650688
310,2.9,31.643082
311,3.4,33.033344
312,2.5,24.749588
313,2.7,33.197273
314,3.0,32.74051
315,3.6,36.066967
316,2.5,33.302944
317,2.4,30.21698
318,2.7,30.44791
319,2.9,34.781166
320,3.3,36.54775
321,3.6,34.554478
322,2.7,25.428028
323,2.8,27.7414
324,3.3,34.308212
325,2.9,28.975485
