,EGODYST,0
265,10.0,19.935947
266,62.0,19.070843
267,30.0,17.384197
268,30.0,22.240612
269,35.0,21.137293
270,74.0,20.763424
271,10.0,14.269751
272,10.0,19.865456
273,6.0,15.645385
274,50.0,19.32114
275,21.0,19.275856
276,32.0,13.597221
277,63.0,22.771585
278,82.0,23.413483
279,84.0,23.31116
280,21.0,16.833473
281,46.0,17.29187
282,50.0,18.421972
283,12.0,20.650393
284,35.0,14.62927
285,55.0,23.995821
286,29.0,21.48259
287,51.0,20.373646
288,10.0,12.3326
289,98.0,25.935474
290,50.0,21.170979
291,42.0,23.857126
292,30.0,14.9377985
293,30.0,25.39722
294,21.0,18.04403
295,9.0,11.010183
296,10.0,16.577517
297,1.0,11.20677
298,80.0,24.608986
299,49.0,22.079643
300,30.0,19.773449
301,4.0,13.711929
302,11.0,14.606309
303,11.0,18.549461
304,20.0,9.925632
305,8.0,18.245773
306,12.0,16.698818
307,10.0,22.974195
308,83.0,17.866333
309,5.0,17.960033
310,51.0,21.527895
311,30.0,20.837505
312,54.0,21.261791
313,51.0,23.13492
314,51.0,17.94231
315,30.0,19.532103
316,40.0,21.1221
317,51.0,21.703625
318,18.0,15.093037
319,7.0,14.45333
320,50.0,21.6228
321,30.0,22.23107
