,WELLBEING,0
210,3.33,28.078878
211,2.73,41.729492
212,2.8,27.727667
213,5.0,51.412125
214,3.0,33.37991
215,4.93,46.11877
216,3.87,32.32459
217,4.53,50.47133
218,3.33,49.813587
219,4.0,33.986298
220,4.27,38.713276
221,3.07,38.469257
222,3.13,36.99541
223,3.93,34.55166
224,3.53,34.50914
225,3.8,46.45754
226,3.47,44.850525
227,3.67,33.45811
228,4.33,46.83855
229,5.0,42.540905
230,2.93,27.543367
231,4.87,47.313923
232,2.27,25.419468
233,3.2,33.504284
234,3.93,38.520206
235,4.47,47.46111
236,4.07,42.504753
237,3.27,24.416319
238,4.8,48.625248
239,3.2,41.227108
240,4.07,40.559643
241,4.13,54.140972
242,3.0,35.47729
243,3.93,38.189808
244,4.6,45.708233
245,4.6,42.629845
246,4.2,52.073345
247,3.13,29.985596
248,3.2,35.46545
249,4.27,50.580715
250,4.53,49.620495
251,2.4,26.550499
252,4.93,54.525894
253,3.8,34.34419
254,3.4,45.745777
255,4.6,34.77068
256,4.73,33.105038
257,3.67,40.72355
258,5.0,54.205772
259,4.4,42.61023
260,3.6,38.51805
261,2.93,31.455154
262,4.4,43.443424
263,2.6,32.081005
264,3.27,38.887722
265,4.33,50.732746
266,4.67,46.921864
267,5.0,44.628185
268,4.13,44.51996
269,4.0,42.407055
270,2.73,39.054756
271,4.0,45.669804
272,4.6,42.80412
273,4.2,55.802944
274,3.6,39.660976
275,3.4,39.57466
276,4.33,42.29819
277,3.93,44.718014
278,3.4,41.760815
279,4.27,44.793686
280,4.0,48.98251
281,2.73,31.688757
282,3.53,47.14344
283,4.93,44.588398
284,3.93,37.194546
285,4.67,40.319187
286,4.47,51.110474
287,4.73,55.15946
288,3.93,33.00062
289,4.67,41.45722
290,4.8,46.793873
291,3.07,39.901604
292,4.8,49.619675
293,4.8,48.394936
294,2.2,33.688107
295,4.13,38.034992
296,3.87,40.965683
297,3.67,39.416443
298,3.13,36.623528
299,3.73,49.577335
300,2.6,27.782057
301,4.87,42.015293
302,3.87,33.381813
303,3.73,49.34061
304,4.73,51.097507
305,4.73,58.846203
306,4.0,39.099422
307,2.8,33.203106
308,5.0,44.357105
309,5.0,44.79408
310,3.8,37.440136
311,3.47,34.34946
312,3.87,40.871937
313,2.6,32.696842
314,3.53,39.344097
315,4.27,30.088696
316,4.0,39.37311
317,4.67,44.814434
318,4.53,41.71507
319,2.87,36.36458
320,4.2,32.328136
321,3.6,42.21023
322,3.8,38.71968
323,3.33,31.14123
324,4.93,50.17448
325,3.93,47.144615
326,4.0,34.206036
327,4.0,47.754745
328,3.47,35.389275
329,3.53,41.87351
330,3.93,45.270805
331,3.2,35.18114
332,4.67,44.576138
333,4.4,51.867977
334,4.73,43.78181
335,3.67,50.92451
336,3.73,48.090588
337,4.8,42.518387
338,4.2,44.843006
339,3.27,33.618027
340,5.0,40.98919
341,4.67,52.29647
342,3.87,40.352077
343,4.47,42.920235
344,3.93,38.55736
345,3.6,41.988853
346,4.2,46.349255
347,3.0,28.621675
348,3.6,48.832424
349,4.6,47.290752
350,3.73,36.687405
351,4.13,43.753048
352,4.87,46.605377
353,3.93,45.999218
354,4.6,39.56949
355,4.27,55.13823
356,4.4,33.561672
357,3.67,53.56516
358,4.47,46.51743
359,2.87,39.931583
360,3.8,51.836586
361,3.93,37.464325
362,4.33,40.32503
363,4.53,59.541805
364,4.73,39.554493
365,3.87,38.099625
366,5.0,52.35348
367,4.2,44.904774
368,3.4,35.197586
369,4.4,45.55167
370,4.8,46.151196
371,4.73,46.61118
372,4.8,51.51801
373,4.93,44.589893
374,4.07,45.950138
375,2.8,26.501715
376,3.53,35.537178
377,4.67,42.471485
378,3.73,37.905712
379,3.87,27.210947
380,4.0,43.540035
381,4.0,39.11607
382,4.07,55.001423
383,3.13,35.5319
384,5.0,51.83983
385,4.4,29.708563
386,3.2,31.889784
387,3.67,39.73681
388,3.87,37.168686
389,3.4,42.93648
390,3.87,41.561504
391,3.13,43.65887
392,3.67,43.804024
393,3.87,43.750034
394,3.67,51.034405
395,5.0,49.540695
396,4.73,52.371147
397,4.53,26.917042
398,4.8,58.77878
399,3.93,33.401524
400,2.27,37.295334
401,3.6,43.41328
402,4.27,45.575947
403,2.13,21.68125
404,3.87,37.93503
405,2.8,27.554937
406,3.87,36.923138
407,3.4,40.704876
408,5.0,48.00537
409,3.13,36.569286
410,4.8,62.526806
411,4.2,48.28844
412,3.8,31.64587
413,4.87,38.589794
414,4.13,52.396877
415,3.93,27.931393
