,UNUSUAL_BELIEFS,0
118,0.0,16.277205
119,1.5,13.510781
120,0.0,13.626283
121,0.0,10.473871
122,0.0,11.262916
123,1.0,11.088168
124,0.0,13.43958
125,0.0,15.348253
126,1.0,9.464696
127,1.75,15.473474
128,1.5,16.551432
129,1.75,15.239672
130,0.5,11.728841
131,0.75,15.575713
132,0.0,9.8276
133,0.5,12.834727
134,3.0,20.907608
135,0.5,14.622172
136,2.75,14.759863
137,0.5,10.460847
138,0.25,14.53894
139,1.25,14.6665535
140,0.0,9.511148
141,0.0,17.425234
142,2.0,16.2991
143,0.0,8.667731
144,1.25,11.298194
145,1.0,12.630206
146,0.0,14.483132
147,1.25,16.280222
148,0.75,12.066121
149,0.0,10.892499
150,0.5,16.142836
151,0.5,7.4707265
152,0.0,10.871948
153,1.0,16.085161
154,0.5,10.373796
155,0.0,11.447766
156,0.75,11.946607
157,0.75,9.413182
158,0.0,13.242245
159,0.75,12.258221
160,1.25,14.376504
161,0.0,13.060405
162,2.0,19.198835
163,0.0,14.579831
164,0.0,7.738084
165,0.0,12.526723
166,2.25,17.379755
167,1.25,11.701295
168,0.0,10.583505
169,0.25,16.762217
170,1.0,17.132784
171,1.5,17.198887
172,0.0,11.385582
173,0.5,11.440082
174,0.0,9.299681
175,0.25,14.919539
176,2.0,18.491837
177,0.0,11.660209
178,2.25,19.89144
179,0.0,9.976472
180,0.5,18.893412
181,1.0,17.195236
182,0.75,10.367334
183,0.25,4.0359454
184,1.25,16.329226
185,1.25,11.224093
186,1.0,12.360186
187,0.0,13.651575
188,0.0,14.274491
189,0.0,12.210944
190,0.0,15.761966
191,0.25,12.000186
192,0.25,13.238024
193,0.25,8.604572
194,1.5,10.851676
195,1.5,15.044138
196,0.5,11.795258
197,1.75,17.226173
198,0.25,14.122261
199,0.25,13.968129
200,2.0,13.885834
201,0.0,11.716747
202,1.25,14.040986
203,0.5,11.977578
204,0.0,7.316788
205,2.0,12.337277
206,0.0,5.942459
207,1.75,17.981022
208,0.0,11.186879
209,1.75,22.123201
210,0.5,14.937914
211,0.0,16.17591
212,0.0,8.875487
213,0.0,11.404731
214,0.0,5.26145
215,0.25,12.643695
216,1.5,15.307681
217,0.0,8.55247
218,0.5,12.122451
219,0.5,18.001781
220,0.75,14.58632
221,0.0,10.158738
222,0.25,13.840259
223,0.0,10.259251
224,0.5,12.197064
225,0.0,11.287721
226,0.75,10.905927
227,0.75,11.768597
228,2.0,19.735212
229,0.25,8.240153
230,0.0,12.330557
231,0.0,10.36493
232,0.0,8.006287
233,0.0,8.016487
234,0.25,10.242367
235,0.5,13.50432
236,0.0,10.019395
237,1.75,17.485487
238,0.0,7.930212
239,0.0,10.881877
240,1.0,13.811934
