,SELFDIR,0
183,2.0,21.765995
184,0.0,20.344473
185,1.67,22.631823
186,1.0,20.667381
187,3.666666667,30.115984
188,3.0,23.914413
189,2.333333333,22.94512
190,1.0,23.618845
191,1.33,22.85111
192,1.333333333,21.372358
193,1.0,20.582857
194,1.0,21.98176
195,2.666666667,26.688309
196,1.0,18.857962
197,0.666666667,21.524042
198,0.666666667,20.192225
199,2.666666667,24.098763
200,1.0,21.43991
201,2.0,20.646875
202,2.666666667,23.023096
203,0.666666667,21.428425
204,1.33,19.954062
205,0.666666667,18.663725
206,2.0,20.457308
207,2.666666667,23.162186
208,1.0,20.438976
209,0.666666667,21.032629
210,2.666666667,25.834263
211,2.0,22.065628
212,1.0,23.248163
213,1.67,20.096218
214,1.333333333,21.544323
215,2.0,20.959625
216,0.666666667,19.627403
217,0.666666667,20.79285
218,1.33,22.170721
219,0.666666667,20.056633
220,0.666666667,23.2047
221,1.33,24.605066
222,1.0,21.187183
223,2.666666667,24.604313
224,2.666666667,24.565516
225,0.666666667,17.436325
226,2.666666667,22.844057
227,0.666666667,20.867441
228,1.0,23.002018
229,2.333333333,23.010305
230,1.33,20.885294
231,2.333333333,24.040422
232,2.666666667,22.911694
233,2.67,24.136576
234,2.0,23.627037
235,0.666666667,24.150814
236,1.333333333,24.04912
237,1.333333333,22.595781
238,3.0,25.726627
239,1.0,22.473232
240,0.666666667,22.584927
241,2.0,24.241695
242,1.67,20.688982
243,0.0,18.660446
244,1.0,21.398657
245,1.67,22.478281
246,1.67,25.886898
247,1.333333333,17.03021
248,1.67,19.852589
249,1.333333333,19.934998
250,1.67,20.808233
251,0.333333333,22.395876
252,2.333333333,23.095781
253,2.666666667,23.368406
254,0.666666667,22.884562
255,1.333333333,24.286041
256,1.0,23.564964
257,1.0,22.990604
258,2.33,20.26647
259,1.0,20.545847
260,1.0,21.884096
261,3.33,27.041838
262,2.333333333,17.803541
263,1.67,21.901945
264,0.666666667,23.346888
265,1.0,21.941708
266,1.333333333,23.459566
267,1.333333333,23.7048
268,4.0,31.352413
269,2.0,21.789448
270,0.333333333,18.043636
271,1.67,26.505888
272,1.33,22.618856
273,2.0,21.98275
274,2.0,24.118023
275,0.666666667,20.655077
276,1.333333333,20.889086
277,0.666666667,22.885977
278,2.0,25.752892
279,2.333333333,22.716566
280,1.333333333,23.654224
281,1.0,21.530071
282,2.666666667,28.403748
283,1.67,25.06385
284,0.666666667,23.768412
285,2.67,22.54916
286,2.0,19.310276
287,1.333333333,21.307621
288,1.333333333,20.132095
289,1.666666667,23.916183
290,1.333333333,21.963293
291,1.0,22.861258
292,1.333333333,19.726625
293,2.0,20.81082
294,2.333333333,23.155298
295,0.666666667,22.950638
296,1.333333333,22.06779
297,1.33,22.526194
298,2.67,25.219013
299,0.666666667,21.542831
300,2.666666667,25.464972
301,3.0,27.537846
302,2.33,22.255495
303,0.0,20.869963
304,1.333333333,15.589188
305,1.333333333,22.98269
306,0.666666667,19.850119
307,2.0,23.378843
308,1.33,24.528215
309,1.67,20.514008
310,0.666666667,20.01221
311,3.666666667,26.580809
312,2.666666667,24.723764
313,1.0,20.055008
314,1.67,19.285366
315,1.0,20.062075
316,3.666666667,29.839386
317,1.33,20.838736
318,1.0,23.379862
319,1.333333333,23.726496
320,0.666666667,17.916618
321,0.666666667,22.690847
322,0.666666667,19.795729
323,1.666666667,24.309853
324,1.666666667,24.452343
325,2.67,23.369364
326,0.666666667,20.99106
327,0.666666667,21.246943
328,1.33,17.592173
329,1.0,21.779013
330,1.333333333,20.657454
331,0.666666667,21.29203
332,2.67,25.234774
333,1.0,19.01424
334,1.333333333,23.892967
335,1.0,22.713741
336,2.333333333,23.958582
337,1.666666667,21.999392
338,1.0,21.111582
339,2.0,21.098413
340,1.333333333,20.412762
341,1.666666667,22.619495
342,1.333333333,18.824598
343,1.333333333,17.8525
344,2.0,23.202812
345,0.666666667,23.440617
346,1.333333333,20.231962
347,0.666666667,18.853226
348,1.333333333,23.527842
349,0.666666667,18.022573
350,2.0,22.925793
351,1.333333333,23.524218
352,1.333333333,19.676714
353,0.666666667,19.825483
354,0.666666667,20.410444
355,1.0,23.31816
356,2.333333333,25.939854
357,1.333333333,21.804916
358,1.666666667,25.25136
359,0.0,21.411684
360,2.0,23.594622
361,1.0,21.896587
362,0.0,21.997044
363,2.33,22.265545
364,1.666666667,21.60748
365,1.666666667,20.689404
366,1.0,21.948763
367,2.0,18.874191
368,1.0,19.2609
369,2.666666667,24.399157
370,0.666666667,15.803886
371,2.33,21.972385
