,MANIA,0
101,41.0,44.697598
102,41.0,44.364925
103,41.0,41.63196
104,77.0,60.29175
105,44.0,47.215393
106,69.0,50.024284
107,41.0,46.351524
108,47.0,49.983402
109,41.0,43.220695
110,41.0,43.845657
111,41.0,41.462914
112,60.0,58.018795
113,41.0,46.685146
114,51.0,56.642315
115,45.0,45.700684
116,45.0,45.336334
117,69.0,49.56736
118,77.0,58.33612
119,54.0,53.24733
120,41.0,53.17839
121,44.0,52.00939
122,41.0,45.23729
123,41.0,43.91281
124,41.0,50.885513
125,60.0,52.512344
126,44.0,50.9868
127,41.0,44.677544
128,53.0,55.34412
129,45.0,48.66722
130,51.0,49.927494
131,71.0,60.949203
132,48.0,55.50787
133,48.0,47.946453
134,48.0,48.786835
135,45.0,45.268513
136,51.0,51.16483
137,41.0,44.76621
138,45.0,45.12024
139,41.0,41.9451
140,45.0,46.325104
141,41.0,42.063206
142,50.0,47.183582
143,45.0,46.246796
144,41.0,43.97755
145,51.0,52.47521
146,44.0,51.258224
147,47.0,47.961765
148,71.0,61.55612
149,63.0,58.783302
150,41.0,42.44214
151,48.0,51.563675
152,41.0,45.39306
153,48.0,50.051254
154,63.0,56.15715
155,41.0,50.748848
156,41.0,45.227837
157,66.0,44.774784
158,71.0,53.342064
159,41.0,49.817398
160,41.0,47.76593
161,48.0,53.460083
162,54.0,56.74057
163,63.0,46.565987
164,41.0,43.077404
165,47.0,51.57657
166,57.0,60.764675
167,47.0,49.844643
168,51.0,49.70422
169,41.0,51.98157
170,63.0,52.963654
171,41.0,46.70343
172,57.0,54.136753
173,44.0,47.462513
174,41.0,49.811832
175,51.0,45.529392
176,45.0,47.727596
177,41.0,43.19642
178,47.0,52.46082
179,54.0,51.155922
180,54.0,52.433685
181,45.0,48.29223
182,41.0,45.080612
183,41.0,36.83823
184,54.0,50.281017
185,41.0,42.090946
186,41.0,45.38969
187,41.0,41.728016
188,45.0,45.58822
189,41.0,39.94053
190,60.0,54.008877
191,41.0,46.040554
192,60.0,51.976643
193,44.0,46.760056
194,60.0,53.842194
195,48.0,48.74768
196,48.0,48.129116
197,48.0,48.637253
