,SPL,0
411,50.0,43.748035
412,55.0,48.36535
413,35.0,42.61795
414,5.0,29.974693
415,90.0,60.022984
416,10.0,53.56912
417,70.0,57.281036
418,70.0,50.41153
419,70.0,63.694992
420,55.0,43.86016
421,75.0,50.358097
422,30.0,43.1114
423,85.0,58.882374
424,15.0,38.33615
425,50.0,51.58254
426,30.0,32.961987
427,10.0,46.324883
428,10.0,47.61914
429,70.0,51.432297
430,90.0,50.239235
431,70.0,58.28272
432,35.0,52.74834
433,30.0,46.47357
434,30.0,46.506042
435,55.0,38.816277
436,85.0,54.258045
437,85.0,62.813576
438,10.0,42.49286
439,10.0,49.75291
440,85.0,43.538494
441,35.0,61.54504
442,35.0,39.043964
443,5.0,52.710945
444,85.0,65.07935
445,35.0,45.64047
446,75.0,53.930576
447,5.0,49.448658
448,5.0,50.606636
449,15.0,31.966444
450,70.0,53.33856
451,50.0,56.702267
452,35.0,56.08514
453,90.0,55.306793
454,35.0,42.614807
455,15.0,57.695152
456,70.0,57.128147
457,5.0,49.575073
458,30.0,36.072117
459,5.0,59.380733
460,70.0,43.413727
461,5.0,44.987106
462,30.0,47.846283
463,50.0,55.69533
464,100.0,63.99202
465,5.0,46.342487
466,90.0,40.933426
467,85.0,54.39321
468,70.0,58.95655
469,10.0,48.254528
470,35.0,40.02515
471,10.0,41.497204
472,5.0,47.858994
473,35.0,47.33151
474,5.0,52.421085
475,70.0,55.49786
476,100.0,58.491364
477,10.0,43.518673
478,5.0,52.869072
479,55.0,51.412872
480,35.0,52.76396
481,85.0,48.876392
482,70.0,44.148563
483,100.0,59.24427
484,70.0,55.405033
485,85.0,55.195328
486,90.0,56.932022
487,35.0,47.86053
488,10.0,42.093567
489,5.0,47.139534
490,5.0,35.84305
491,50.0,54.989155
492,70.0,48.545555
493,70.0,57.6398
494,50.0,45.365536
