,PERSEVERATION,0
291,0.0,17.637962
292,0.25,19.66213
293,0.5,15.482818
294,1.0,14.7433815
295,2.0,19.852047
296,1.25,19.075943
297,0.5,15.951957
298,0.75,19.145775
299,1.0,15.129194
300,0.5,13.061539
301,0.0,13.525872
302,1.0,13.92648
303,1.0,13.843583
304,0.0,9.179695
305,1.5,20.403124
306,2.5,20.42593
307,0.5,11.676848
308,2.75,24.467812
309,0.75,15.349087
310,0.5,17.226683
311,0.5,21.829096
312,1.0,16.071556
313,2.0,20.034088
314,1.5,18.974155
315,1.5,20.254635
316,0.75,17.402828
317,2.25,19.944408
318,1.5,19.732622
319,0.25,18.309187
320,1.75,18.45262
321,0.75,14.488427
322,1.5,15.593515
323,1.0,18.526192
324,1.5,20.154987
325,1.25,20.013634
326,2.0,17.699123
327,0.5,19.806587
328,1.75,20.02836
329,2.25,16.23729
330,0.25,14.392183
331,0.0,16.336329
332,0.0,13.556527
333,0.25,10.649751
334,0.25,22.252747
335,0.5,15.605218
336,0.25,14.325406
337,2.5,19.636848
338,0.25,17.056648
339,1.75,19.23714
340,0.5,13.271567
341,0.0,17.289461
342,1.75,20.260511
343,2.0,20.57661
344,1.25,16.89996
345,0.0,18.739233
346,1.5,16.96473
347,0.0,6.879831
348,0.5,18.540646
349,0.5,16.765388
350,1.0,16.487307
351,0.25,11.582973
352,0.25,12.982528
353,0.25,15.808339
354,1.0,14.883763
355,1.75,16.901949
356,0.25,14.77905
357,1.0,13.746135
358,1.0,16.427954
359,0.75,18.01664
360,0.75,18.638615
361,1.0,18.289444
362,1.25,19.257902
363,0.75,19.998234
364,0.0,14.118995
365,1.0,18.551748
366,0.75,16.29311
367,0.0,14.668833
368,2.25,20.345442
369,0.75,15.578291
370,1.5,22.785774
371,0.0,18.407646
372,0.75,16.27933
373,0.5,12.683265
374,1.25,18.554262
375,1.25,17.505886
376,0.5,14.834531
377,0.75,19.134918
378,3.0,20.06171
379,0.5,15.062869
380,0.25,15.22729
381,0.25,16.108662
382,0.0,12.157659
383,0.25,13.226434
384,0.75,14.521634
385,0.75,18.116367
386,0.5,18.010918
387,1.5,18.839382
388,0.0,21.368458
389,1.25,17.133259
390,0.0,16.763084
391,1.0,15.128419
392,0.75,14.865331
393,0.25,14.521697
394,1.5,15.156953
395,0.25,22.290668
396,0.75,20.29864
397,1.0,19.040554
398,0.0,12.920392
399,1.25,16.751585
400,2.0,17.576046
401,0.75,17.713093
402,0.0,14.766058
403,0.75,14.719573
404,0.25,15.250369
405,0.75,14.671721
406,1.75,14.355999
407,2.0,21.508293
408,0.75,16.68856
409,0.75,16.64056
410,1.75,20.420347
411,1.75,22.934448
412,1.75,13.694845
413,1.75,23.20182
414,2.75,17.363956
415,2.75,20.858
