,INTIMACY,0
233,0.67,13.491065
234,0.0,12.164403
235,1.333333333,14.530803
236,0.0,13.382172
237,0.0,13.716202
238,0.0,13.658112
239,0.0,11.944136
240,1.333333333,12.930067
241,0.33,13.845481
242,4.0,16.756598
243,0.0,12.735706
244,0.0,10.322628
245,0.0,15.28122
246,0.0,10.03506
247,1.67,16.347376
248,1.333333333,15.497482
249,0.67,10.378025
250,1.333333333,16.988932
251,0.0,13.166712
252,0.0,12.882177
253,0.0,12.631055
254,0.0,11.737441
255,0.333333333,13.529414
256,0.0,12.83272
257,2.0,17.042206
258,1.0,13.267116
259,0.0,12.62971
260,2.666666667,17.045013
261,1.333333333,16.67804
262,0.0,14.512417
263,1.666666667,12.07245
264,2.0,14.66438
265,0.0,13.784491
266,0.0,11.368367
267,2.0,15.865763
268,0.33,11.905961
269,1.0,13.677729
270,0.67,14.742791
271,2.0,15.749626
272,0.33,12.592058
273,0.0,13.13769
274,0.0,12.844932
275,1.333333333,14.983305
276,1.666666667,13.847413
277,2.333333333,15.71643
278,0.0,14.747577
279,0.0,12.150981
280,0.0,13.272724
281,1.33,14.875331
282,0.0,11.1820545
283,0.67,12.951575
284,1.333333333,13.609671
285,1.33,13.511065
286,0.0,11.943764
287,0.0,11.963011
288,0.67,10.9963
289,2.666666667,16.725115
290,0.0,12.232398
291,0.0,13.285395
292,2.666666667,16.669985
293,0.0,12.552849
294,0.0,10.51137
295,0.0,12.451201
296,1.333333333,15.727405
297,4.0,21.129835
298,2.666666667,15.702433
299,1.333333333,16.38907
300,0.0,12.400053
301,0.0,14.363689
302,0.0,13.056519
303,2.0,14.217651
304,0.0,13.034244
305,1.333333333,16.78256
306,0.0,11.773293
307,0.0,12.220801
308,1.0,14.559404
309,0.0,13.709484
310,2.666666667,17.97822
311,0.33,12.986047
312,1.0,11.701818
313,0.0,12.859768
314,0.33,11.451941
315,0.0,12.628406
316,1.666666667,14.879279
317,0.0,12.046362
318,4.0,15.344324
319,1.67,16.14448
320,1.33,16.641249
321,1.666666667,15.6982765
322,0.33,12.844982
323,1.333333333,13.114386
324,0.0,13.751512
325,1.666666667,15.571482
326,0.0,10.643976
327,0.0,11.041469
328,1.333333333,15.752733
329,0.0,12.002728
330,4.0,17.028559
331,1.333333333,14.346831
332,0.0,11.822802
333,0.0,12.818629
334,2.666666667,15.624227
335,1.333333333,14.109024
336,0.0,12.6550865
