,AMBIG,0
183,72.0,28.434961
184,60.0,29.080357
185,40.0,31.272001
186,50.0,31.653437
187,66.0,29.752792
188,20.0,28.04766
189,45.0,26.74438
190,88.0,28.981787
191,87.0,32.748497
192,10.0,26.338694
193,9.0,27.033184
194,20.0,26.213163
195,70.0,32.049885
196,20.0,25.005226
197,74.0,31.086927
198,38.0,28.417313
199,98.0,33.21359
200,20.0,26.45024
201,39.0,29.086546
202,53.0,27.410494
203,60.0,26.739988
204,51.0,30.261383
205,48.0,26.581974
206,91.0,30.037601
207,82.0,25.849016
208,33.0,24.117449
209,0.0,23.509045
210,64.0,28.469717
211,8.0,23.816587
212,0.0,24.928553
213,50.0,27.529375
214,30.0,27.448341
215,51.0,23.930223
216,70.0,29.080122
217,80.0,29.191202
218,10.0,23.24449
219,40.0,27.018053
220,79.0,31.191553
221,51.0,26.854536
222,40.0,31.387632
223,11.0,23.174124
224,71.0,29.06186
225,57.0,29.254095
226,50.0,27.106108
227,4.0,23.459702
228,3.0,25.325619
229,53.0,29.500956
230,70.0,29.163881
231,70.0,28.229675
232,61.0,31.920692
233,9.0,19.442232
234,2.0,25.888733
235,21.0,23.635668
236,19.0,26.602453
237,50.0,28.988556
238,7.0,25.741049
239,61.0,24.774046
240,18.0,27.934702
241,13.0,26.036448
242,15.0,24.129128
243,3.0,27.054247
244,51.0,31.596087
245,23.0,26.91984
246,44.0,27.313272
247,40.0,29.250593
248,10.0,23.065443
249,50.0,27.226435
250,1.0,26.585318
251,50.0,31.707973
252,81.0,33.80011
253,39.0,27.204058
254,10.0,24.747093
255,58.0,29.308434
256,33.0,26.695517
257,52.0,30.10965
258,10.0,29.26645
259,20.0,25.946466
260,20.0,26.508461
261,80.0,27.285612
262,20.0,24.684675
263,82.0,29.147661
264,3.0,25.056347
265,27.0,27.512924
266,21.0,27.213543
267,71.0,30.87385
268,20.0,26.096062
269,50.0,30.819815
270,65.0,30.656683
271,76.0,28.99857
272,95.0,33.67488
273,62.0,27.64085
274,20.0,25.696133
275,1.0,25.957445
276,94.0,30.62531
277,40.0,29.412832
278,30.0,27.529608
279,10.0,24.362762
280,10.0,26.81762
281,51.0,27.820642
282,21.0,26.385588
283,47.0,28.197903
284,98.0,29.53615
285,30.0,30.253944
286,40.0,27.1803
287,56.0,27.032833
288,1.0,26.201498
289,50.0,30.331844
290,1.0,22.825245
291,25.0,29.65074
292,9.0,28.334196
293,1.0,24.262304
294,3.0,22.430784
295,70.0,27.686308
296,23.0,26.402496
297,70.0,28.210817
298,30.0,28.57104
299,10.0,30.935366
300,90.0,27.791374
301,20.0,23.533579
302,1.0,26.4169
303,14.0,25.427664
304,37.0,29.37769
305,3.0,23.336653
306,52.0,31.143873
307,32.0,28.009706
308,97.0,33.942715
309,50.0,30.949568
310,55.0,27.148174
311,60.0,32.02129
312,30.0,26.292084
313,9.0,25.864313
314,50.0,26.839058
315,50.0,25.149643
316,40.0,28.529116
317,10.0,27.106419
318,12.0,23.600126
319,41.0,26.469255
320,52.0,28.474766
321,20.0,25.87551
