,IDL,0
340,75.0,77.924355
341,80.0,81.44568
342,60.0,81.540886
343,95.0,78.34432
344,60.0,64.96028
345,95.0,82.65701
346,95.0,81.95552
347,95.0,74.5542
348,70.0,72.60534
349,20.0,69.88384
350,10.0,74.28657
351,80.0,80.49389
352,95.0,68.79356
353,45.0,79.80966
354,95.0,80.66174
355,70.0,71.84077
356,10.0,74.17954
357,95.0,69.30557
358,35.0,54.0854
359,30.0,72.150475
360,70.0,70.73529
361,85.0,75.831825
362,60.0,70.03546
363,75.0,75.525505
364,55.0,79.9784
365,95.0,71.952644
366,95.0,80.00508
367,70.0,73.68707
368,80.0,76.774826
369,95.0,79.401886
370,30.0,75.48623
371,10.0,72.79273
372,60.0,74.790306
373,35.0,72.42353
374,95.0,79.87779
375,75.0,72.46313
376,95.0,80.13778
377,70.0,71.64881
378,95.0,82.7136
379,45.0,75.603905
380,85.0,64.33039
381,80.0,75.67466
382,70.0,70.18447
383,70.0,74.64006
384,95.0,85.32963
385,10.0,69.4688
386,75.0,74.868965
387,95.0,79.57502
388,45.0,68.58143
389,25.0,74.338234
390,70.0,72.01154
391,30.0,71.64058
392,95.0,71.017815
393,90.0,78.56469
394,75.0,74.07343
395,70.0,74.82003
396,85.0,70.45445
397,95.0,88.351234
398,95.0,75.047295
399,80.0,77.55405
400,55.0,72.61197
401,70.0,73.37996
402,55.0,66.549675
403,80.0,79.7893
404,95.0,85.5994
405,30.0,75.37705
406,80.0,79.733795
407,45.0,69.10296
408,70.0,66.19606
409,75.0,68.22395
410,80.0,69.11919
411,10.0,67.16085
412,20.0,76.37684
413,95.0,76.3569
414,45.0,67.86924
415,95.0,69.74427
416,70.0,73.13856
417,95.0,68.74195
418,60.0,62.107918
419,75.0,77.891266
420,70.0,69.21697
421,95.0,91.04781
422,95.0,81.18409
423,55.0,72.64856
424,75.0,77.87358
425,45.0,72.07748
426,70.0,81.668594
427,55.0,78.53649
428,60.0,67.34727
429,80.0,73.06001
430,75.0,76.76134
431,75.0,76.951324
432,35.0,74.2522
433,95.0,90.72043
434,35.0,68.01325
435,95.0,77.16099
436,60.0,74.30471
437,80.0,77.71304
438,20.0,78.14852
439,45.0,63.425358
440,45.0,70.34601
441,80.0,77.03986
442,60.0,77.11422
443,45.0,58.26648
444,95.0,77.16375
445,70.0,68.83123
446,80.0,77.108154
447,70.0,72.287704
448,55.0,70.60624
449,10.0,66.73161
450,70.0,69.124985
451,70.0,69.46321
452,95.0,80.9769
453,85.0,72.39114
454,70.0,67.9748
455,95.0,84.60431
456,95.0,89.3601
457,95.0,65.647125
458,95.0,77.33943
459,70.0,69.48046
460,85.0,76.07445
461,95.0,82.09469
462,95.0,73.86234
463,70.0,69.02374
464,70.0,70.05834
465,95.0,75.29897
466,95.0,75.77731
467,30.0,57.75323
468,45.0,70.805786
469,10.0,74.12267
470,95.0,88.59461
471,25.0,70.81865
472,95.0,85.613945
473,95.0,84.5076
474,80.0,79.14124
475,80.0,83.93558
476,95.0,75.471596
477,95.0,75.66695
478,85.0,78.36606
479,85.0,83.73361
480,80.0,76.956795
481,85.0,85.10312
482,45.0,73.21905
483,45.0,75.54662
484,70.0,78.20656
485,85.0,73.321815
486,45.0,68.24701
487,30.0,69.1535
488,95.0,77.17332
489,55.0,73.92634
490,85.0,76.04963
491,60.0,77.34237
492,45.0,76.692375
493,5.0,94.332344
494,95.0,84.84319
