,ADAPT,0
96,40.0,48.150723
97,40.0,50.116764
98,47.0,48.559692
99,56.0,44.87414
100,47.0,49.3601
101,52.0,51.5903
102,45.0,46.96873
103,65.0,52.27206
104,53.0,54.018364
105,33.0,49.50835
106,59.0,50.866413
107,68.0,49.557384
108,49.0,48.6912
109,47.0,52.81296
110,63.0,54.70482
111,45.0,48.46978
112,47.0,53.820137
113,48.75,50.148106
114,58.66666667,57.788517
115,56.33333333,56.00956
116,40.0,49.012222
117,35.33333333,52.181107
118,63.125,50.13827
119,51.66666667,52.360935
120,49.33333333,48.873093
121,35.0,48.75185
122,35.33333333,52.358112
123,51.0,47.768723
124,40.0,53.15034
125,47.0,49.321632
126,59.0,51.604637
127,49.0,49.45724
128,45.0,46.9575
129,54.0,51.222923
130,40.0,52.256546
131,49.0,48.575577
132,40.0,49.654495
133,38.0,53.409584
134,51.66666667,51.26405
135,65.0,53.41439
136,59.0,57.53532
137,54.0,54.61164
138,34.0,50.30971
139,56.0,51.532074
140,49.0,47.603424
141,52.0,52.46078
142,62.0,46.35348
143,39.75,48.762226
144,42.0,43.521862
145,34.0,46.86894
146,44.0,47.527035
147,17.0,47.226254
148,49.0,50.69334
149,33.0,47.492653
150,35.0,51.50934
151,27.0,47.30405
152,45.0,49.205658
153,35.0,47.305912
154,47.0,47.533432
155,57.0,47.94858
156,40.0,51.3656
157,40.0,48.70885
158,57.0,46.35244
159,58.0,57.584957
160,66.0,49.01144
161,46.0,46.638275
162,38.0,49.24411
163,49.33333333,50.808582
164,33.0,48.062546
165,59.0,54.036602
166,51.66666667,55.709827
167,56.0,48.230328
168,51.66666667,50.00848
169,42.0,47.550785
170,62.0,56.001602
171,45.0,44.80274
172,47.0,54.004898
173,45.0,46.261066
174,51.0,52.370834
175,42.33333333,48.606373
176,66.0,49.66282
177,39.75,43.2808
178,49.33333333,49.485546
179,61.0,51.7415
180,37.66666667,49.66707
181,44.0,45.52771
182,56.33333333,51.945213
183,56.33333333,47.93941
184,48.0,46.323994
185,49.33333333,49.956646
186,38.0,49.555653
187,56.0,55.867336
188,42.0,45.441357
189,54.0,47.967793
190,42.0,48.93232
191,56.33333333,53.124355
192,61.0,51.444565
193,35.33333333,50.94921
194,40.0,51.107647
195,35.33333333,49.56416
196,53.0,51.901
197,65.66666667,52.51077
198,54.0,55.26811
199,40.0,48.106068
200,38.0,48.698837
201,66.0,48.996456
202,56.0,53.229076
203,56.0,49.08573
