,ATYPI,0
100,52.0,45.5834
101,43.0,48.90396
102,41.0,41.17601
103,41.0,46.70661
104,61.0,48.555115
105,50.0,48.87806
106,65.0,55.657345
107,41.0,39.934765
108,47.0,42.941334
109,59.0,53.261536
110,41.0,43.68265
111,65.0,54.99282
112,59.0,53.57917
113,45.0,40.49294
114,41.0,40.461933
115,54.0,47.6181
116,46.0,42.021297
117,41.0,35.83715
118,49.0,44.701622
119,45.0,39.984478
120,43.63333333,42.942623
121,49.0,46.5264
122,49.0,52.20563
123,43.0,39.231
124,52.0,43.72018
125,70.0,48.08805
126,86.0,48.64925
127,41.0,39.163338
128,59.0,45.121086
129,41.0,39.08315
130,120.0,50.096546
131,82.0,47.905407
132,41.0,32.891205
133,48.9,45.46089
134,41.0,38.178997
135,46.0,44.255722
136,46.26666667,38.277447
137,49.0,43.581158
138,73.0,43.87767
139,43.02564103,41.7017
140,45.0,39.204643
141,43.0,43.556904
142,49.0,49.256023
143,57.0,50.1604
144,41.0,35.728214
145,44.0,41.407814
146,52.0,44.47866
147,41.0,39.52588
148,47.0,43.014122
149,41.0,39.10701
150,44.0,38.13679
151,65.0,55.938766
152,65.0,52.11462
153,51.12820513,41.086533
154,114.0,44.165184
155,48.0,41.888714
156,43.02564103,45.241917
157,49.0,43.52652
158,51.0,49.592506
159,46.0,41.925335
160,41.0,37.259525
161,46.0,46.344585
162,41.0,42.972614
163,63.0,54.175446
164,49.0,47.531742
165,41.0,39.485046
166,65.0,45.862057
167,52.0,50.372128
168,41.0,49.916748
169,41.0,45.67428
170,49.0,44.148224
171,65.0,56.714035
172,59.0,52.353786
173,41.0,37.80831
174,91.0,50.105038
175,44.0,48.01781
176,46.0,44.75292
177,46.0,47.243477
178,48.9,43.041103
179,41.0,45.388855
180,41.0,39.23807
181,46.26666667,47.7072
182,57.0,48.650005
183,46.0,41.81173
184,75.0,58.104294
185,49.0,47.933746
186,41.0,41.282288
187,41.0,38.26796
188,61.25641026,55.37326
189,41.0,47.255417
190,92.0,45.89628
191,54.0,42.289173
192,45.05128205,37.97756
193,112.0,46.848415
194,44.0,44.942757
195,81.0,57.728516
196,62.06666667,41.916946
197,49.0,42.79121
198,43.0,38.656258
199,41.0,43.07843
200,67.0,53.061203
201,41.0,40.53483
202,41.0,50.166355
203,57.0,44.35466
204,62.0,47.90807
205,65.0,48.75277
206,59.0,52.68404
207,41.0,39.340054
208,49.0,46.568253
209,53.0,46.237446
