,RESILI,0
304,45.0,46.181396
305,49.0,47.66923
306,37.0,38.416653
307,41.0,45.898193
308,42.0,45.50867
309,37.0,42.630753
310,46.0,47.67875
311,46.0,43.58035
312,34.0,44.894627
313,37.0,39.674557
314,42.0,44.091343
315,41.0,42.104973
316,39.0,47.08539
317,46.0,47.25728
318,37.0,46.42434
319,45.0,45.544025
320,46.0,47.11296
321,42.0,44.91202
322,39.0,40.548473
323,48.0,44.949425
324,44.0,45.348537
325,37.0,41.781464
326,37.0,44.68632
327,35.0,44.444828
328,50.0,44.338314
329,31.0,50.783398
330,49.0,43.572357
331,40.0,42.413185
332,50.0,49.784016
333,45.0,45.7548
334,37.0,44.49387
335,42.0,42.70091
336,48.0,47.654034
337,42.0,41.61543
338,34.0,43.97908
339,35.0,47.39971
340,49.0,51.037865
341,47.0,45.401955
342,42.0,47.08858
343,51.0,48.184155
344,44.0,41.774055
345,40.0,43.690304
346,54.0,42.746708
347,41.0,49.62825
348,52.0,42.68837
349,53.0,49.07127
350,46.0,47.44412
351,53.0,45.672962
352,46.0,46.979706
353,38.0,42.604824
354,48.0,48.08916
355,49.0,46.94986
356,43.0,43.505566
357,44.0,45.603992
358,39.0,42.5086
359,44.0,45.312893
360,42.0,44.835594
361,50.0,50.369534
362,52.0,49.636284
363,41.0,47.068478
364,46.0,46.38268
365,46.0,44.066093
366,40.0,45.53584
367,39.0,44.99489
368,47.0,44.745285
369,46.0,45.183945
370,35.0,43.962635
371,46.0,46.178005
372,53.0,50.423256
373,43.0,45.27558
374,38.0,44.191677
375,49.0,45.35829
376,46.0,46.96767
377,38.0,41.250874
378,46.0,44.437443
379,50.0,41.75774
380,44.0,41.81485
381,46.0,43.2016
382,48.0,45.24115
383,51.0,51.55724
384,38.0,44.62301
385,49.0,42.03703
386,47.0,43.949352
387,52.0,45.21006
388,44.0,45.08403
389,51.0,44.532276
390,54.0,50.00761
391,41.0,44.01558
392,57.0,39.558254
393,42.0,43.822407
394,33.0,39.52014
395,45.0,44.504597
396,38.0,43.3748
397,41.0,44.96093
398,46.0,43.278206
399,56.0,51.59353
400,41.0,44.074123
401,39.0,46.89293
402,56.0,46.101105
403,42.0,41.78073
404,49.0,50.187927
405,41.0,43.8706
406,44.0,46.07779
407,29.0,42.860214
408,45.0,46.844635
409,43.0,43.40015
410,37.0,43.85974
411,33.0,43.688335
412,49.0,43.901123
413,33.0,40.634712
414,50.0,45.719822
415,35.0,43.809284
416,35.0,46.420666
417,58.0,45.700527
418,44.0,45.198166
419,40.0,46.126457
420,40.0,40.482533
421,41.0,47.766083
422,49.0,44.603123
423,35.0,37.482952
424,53.0,46.403347
425,41.0,42.310814
426,30.0,43.58461
427,30.0,41.279755
428,45.0,46.39508
429,45.0,43.312645
430,47.0,44.997375
431,43.0,44.29053
432,46.0,45.351933
433,41.0,42.44085
434,41.0,41.445793
435,50.0,44.6118
436,31.0,37.424484
437,53.0,46.63057
438,56.0,46.206253
