,SOMAT,0
110,35.0,46.753193
111,37.0,44.21081
112,65.90909091,45.751038
113,35.0,39.60874
114,37.0,43.459778
115,45.0,43.168983
116,36.0,37.742336
117,63.0,50.938877
118,48.0,47.064724
119,36.0,44.391365
120,58.0,46.77912
121,35.0,40.72502
122,76.0,46.471996
123,83.0,46.02554
124,120.0,42.015232
125,50.0,45.836353
126,57.0,45.680717
127,40.0,48.752228
128,39.30555556,45.984646
129,35.0,40.57135
130,45.0,42.250496
131,40.0,44.72746
132,115.0,38.25631
133,40.0,44.296833
134,37.0,40.467636
135,53.0,47.264793
136,50.0,44.94864
137,39.0,40.636192
138,39.72222222,41.44795
139,38.0,42.517513
140,43.0,45.877342
141,43.0,42.85466
142,38.0,45.075146
143,58.0,49.28317
144,43.0,43.850502
145,48.0,41.348495
146,37.57575758,42.802837
147,36.0,36.810608
148,49.0,42.9757
149,45.0,45.809208
150,71.0,51.937176
151,50.0,39.715656
152,73.0,45.037064
153,56.0,43.1547
154,37.36111111,44.226856
155,45.0,43.30823
156,40.0,45.380653
157,71.0,46.13811
158,35.0,52.39177
159,50.0,43.00662
160,43.0,42.079456
161,57.0,39.344788
162,43.0,41.68182
163,43.0,45.253616
164,85.0,41.43229
165,42.72727273,43.546986
166,35.0,42.620007
167,44.0,45.516987
168,47.87878788,47.197647
169,35.0,39.77498
170,51.0,49.48159
171,54.0,47.72822
172,63.0,40.686115
173,35.0,46.628178
174,37.0,37.947086
175,50.45454545,42.708935
176,49.0,44.230244
177,54.0,45.04891
178,61.0,46.518665
179,56.0,48.897484
180,36.0,40.49656
181,35.0,44.575928
182,87.0,46.26178
183,56.0,47.096523
184,66.0,51.063007
185,44.0,44.193462
186,63.0,50.66434
187,53.03030303,47.841644
188,48.0,48.784424
189,39.0,46.934868
190,50.0,47.054066
191,36.0,42.312843
192,48.0,47.742535
193,53.0,40.89269
194,35.0,42.716988
195,53.0,43.464104
196,50.0,43.337986
197,60.0,44.559475
198,36.0,39.026215
199,75.13888889,43.901527
200,40.0,40.55746
201,61.0,40.578854
202,58.18181818,56.38217
203,40.0,38.876465
204,48.0,47.220345
205,67.0,49.608097
206,50.83333333,49.185608
207,45.3030303,45.9427
208,35.0,46.188305
209,35.0,45.01039
210,46.0,45.94144
211,65.0,41.147644
212,42.72727273,42.256798
213,81.0,48.564728
214,62.0,47.1832
215,55.0,49.651604
216,43.0,38.89144
217,72.0,45.62295
218,38.0,42.055702
219,40.0,46.211273
220,37.36111111,42.13575
221,48.0,47.954803
222,80.0,43.605064
223,52.0,47.154392
224,79.0,47.959934
225,37.0,42.746063
226,76.0,44.493767
227,47.0,46.89899
228,76.21212121,45.974186
229,52.0,43.201996
230,42.0,40.7213
231,43.0,43.140617
232,37.0,41.16854
233,41.0,42.331856
234,39.72222222,39.933823
235,66.0,41.284103
236,38.0,37.96545
237,40.0,44.416405
238,35.0,43.892616
239,71.0,51.960842
240,50.45454545,44.46622
241,57.0,57.185894
242,55.60606061,43.333893
243,55.0,53.89535
244,58.18181818,43.668964
245,42.72727273,46.837517
246,76.0,49.0032
247,35.0,39.22988
248,56.0,48.55091
249,35.0,44.240387
250,48.0,46.511635
251,37.57575758,40.665226
252,45.3030303,45.297417
253,35.0,46.526802
254,36.0,41.12648
255,35.0,40.19408
256,37.0,44.25677
257,35.0,43.869724
258,35.0,46.247772
259,44.44444444,45.12792
260,62.0,48.252968
261,42.0,46.671684
262,92.0,44.939426
263,35.0,41.68684
264,42.72727273,42.776672
265,40.0,41.54608
266,49.0,44.219856
267,35.0,45.448555
268,36.0,46.033367
269,37.0,40.786594
270,58.0,49.035057
271,42.08333333,41.939163
272,42.72727273,42.574837
273,38.0,40.860394
274,57.0,39.526
275,97.0,39.66435
276,35.0,43.107895
277,38.0,45.763126
278,50.0,49.330162
279,38.0,45.34958
280,46.0,47.28535
