,RFM,0
166,45.0,53.874046
167,60.0,62.319702
168,60.0,60.532413
169,95.0,63.235607
170,35.0,55.109722
171,80.0,86.72093
172,60.0,67.98414
173,60.0,62.180023
174,100.0,59.006287
175,85.0,79.0894
176,95.0,57.707417
177,80.0,53.47583
178,100.0,65.099
179,85.0,52.8002
180,35.0,50.518784
181,45.0,48.243977
182,45.0,55.162117
183,100.0,71.27588
184,20.0,60.508766
185,20.0,47.43625
186,5.0,56.086235
187,20.0,49.973263
188,60.0,68.22505
189,65.0,64.212204
190,10.0,41.890255
191,10.0,60.04023
192,85.0,77.547295
193,60.0,61.745346
194,95.0,61.47599
195,85.0,61.083836
196,35.0,44.976505
197,5.0,51.35214
198,80.0,51.739742
199,80.0,78.99163
200,45.0,58.300938
201,95.0,50.028614
202,60.0,52.30178
203,65.0,74.118805
204,45.0,56.494965
205,35.0,58.266247
206,100.0,57.581238
207,35.0,48.432186
208,35.0,44.061142
209,60.0,61.599953
210,95.0,69.60128
211,100.0,64.20982
212,20.0,63.128223
213,25.0,58.311604
214,65.0,56.444077
215,20.0,52.941856
216,80.0,50.317543
217,60.0,59.50014
218,95.0,69.345795
219,95.0,66.486755
220,25.0,49.055023
221,25.0,34.674984
222,95.0,59.396835
223,35.0,64.806694
224,10.0,38.052803
225,80.0,63.977375
226,35.0,52.861046
227,60.0,65.513626
228,10.0,60.004784
229,60.0,60.157497
230,65.0,59.383278
231,80.0,67.26608
232,95.0,58.07007
233,20.0,58.243084
234,35.0,37.08171
235,10.0,65.983406
236,35.0,59.4946
237,25.0,64.79586
238,20.0,34.45924
239,85.0,64.6654
240,60.0,42.0997
241,65.0,70.49356
242,35.0,53.770035
243,60.0,81.39457
244,100.0,61.53955
245,20.0,47.030735
246,65.0,60.435905
247,10.0,70.270294
248,65.0,66.95877
249,35.0,58.92792
250,45.0,56.337738
251,85.0,58.033962
252,35.0,58.59899
253,95.0,56.447845
254,80.0,66.62799
255,5.0,71.48191
256,10.0,62.72977
257,25.0,50.684704
258,25.0,46.11312
259,35.0,61.47973
260,85.0,58.91249
261,80.0,59.90886
262,100.0,66.36289
263,35.0,48.458115
264,80.0,67.76599
265,35.0,44.47207
266,80.0,60.653336
267,95.0,53.050865
268,80.0,73.270676
269,60.0,51.65074
270,80.0,50.618553
