,DECEITFULNESS,0
167,0.0,13.164938
168,0.5,15.58655
169,1.25,24.31908
170,0.25,14.3587055
171,3.0,20.544748
172,1.75,21.929502
173,1.0,25.161085
174,0.75,20.21975
175,0.25,21.519266
176,0.25,19.84596
177,1.0,20.827623
178,0.25,21.64743
179,0.25,12.838815
180,2.5,23.214678
181,0.25,20.148912
182,0.0,23.708752
183,2.0,31.14921
184,0.5,22.297451
185,1.25,21.3329
186,0.0,22.867678
187,1.0,20.268492
188,0.25,18.750937
189,0.0,15.051814
190,0.0,22.434278
191,0.25,26.900942
192,1.75,22.398458
193,0.25,20.448399
194,0.0,20.395924
195,0.0,23.147568
196,0.0,19.440987
197,0.25,16.471151
198,0.5,20.196524
199,0.0,17.97969
200,0.75,15.983746
201,0.0,14.215025
202,1.75,23.157043
203,2.0,22.774744
204,0.75,19.257614
205,0.5,21.680773
206,0.0,19.175236
207,0.0,15.412555
208,1.25,19.641678
209,2.25,23.986002
210,0.5,18.877947
211,0.25,22.62051
212,0.0,15.096642
213,1.25,23.186943
214,0.5,17.826227
215,0.5,17.343248
216,0.75,17.277082
217,1.0,15.2264385
218,0.5,23.803488
219,0.0,14.453907
220,0.0,15.184974
221,0.0,19.799994
222,1.25,22.927443
223,0.0,19.988182
224,0.25,20.501688
225,1.0,18.804644
226,0.0,18.359648
227,1.5,21.328144
228,1.0,22.99338
229,0.0,16.05452
230,0.0,8.743354
231,1.75,30.185524
232,0.5,20.410528
233,0.0,18.056017
234,1.5,20.195944
235,0.25,14.484131
236,0.0,18.256392
237,1.75,24.12285
238,0.0,20.708899
239,0.0,16.056684
240,0.75,22.716013
241,0.5,17.936548
242,0.0,19.598415
243,1.5,29.718058
244,0.0,18.774086
245,0.0,19.801123
246,1.5,21.445093
247,2.0,23.762663
248,0.5,17.08293
249,0.5,19.805777
250,0.0,17.877884
251,0.0,19.257433
252,0.0,17.858114
253,1.75,15.097618
254,0.0,16.920544
255,0.5,22.6706
256,1.0,21.988028
257,0.0,15.643086
258,0.0,14.619986
259,0.0,18.676325
260,1.25,20.351189
261,0.75,20.808708
262,0.25,20.395987
263,2.25,20.729794
264,0.75,16.139296
265,1.75,20.834215
266,0.5,14.833006
267,0.5,18.717865
268,2.25,21.281242
269,0.25,18.314743
270,0.0,18.344019
271,2.0,28.349043
272,1.5,19.646385
273,1.25,17.158232
274,0.0,15.821869
275,1.25,21.046808
276,1.5,21.37478
277,0.0,17.608313
278,0.25,16.643803
279,0.5,17.469873
280,1.75,19.758696
281,2.0,22.37923
282,0.0,14.940035
283,3.0,23.96163
284,1.25,28.170454
285,0.0,25.714575
286,0.25,15.978026
287,0.0,13.840854
288,0.75,22.30978
289,0.0,20.280045
290,0.5,14.904415
291,0.0,17.066433
292,0.75,21.671606
293,0.5,20.026878
294,0.0,21.086512
295,1.5,18.672039
296,1.0,17.924591
297,0.75,19.808294
298,0.0,18.968351
299,1.75,22.065569
300,0.0,15.455296
301,0.25,21.425877
302,0.5,15.320539
303,0.0,22.234228
304,0.25,14.308563
305,2.5,21.790062
306,0.5,17.033955
307,0.5,18.044973
308,0.0,19.277637
309,1.25,17.828106
310,0.5,17.663908
311,1.0,22.166649
312,1.0,21.550266
313,0.0,17.917156
314,1.5,22.437304
315,2.0,19.67117
316,0.0,16.168293
317,3.0,24.836397
318,0.5,16.519968
319,0.25,18.684238
320,1.25,15.832606
321,0.0,17.432547
322,1.75,24.360239
323,0.5,16.904085
324,0.0,15.912552
325,0.5,17.10783
326,0.0,15.911388
327,1.0,24.403028
328,2.75,21.794592
329,0.75,21.873407
330,0.5,16.980797
331,1.0,13.243134
332,0.25,16.655516
333,0.75,20.46571
334,1.5,20.705406
335,2.25,23.59603
336,0.0,16.93781
337,0.5,14.111401
338,2.25,27.53207
339,1.0,17.61979
340,1.25,19.58019
341,0.0,19.029661
342,2.75,21.302748
343,0.0,18.022924
344,0.0,17.27138
345,0.25,17.098585
346,2.0,26.448345
347,1.5,20.89696
348,0.0,15.652343
349,0.25,16.340157
350,0.5,19.33145
351,0.0,15.812961
352,0.0,16.110256
353,1.5,27.674128
354,0.0,15.281571
355,0.75,20.221853
356,0.0,18.428349
357,0.0,16.863283
358,0.0,21.538677
359,0.75,20.62403
360,0.5,19.477255
361,0.0,18.256464
362,1.0,19.568857
363,1.0,18.376205
364,0.0,23.628618
365,2.25,20.412712
366,1.5,19.3158
367,0.25,17.90518
368,0.5,19.8006
369,0.0,19.292116
370,1.25,22.968737
371,2.25,20.892757
372,1.5,24.229181
373,0.0,16.321793
374,0.25,20.885862
375,0.5,18.018621
376,0.75,20.79306
377,0.0,22.560514
378,1.5,19.017826
379,1.75,20.876936
380,0.5,19.0191
381,0.25,16.863682
382,2.0,19.098108
383,1.0,14.623341
384,0.0,12.689283
385,1.5,20.395876
386,0.25,16.018633
387,0.0,15.997565
388,0.25,11.305103
389,0.75,20.264917
390,0.5,20.6818
391,0.75,19.422764
392,0.0,21.87251
393,0.0,19.219496
394,0.25,18.652987
395,1.5,17.006697
396,0.0,22.15172
397,0.0,16.734278
398,0.0,11.695717
399,0.0,15.101655
400,0.0,17.502653
401,1.5,24.704077
402,0.25,18.210445
403,0.0,20.895521
404,0.0,19.97564
405,0.25,25.915672
406,1.5,16.078783
407,2.0,24.720959
408,0.5,16.38772
409,2.5,26.08948
410,0.0,17.142778
411,0.0,18.61803
412,1.75,26.280056
413,0.5,14.114834
414,0.75,21.39418
415,0.25,18.41999
