,ACUTE,0
93,2.0,28.707954
94,1.4,27.984415
95,1.6,26.829197
96,2.2,33.39318
97,2.8,30.719713
98,3.0,24.62852
99,1.9,27.576897
100,2.6,23.898386
101,1.4,25.272846
102,1.7,26.838154
103,2.6,24.96029
104,2.4,21.81435
105,2.2,25.89827
106,2.0,24.780624
107,3.3,34.202927
108,1.5,27.410639
109,2.2,27.58293
110,1.6,28.021791
111,2.0,27.549984
112,2.2,27.576147
113,2.3,28.517967
114,2.8,28.706308
115,2.8,31.828424
116,2.0,23.346077
117,3.0,27.366982
118,1.9,24.91988
119,1.4,26.951834
120,2.7,24.306747
121,3.1,29.405321
122,1.6,27.693954
123,2.8,28.312626
124,1.2,24.537941
125,1.7,25.147667
126,1.2,27.293365
127,2.5,28.460934
128,2.4,25.304037
129,1.4,25.428844
130,1.4,26.82168
131,1.7,27.847303
132,2.0,31.433802
133,1.6,25.897768
134,1.8,30.51297
135,2.7,35.0647
136,2.5,29.66568
137,2.0,33.135265
138,2.8,30.789614
139,1.8,24.68909
140,1.0,21.638388
141,2.9,33.046837
142,1.5,29.62792
143,2.6,29.773346
144,3.4,31.457783
145,1.2,23.760277
146,2.0,29.278536
147,1.6,24.286356
148,2.2,29.289772
149,2.8,26.11552
150,1.1,20.940447
151,2.2,25.789686
152,1.4,26.661938
153,1.8,30.525196
154,2.5,27.895414
155,2.0,24.850515
156,2.3,26.494375
157,1.9,29.906033
158,2.1,23.681252
159,1.0,19.742962
160,1.4,21.924047
161,2.6,30.100517
162,3.3,32.262577
163,1.4,25.651207
164,1.4,25.36632
165,2.7,32.93089
166,1.6,28.848314
167,2.2,23.854364
168,2.6,27.965746
169,1.0,21.749565
170,2.7,28.274988
171,1.0,23.264656
172,2.5,29.869286
173,1.7,31.13427
174,1.6,25.83373
175,1.0,27.67804
176,1.4,26.930656
177,1.7,25.677967
178,3.7,27.794403
179,1.4,24.646187
180,3.1,31.213741
181,3.2,29.57496
182,1.9,28.581308
183,3.0,32.19772
184,1.8,29.481197
185,1.4,27.11318
186,2.2,29.713268
187,2.6,29.579884
188,1.7,26.729916
189,1.2,28.308796
190,2.3,27.827955
191,1.3,26.65358
192,2.5,25.560883
193,1.4,21.421318
194,1.4,25.963224
195,3.2,27.926949
196,1.7,26.540932
197,1.2,21.72426
198,3.3,28.969524
199,1.7,25.942501
200,3.4,26.98466
201,1.8,30.821533
202,1.0,25.401388
203,1.3,25.395082
204,2.5,28.610638
205,2.5,28.515038
206,1.4,24.851095
207,2.3,24.995651
208,3.0,30.499733
209,2.2,29.684471
210,1.3,22.027477
211,3.8,31.04779
212,1.0,22.54867
213,3.2,34.21995
214,1.9,27.4207
215,2.0,24.23134
216,2.1,25.48719
217,1.3,29.191801
218,1.2,23.101212
219,2.4,31.617699
220,1.4,26.871986
221,1.4,26.474775
222,2.3,27.2211
223,1.3,26.14549
224,2.9,28.238743
225,1.0,26.636564
226,1.4,22.844458
227,1.1,25.665201
228,1.2,28.198513
229,1.9,25.27453
230,2.5,30.912111
231,1.7,27.228092
232,2.4,31.813225
233,1.6,27.365055
234,1.7,28.807297
235,1.4,28.068718
236,1.4,27.489574
237,1.0,24.449455
238,1.2,22.83651
239,2.0,30.126598
240,2.0,24.951866
241,1.4,24.90023
242,2.1,27.639683
243,2.7,30.228973
244,1.8,23.991953
245,1.1,25.559116
246,1.7,27.588915
247,3.4,30.250385
248,1.7,29.538923
249,2.7,28.529905
250,3.0,29.528637
251,1.4,27.887394
252,1.7,23.416222
253,1.9,23.37808
254,2.1,24.982563
255,2.0,29.441328
256,1.4,25.440502
257,1.0,27.44643
258,4.4,35.983032
259,1.8,23.999157
260,1.1,23.27774
261,1.4,24.379705
262,2.7,30.650822
263,2.2,27.11404
264,2.7,36.14353
265,2.0,28.470749
266,1.7,26.593685
267,2.1,27.036041
268,3.0,29.569643
269,1.9,24.948837
270,2.0,27.037804
271,2.7,28.80186
272,2.7,30.351753
273,1.2,27.809782
274,1.3,31.158577
275,2.0,28.568178
276,3.0,29.17632
277,2.7,28.125843
278,3.4,32.631775
279,1.1,22.009237
280,1.3,24.85299
281,1.6,25.08873
282,1.5,24.864277
283,2.0,26.867195
284,2.7,24.550371
285,1.9,25.46177
286,1.1,26.69488
287,3.3,29.405258
288,1.5,25.713964
289,1.2,26.35638
290,1.4,28.469917
291,1.6,25.360374
292,2.5,26.35291
293,1.3,24.049717
294,1.3,31.153765
295,3.1,23.897484
296,1.2,27.176826
297,1.9,24.882872
298,3.1,27.94779
299,1.1,24.22783
300,1.9,28.809614
301,1.5,23.373653
302,1.6,26.929098
303,1.7,25.999979
304,1.4,28.589334
305,3.0,28.595972
