,WDR,0
117,55.0,50.30495
118,70.0,75.079094
119,15.0,32.294815
120,40.0,48.24452
121,15.0,19.30467
122,95.0,65.118576
123,75.0,79.60827
124,40.0,52.219833
125,25.0,58.199146
126,55.0,56.31579
127,95.0,78.37384
128,15.0,50.796963
129,15.0,56.894146
130,75.0,63.363148
131,5.0,50.94474
132,80.0,74.79989
133,85.0,59.604294
134,80.0,75.013664
135,70.0,72.30967
136,55.0,49.478058
137,80.0,66.37224
138,15.0,32.84362
139,55.0,62.162407
140,70.0,73.06839
141,80.0,73.552315
142,40.0,50.174812
143,95.0,67.62636
144,80.0,74.54092
145,90.0,63.870808
146,45.0,58.57809
147,25.0,40.3774
148,70.0,68.43201
149,95.0,93.83985
150,40.0,46.400707
151,80.0,71.10811
152,10.0,57.362835
153,70.0,63.233326
154,15.0,41.506184
155,5.0,41.215706
156,75.0,71.368996
157,45.0,60.296074
158,5.0,23.239414
159,45.0,57.314934
160,75.0,46.15055
161,85.0,58.806652
162,80.0,72.33569
163,95.0,86.08172
164,75.0,67.22152
165,70.0,75.36787
166,40.0,48.04634
167,40.0,36.61947
168,70.0,63.310974
169,55.0,40.84415
170,55.0,58.078205
171,55.0,59.738415
172,5.0,21.947206
173,85.0,70.97675
174,25.0,28.964094
175,25.0,40.018883
176,95.0,84.69703
177,40.0,46.415756
178,15.0,62.283783
179,70.0,54.51193
180,15.0,38.261986
181,90.0,59.174385
182,95.0,85.902596
183,15.0,22.909399
184,15.0,49.173256
185,95.0,87.4665
186,40.0,40.720444
187,95.0,92.27282
188,70.0,68.15713
189,75.0,67.41501
190,70.0,65.9145
191,40.0,53.511288
192,55.0,57.42447
193,75.0,54.002663
194,95.0,64.412315
195,40.0,45.57532
196,15.0,33.946568
197,45.0,45.692318
198,80.0,82.67263
199,5.0,28.80629
200,45.0,32.55595
201,25.0,40.761787
202,55.0,60.301476
203,45.0,46.782337
204,15.0,25.301147
205,25.0,32.667683
206,70.0,52.87033
207,80.0,50.71907
208,15.0,62.3104
209,30.0,46.028152
210,25.0,30.16399
211,45.0,46.76063
212,25.0,49.397804
213,70.0,69.26683
214,80.0,75.104
215,15.0,40.749702
216,80.0,65.95345
217,95.0,80.25626
218,40.0,47.35444
219,55.0,57.575382
220,55.0,55.998825
221,95.0,76.29408
222,25.0,54.946396
223,55.0,56.73152
224,90.0,72.25338
225,15.0,41.352192
226,45.0,60.14578
227,45.0,51.338882
228,30.0,31.67633
229,90.0,63.833534
230,45.0,59.65763
231,55.0,58.84376
232,40.0,46.961124
233,90.0,69.67748
234,40.0,41.774574
235,45.0,45.16222
236,15.0,54.51589
237,85.0,84.76456
238,90.0,81.19962
239,55.0,59.230072
240,30.0,50.533134
241,75.0,58.738
242,55.0,57.632603
243,55.0,45.41483
244,10.0,46.17093
245,5.0,42.266167
246,40.0,42.908722
247,25.0,38.24184
248,85.0,67.166626
249,70.0,67.198746
250,25.0,25.542278
251,25.0,26.198357
252,25.0,61.2451
253,90.0,62.36618
254,70.0,62.1046
255,70.0,62.779427
256,55.0,56.314564
257,90.0,54.9281
258,70.0,75.96442
259,80.0,61.91411
260,25.0,63.535892
261,70.0,63.528614
262,30.0,53.867043
263,55.0,54.272816
264,70.0,59.158264
265,70.0,61.271523
266,70.0,61.074783
267,40.0,49.06787
268,5.0,55.21291
269,15.0,69.99776
270,70.0,74.17412
271,15.0,31.626184
272,30.0,38.801895
273,40.0,44.46361
274,80.0,57.89395
275,5.0,39.207775
276,55.0,63.492332
277,95.0,70.909676
278,25.0,51.805283
279,75.0,68.84881
280,5.0,55.995064
281,85.0,45.27977
282,95.0,68.71617
283,30.0,44.837746
284,5.0,34.303116
285,40.0,55.676918
286,90.0,77.54753
287,70.0,60.777637
288,70.0,62.769505
289,55.0,56.908787
290,45.0,46.63426
291,75.0,38.490715
292,70.0,74.41707
293,55.0,43.37594
294,10.0,29.169085
295,90.0,72.28068
296,80.0,45.858425
297,15.0,15.13034
298,70.0,74.943825
299,15.0,59.07135
300,70.0,74.8234
301,40.0,43.079514
302,55.0,60.14784
303,70.0,65.33987
304,75.0,51.10852
