,INT,0
254,75.0,68.4642
255,90.0,84.91588
256,95.0,74.32747
257,80.0,76.34596
258,60.0,58.75726
259,80.0,73.44605
260,65.0,67.40388
261,10.0,51.54982
262,55.0,59.78503
263,50.0,58.828392
264,35.0,24.960047
265,60.0,71.535484
266,95.0,94.47091
267,90.0,90.22624
268,20.0,54.00498
269,90.0,78.67756
270,15.0,37.35808
271,100.0,72.82229
272,100.0,72.20827
273,95.0,90.852394
274,55.0,80.24815
275,70.0,77.96436
276,45.0,39.911453
277,80.0,67.54321
278,45.0,56.062687
279,70.0,63.18648
280,90.0,81.74166
281,50.0,92.35328
282,55.0,62.85241
283,50.0,53.501106
284,75.0,66.08395
285,20.0,28.056414
286,90.0,80.23255
287,85.0,66.34089
288,10.0,68.56968
289,5.0,37.90678
290,15.0,54.789886
291,60.0,60.162186
292,100.0,34.46939
293,50.0,54.044525
294,25.0,35.611584
295,60.0,71.09865
296,90.0,68.42004
297,100.0,90.03866
298,100.0,82.14266
299,50.0,47.84639
300,95.0,86.83935
301,10.0,69.78568
302,80.0,61.813465
303,50.0,54.753983
304,65.0,71.57645
305,95.0,95.89916
306,100.0,103.505775
307,30.0,49.80498
308,60.0,56.071274
309,75.0,60.67272
310,85.0,78.657455
311,85.0,82.47279
312,95.0,96.680336
313,95.0,94.69429
314,55.0,58.861122
315,80.0,82.43473
316,30.0,37.597305
317,55.0,57.38975
318,100.0,74.08696
319,15.0,74.09987
320,50.0,45.56443
321,95.0,83.761444
322,35.0,41.6725
323,95.0,64.19445
324,60.0,57.78083
325,70.0,66.27889
326,55.0,60.41828
327,90.0,88.699326
328,95.0,79.239
329,95.0,92.48684
330,5.0,41.527573
331,90.0,87.851524
332,10.0,37.90233
333,100.0,79.39113
334,70.0,74.165794
335,100.0,90.141396
336,95.0,94.03277
337,70.0,67.16685
338,70.0,69.5035
339,25.0,81.2823
340,80.0,82.03365
341,35.0,48.379692
342,35.0,42.41576
343,100.0,59.694004
344,70.0,65.462326
345,95.0,73.41142
346,95.0,94.56878
347,85.0,85.14758
348,100.0,76.54546
349,100.0,72.26475
