,FUN_COM,0
141,0.0,22.186384
142,52.0,44.004166
143,58.0,46.59936
144,52.0,54.05383
145,36.0,47.106377
146,46.66666667,49.396736
147,30.0,41.849697
148,36.0,44.625206
149,42.0,40.47604
150,53.0,50.163074
151,54.0,52.806973
152,45.13888889,41.472614
153,61.33333333,46.914097
154,62.0,52.31909
155,38.33333333,40.057354
156,53.0,40.13622
157,42.0,38.693726
158,55.91666667,45.67959
159,30.0,37.11591
160,43.0,41.626884
161,21.0,35.423977
162,60.66666667,51.89199
163,40.0,22.6846
164,45.0,41.091034
165,46.0,30.67855
166,43.0,45.33257
167,39.0,49.114883
168,48.0,41.107555
169,0.0,33.832474
170,33.0,43.651478
171,65.0,49.36226
172,46.0,41.157055
173,56.0,41.378994
174,65.0,47.18618
175,34.0,48.26343
176,36.0,38.280872
177,43.25,48.08996
178,38.0,58.48122
179,48.0,49.441658
180,47.0,37.907055
181,48.0,56.38527
182,42.08333333,47.21764
183,0.0,30.033281
184,0.0,20.684425
185,43.0,49.945957
186,50.0,46.30765
187,47.0,45.557262
188,55.0,51.164467
189,61.0,53.76552
190,40.0,47.00445
191,46.41666667,63.50173
192,35.0,29.020538
193,57.0,48.303696
194,49.0,61.072132
195,41.0,38.641224
196,34.0,42.573414
197,51.0,42.0368
198,60.0,46.03571
199,62.0,50.25484
200,61.0,62.624203
201,45.0,43.71594
202,41.0,38.732224
203,60.0,56.99567
204,41.0,63.927216
205,42.0,41.827454
206,54.0,48.150944
207,60.66666667,41.31939
208,0.0,28.271223
209,51.88888889,31.331173
210,56.0,44.511593
211,32.0,33.63049
212,40.0,45.576927
213,51.0,49.593002
214,41.0,50.659046
215,55.11111111,40.689278
216,47.5,47.193455
217,43.0,45.156822
218,49.72222222,43.27962
219,37.0,48.435936
220,32.0,40.859272
221,0.0,31.13074
222,54.33333333,24.595282
223,44.0,51.063618
224,50.0,52.926006
225,57.5,40.46127
226,44.0,43.7857
227,0.0,45.83547
228,51.0,35.44289
229,45.13888889,35.596188
230,50.0,52.45033
231,62.0,52.112354
232,50.0,45.380764
233,50.0,42.38084
234,48.0,32.29882
235,55.91666667,51.84611
236,41.0,39.261513
237,36.91666667,31.107704
238,40.0,41.502304
239,45.0,42.76566
240,44.0,42.21707
241,41.0,37.16932
242,32.66666667,34.540123
243,0.0,39.56443
244,34.08333333,29.649412
245,51.25,40.01934
246,31.0,30.409765
247,64.0,61.765556
248,33.0,30.693977
249,53.0,43.964832
250,51.0,35.686993
251,53.0,48.592495
252,40.0,36.119102
253,41.0,45.07253
254,52.0,57.552845
255,43.0,38.199413
256,42.0,35.327404
257,51.25,53.880077
258,29.83333333,28.963793
259,34.0,42.725548
260,54.30555556,50.964394
261,0.0,29.129316
262,58.88888889,45.182938
263,38.0,34.789936
264,67.0,51.392723
265,60.0,42.903263
266,54.0,58.010483
267,65.0,49.800644
268,0.0,17.144033
269,62.0,49.930317
270,58.0,34.42275
271,60.0,52.206303
272,60.41666667,35.253906
273,56.0,52.747684
274,60.0,52.97661
275,57.0,47.57809
276,54.0,48.21523
277,54.0,50.751957
278,41.0,43.888184
279,37.0,49.283615
280,33.0,48.304913
281,48.0,47.917934
282,54.0,64.2731
283,52.77777778,65.07066
284,55.83333333,42.121376
285,38.0,38.81474
286,49.72222222,48.824493
287,45.0,53.52628
288,41.16666667,42.65743
289,46.66666667,37.848736
290,0.0,38.54057
291,50.0,45.17053
292,65.0,51.009407
293,51.88888889,41.380253
294,60.0,69.599625
295,48.0,55.70966
296,50.0,46.869896
297,57.0,51.080006
298,47.0,48.175007
299,55.11111111,44.396053
300,51.0,43.311665
301,50.5,49.01865
302,56.0,32.113567
303,36.0,37.178356
304,43.25,32.0984
305,58.88888889,58.010654
306,60.41666667,54.656265
307,36.0,41.416935
308,35.0,48.19714
309,34.88888889,26.134867
