,IRRESPONSIBILITY,0
356,0.0,9.911901
357,0.0,11.090143
358,2.5,13.337576
359,0.5,12.378218
360,1.25,12.618868
361,0.25,12.541832
362,1.5,14.389955
363,0.25,9.6430025
364,0.0,13.447988
365,0.0,9.988796
366,0.25,9.602379
367,0.0,6.477603
368,0.75,11.8365
369,0.0,13.096321
370,0.0,12.480691
371,0.5,10.791313
372,0.25,8.235884
373,0.25,8.213832
374,0.25,12.324608
375,0.0,10.304065
376,0.25,11.40913
377,0.75,19.47866
378,1.5,15.744624
379,0.25,10.90894
380,0.5,10.603868
381,0.0,11.35936
382,0.75,10.525053
383,0.5,11.281508
384,0.5,12.406898
385,0.0,6.295991
386,1.0,12.165121
387,0.0,8.714665
388,0.0,10.786361
389,0.0,7.5746827
390,0.5,14.201739
391,0.0,9.174709
392,0.5,13.987719
393,0.5,15.2420635
394,0.0,9.172031
395,0.5,11.324469
396,0.75,12.788635
397,1.5,17.912376
398,0.0,8.669832
399,0.5,14.046595
400,0.0,11.669186
401,0.75,12.258313
402,0.0,6.9756145
403,1.5,14.961287
404,0.75,12.244157
405,1.75,14.023124
406,1.25,16.143959
407,0.0,7.7393413
408,0.5,14.788344
409,0.0,7.9164276
410,0.25,10.986423
411,0.0,9.820558
412,1.25,8.198427
413,0.0,8.722774
414,0.5,12.41777
415,0.75,12.470481
