,ATTE_PR,0
211,52.0,52.804607
212,48.0,47.742977
213,36.0,49.207336
214,65.0,53.090263
215,58.0,50.999836
216,41.0,48.836258
217,57.0,54.97603
218,47.66666667,52.434696
219,62.0,56.77921
220,41.0,56.74557
221,41.0,48.06295
222,38.33333333,47.42981
223,39.0,45.018726
224,52.0,52.972237
225,36.0,57.57342
226,36.0,54.709454
227,57.0,51.74114
228,58.66666667,56.531605
229,58.0,49.79236
230,50.0,51.180607
231,66.0,60.823338
232,52.0,59.972553
233,62.0,61.94997
234,63.0,55.645626
235,68.0,55.53989
236,44.0,54.86817
237,61.0,52.143627
238,58.0,56.686447
239,39.0,42.54767
240,57.77777778,53.032803
241,61.0,51.179947
242,48.0,53.375374
243,43.0,50.277714
244,52.0,50.577927
245,52.0,49.39011
246,58.0,53.101097
247,36.0,52.950455
248,62.0,53.03788
249,54.0,52.167355
250,63.0,57.239895
251,52.0,51.39653
252,52.33333333,59.180183
253,47.0,47.4672
254,67.16666667,45.67736
255,49.0,50.344864
256,47.0,52.4209
257,63.0,55.058002
258,62.0,54.21022
259,45.0,52.243793
260,36.0,52.894436
261,46.0,55.521458
262,36.0,52.26843
263,50.0,55.612602
264,60.0,52.596764
265,70.0,62.36254
266,55.0,54.446396
267,59.0,56.417927
268,59.0,50.68966
269,71.0,50.080006
270,52.0,54.269028
271,44.0,48.83992
272,54.66666667,55.96309
273,50.0,53.658108
274,41.0,50.430107
275,67.0,56.250614
276,61.0,59.769814
277,50.0,49.78476
278,51.0,50.17213
279,69.0,54.987183
280,60.5,56.340096
281,54.0,53.794094
282,60.5,58.435326
283,40.66666667,49.172726
284,71.0,55.349976
285,73.0,50.48809
286,44.0,49.91445
287,53.0,51.353096
288,50.0,56.142982
289,46.0,48.735622
290,49.61111111,54.496925
291,52.0,47.536163
292,44.0,52.251453
293,56.66666667,52.47568
294,66.0,56.289375
295,63.22222222,57.155342
296,80.0,57.872917
297,58.0,56.059418
298,63.22222222,54.009007
299,71.0,54.29569
300,54.0,54.98476
301,35.0,63.050446
302,41.0,51.135365
303,57.0,50.71744
304,44.16666667,60.608486
305,71.38888889,59.4077
306,57.0,55.884323
307,54.0,53.78941
308,55.0,56.117565
309,41.0,50.823673
310,46.88888889,47.320698
311,52.0,51.951366
312,57.77777778,59.664116
313,57.77777778,52.973732
314,36.0,51.78427
315,44.16666667,44.064335
316,36.0,51.05786
317,50.0,55.58065
318,63.0,62.075157
319,66.0,56.118416
320,50.0,55.59083
321,51.0,53.021194
322,70.0,59.53903
323,49.0,50.307217
324,49.0,48.54219
325,67.0,53.536797
326,71.0,56.59616
327,56.66666667,54.715103
328,50.0,49.49892
329,60.5,56.15324
330,48.0,47.59506
331,69.0,52.85174
332,55.0,54.784096
333,87.0,61.03168
334,49.61111111,50.82877
335,44.0,54.085823
336,60.5,56.568157
337,40.66666667,61.059555
338,54.33333333,53.146503
339,36.0,57.11147
340,52.0,50.93831
341,61.0,56.619545
342,41.0,55.82483
343,41.0,50.43214
344,47.66666667,48.37188
345,57.0,55.490948
346,70.0,54.818085
347,46.0,52.521263
348,52.0,54.66452
349,44.0,51.49869
350,44.16666667,50.944054
351,48.0,45.403027
352,44.0,53.897312
353,57.77777778,57.34818
354,71.38888889,59.95372
355,50.0,51.025837
356,52.0,53.616493
357,64.0,50.947067
358,49.61111111,55.88907
359,43.66666667,44.27757
360,66.0,46.4527
361,71.0,53.56879
362,57.0,52.892185
363,57.0,56.57688
364,50.0,50.559937
365,41.0,51.49527
366,66.0,59.479557
367,69.0,56.927727
368,44.0,48.407578
369,57.0,49.9039
370,41.0,55.136242
371,68.0,51.055172
372,41.44444444,50.698307
373,48.0,46.569523
374,49.0,51.064175
375,47.0,48.83714
376,44.0,54.0256
377,61.0,55.651653
378,44.16666667,51.05536
379,68.66666667,53.232338
380,62.0,51.918514
381,57.77777778,56.823505
382,52.33333333,50.372356
383,52.0,52.574566
384,44.0,54.52434
385,45.0,49.40945
386,60.0,54.759274
387,67.0,59.038116
388,63.0,56.915462
389,52.0,53.43241
390,36.0,44.981964
391,49.0,54.649452
392,52.33333333,50.385994
393,60.0,52.769863
394,69.0,54.09265
395,36.0,53.302124
396,61.0,50.72741
397,55.05555556,49.975227
398,51.0,52.862526
399,52.33333333,55.528397
400,57.77777778,53.44644
401,76.0,55.54139
402,58.0,56.403347
403,50.0,50.167206
404,59.0,57.91059
405,41.0,54.037422
406,44.0,47.31988
407,64.33333333,52.857113
408,65.0,59.829174
409,48.0,52.04661
410,49.0,51.1891
411,51.66666667,52.65461
412,64.0,51.01167
413,57.0,54.268898
414,38.0,52.33296
415,52.33333333,51.24664
416,63.0,63.018307
417,43.0,48.82959
418,66.0,54.68448
419,36.0,49.783287
420,67.0,59.109623
421,64.0,54.034508
422,39.0,48.411217
423,41.0,49.996105
424,77.0,57.52114
425,63.0,57.755417
426,55.0,61.976467
427,57.77777778,54.89226
428,52.33333333,49.60379
429,70.0,56.141308
430,68.66666667,53.34987
431,62.0,56.521034
432,50.0,57.680965
433,61.5,61.14567
434,57.0,57.700047
435,41.0,42.18823
436,57.0,56.98527
437,80.0,49.881485
438,57.0,48.289547
