,REP,0
155,10.0,29.08742
156,40.0,24.96348
157,55.0,23.101948
158,95.0,31.205524
159,10.0,24.03188
160,35.0,27.391869
161,20.0,24.988352
162,5.0,23.140932
163,70.0,24.923645
164,35.0,29.381554
165,10.0,7.79352
166,60.0,23.291111
167,55.0,23.858541
168,5.0,22.869328
169,5.0,26.259176
170,85.0,30.866135
171,20.0,22.720783
172,10.0,38.08375
173,60.0,27.821632
174,55.0,32.394005
175,60.0,35.89066
176,95.0,16.462433
177,25.0,22.06429
178,5.0,38.37045
179,5.0,14.121114
180,55.0,38.945587
181,40.0,30.131956
182,75.0,42.134693
183,55.0,26.504295
184,55.0,23.991474
185,25.0,21.29184
186,40.0,32.4071
187,85.0,25.487331
188,20.0,20.584503
189,20.0,28.446697
190,5.0,26.925764
191,20.0,37.747044
192,10.0,16.100082
193,20.0,30.67206
194,25.0,17.44726
195,10.0,23.697575
196,5.0,18.372314
197,5.0,26.994171
198,60.0,33.854248
199,85.0,33.891766
200,20.0,23.3905
201,60.0,39.561394
202,5.0,13.724302
203,85.0,34.028107
204,10.0,26.51446
205,35.0,21.892303
206,20.0,26.172676
207,20.0,18.668983
208,55.0,21.856136
209,25.0,22.73044
210,100.0,36.740902
211,55.0,32.248547
212,20.0,16.07701
213,40.0,32.58212
214,55.0,28.91181
215,25.0,26.736761
216,25.0,21.103323
217,5.0,18.195967
218,55.0,33.81563
219,25.0,12.844463
220,85.0,36.791435
221,40.0,26.469566
222,90.0,45.0314
223,70.0,27.847263
224,60.0,28.639336
225,55.0,28.28217
226,20.0,20.324558
227,70.0,26.0989
228,35.0,27.957474
229,90.0,26.902273
230,20.0,24.999573
231,100.0,36.2974
232,10.0,23.34749
233,60.0,27.553154
234,75.0,35.68718
235,10.0,32.092655
236,85.0,29.58605
237,100.0,40.98339
238,55.0,24.932741
239,60.0,40.323975
240,55.0,31.609667
241,20.0,23.208572
242,35.0,24.786808
243,25.0,20.234266
244,35.0,31.63198
245,85.0,23.8729
246,85.0,34.494843
247,70.0,25.266521
248,55.0,33.03864
249,10.0,21.011322
250,100.0,45.478695
251,35.0,25.204899
252,35.0,31.053165
253,60.0,26.157812
254,20.0,12.86955
255,10.0,17.370878
256,55.0,33.775097
257,20.0,19.135366
258,70.0,27.751865
259,25.0,31.96163
260,55.0,25.540024
261,85.0,22.525215
262,55.0,28.91362
263,5.0,12.801086
264,10.0,29.241928
265,25.0,26.964233
266,70.0,39.635994
267,55.0,30.480743
268,10.0,17.22741
269,95.0,40.590897
270,20.0,18.48547
271,5.0,22.981812
272,75.0,27.696209
273,55.0,27.400244
274,25.0,22.30138
275,40.0,39.11687
276,40.0,19.826296
277,5.0,35.622223
278,75.0,28.309483
279,35.0,33.035923
280,35.0,35.406586
281,20.0,24.119598
282,5.0,14.819806
283,35.0,23.92387
284,70.0,48.260536
285,35.0,41.99394
286,55.0,31.327679
287,40.0,20.674408
288,55.0,31.894146
289,60.0,28.33777
290,10.0,21.442753
291,5.0,35.2767
292,60.0,29.591503
293,60.0,27.327408
294,40.0,18.347483
295,5.0,22.302666
296,10.0,35.011555
297,35.0,34.50663
298,85.0,40.813538
299,35.0,30.544588
300,5.0,16.617651
301,10.0,6.761406
302,40.0,23.299665
303,5.0,14.865232
304,70.0,31.22914
305,20.0,17.786934
306,5.0,23.53516
307,100.0,36.891727
308,100.0,25.504587
309,85.0,28.946024
310,60.0,26.994104
311,55.0,28.724985
312,95.0,31.487692
313,70.0,35.769722
314,20.0,33.54043
315,55.0,17.503973
316,20.0,13.502634
317,35.0,31.659311
318,5.0,19.77883
319,10.0,18.741182
320,20.0,14.91067
321,100.0,30.279503
322,20.0,27.273293
323,20.0,25.380283
324,5.0,20.028301
325,55.0,37.56995
326,25.0,20.324144
327,35.0,26.042234
328,35.0,25.731003
329,20.0,28.177761
330,70.0,20.780386
331,70.0,31.05494
332,5.0,26.89967
333,5.0,28.77098
334,40.0,29.34068
335,20.0,27.304771
336,85.0,35.610687
337,90.0,36.482403
338,95.0,33.278934
339,60.0,19.723831
340,75.0,32.8692
341,85.0,26.667843
342,95.0,33.38487
343,55.0,22.606144
344,85.0,30.793074
345,95.0,26.23558
346,90.0,36.43539
