,GRANDIOSITY,0
365,0.75,8.148571
366,1.25,16.051249
367,2.5,13.643224
368,0.5,10.595583
369,0.75,9.694416
370,0.5,6.227422
371,0.0,5.5768843
372,0.0,8.715685
373,0.5,10.702976
374,0.0,9.176234
375,1.0,9.197987
376,0.75,9.25776
377,0.0,14.036981
378,0.5,11.952268
379,0.25,8.69655
380,2.0,8.207779
381,1.0,10.161645
382,2.0,14.51988
383,0.0,6.3947487
384,0.0,4.877059
385,0.0,9.073166
386,1.25,9.198224
387,0.5,9.303827
388,2.25,11.853593
389,1.75,14.037605
390,1.5,14.383909
391,1.5,12.86464
392,0.25,11.277082
393,0.0,12.535506
394,0.25,5.574233
395,0.25,10.254284
396,0.25,10.725769
397,0.25,12.125822
398,1.5,8.639264
399,1.75,12.234379
400,0.5,9.365898
401,1.5,15.306673
402,0.0,5.2208138
403,2.0,12.922045
404,0.75,12.412857
405,0.0,6.0668964
406,0.0,8.55233
407,0.5,9.139555
408,0.25,9.885167
409,0.0,6.8251276
410,0.25,9.699944
411,0.5,10.986132
412,0.0,9.808699
413,0.25,11.281913
414,0.25,9.912077
415,1.5,9.362353
