,FAN,0
200,75.0,71.85815
201,5.0,57.99629
202,75.0,58.60233
203,45.0,55.24943
204,35.0,81.065094
205,15.0,28.836924
206,20.0,62.03733
207,45.0,49.860573
208,90.0,82.61461
209,75.0,71.00642
210,35.0,45.148067
211,5.0,49.944645
212,15.0,57.88405
213,100.0,74.861244
214,5.0,69.07224
215,45.0,58.105167
216,20.0,43.327152
217,15.0,61.318466
218,15.0,57.642567
219,100.0,73.538734
220,65.0,66.81374
221,60.0,66.28497
222,15.0,62.539272
223,75.0,78.19306
224,100.0,74.65427
225,5.0,48.405064
226,35.0,52.343285
227,30.0,72.64943
228,90.0,74.734955
229,95.0,88.60835
230,15.0,41.14893
231,90.0,74.85096
232,90.0,79.12351
233,90.0,61.47787
234,35.0,33.806896
235,80.0,80.69251
236,80.0,77.63449
237,15.0,53.750668
238,35.0,79.8451
239,80.0,72.59029
240,45.0,60.321873
241,90.0,86.57338
242,45.0,59.275463
243,5.0,54.98158
244,100.0,58.84078
245,5.0,49.368073
246,35.0,51.113632
247,90.0,83.591835
248,60.0,66.07932
249,100.0,66.37412
250,45.0,56.70251
251,15.0,47.959698
252,90.0,86.80749
253,75.0,79.58919
254,15.0,64.02743
255,35.0,64.75728
256,60.0,67.502396
257,65.0,75.28932
258,65.0,72.02812
259,15.0,34.14754
260,90.0,58.181805
261,30.0,69.448006
262,90.0,86.791466
263,20.0,32.132114
264,80.0,76.47756
265,90.0,62.9086
266,90.0,88.185486
267,60.0,67.119835
268,5.0,50.957737
269,65.0,85.469025
270,90.0,100.07349
271,60.0,75.564255
272,45.0,42.779594
273,45.0,48.704185
274,15.0,24.871
275,75.0,63.618404
276,50.0,53.258488
277,5.0,49.628765
278,95.0,90.31107
279,30.0,36.83836
280,60.0,63.548943
281,60.0,70.99997
282,45.0,58.338257
283,100.0,85.98501
284,50.0,54.484943
285,95.0,52.80207
286,90.0,65.02688
287,100.0,98.89832
288,45.0,74.5546
289,90.0,80.41191
290,90.0,83.98107
291,100.0,86.47115
292,45.0,49.75207
293,60.0,65.47531
294,100.0,78.054405
295,100.0,80.08083
296,80.0,87.258385
297,60.0,69.20236
298,45.0,66.49265
299,30.0,38.359303
300,95.0,86.2019
301,35.0,68.00561
302,65.0,73.854126
303,60.0,67.79439
304,60.0,60.93575
305,30.0,59.602673
306,60.0,68.08323
307,15.0,53.523106
308,5.0,47.717052
309,65.0,84.94455
310,80.0,86.68984
311,100.0,94.0867
312,75.0,83.41607
313,65.0,68.283585
314,15.0,74.822266
315,100.0,89.27143
316,75.0,84.28545
317,90.0,94.88775
318,65.0,47.755016
319,90.0,88.010414
320,65.0,78.23854
321,45.0,61.039112
322,65.0,81.47532
323,90.0,88.26031
324,50.0,55.662918
325,60.0,62.886868
326,90.0,77.35885
327,80.0,66.58348
328,100.0,86.544945
329,60.0,71.14091
330,100.0,73.78834
331,65.0,72.504715
332,45.0,64.46505
333,30.0,41.46407
334,95.0,71.54391
335,5.0,69.66128
336,90.0,64.21263
337,5.0,73.81333
338,100.0,88.07406
339,90.0,86.14001
340,30.0,67.01515
341,65.0,72.46652
342,60.0,60.61877
343,75.0,83.11426
344,45.0,54.577717
345,30.0,54.5135
346,20.0,55.48142
347,5.0,62.416042
348,45.0,59.903988
349,75.0,76.36073
350,50.0,39.286407
351,50.0,62.05324
352,50.0,65.461555
353,30.0,54.036053
354,100.0,75.81292
355,95.0,69.18407
356,45.0,79.09405
357,90.0,92.92624
358,100.0,64.74329
359,60.0,62.581036
360,100.0,80.90508
361,15.0,80.99586
362,95.0,66.99517
363,100.0,95.17198
364,80.0,66.80444
365,65.0,66.42989
366,90.0,81.06974
367,35.0,45.42081
368,100.0,69.19524
369,60.0,66.051384
370,60.0,61.356396
371,60.0,70.55063
372,45.0,75.91557
373,90.0,82.41244
374,65.0,70.84121
375,90.0,94.17939
376,60.0,65.235794
377,80.0,70.718575
378,60.0,72.68308
379,45.0,42.591816
380,90.0,77.091896
381,65.0,76.54517
382,100.0,73.9125
383,75.0,54.44031
384,50.0,43.631233
385,5.0,56.733524
386,60.0,69.79308
387,90.0,97.77045
388,15.0,40.556942
389,45.0,55.310764
390,60.0,60.033745
391,75.0,79.64345
392,5.0,67.67047
393,90.0,77.99595
394,15.0,65.32832
395,90.0,74.80418
396,50.0,68.40226
397,5.0,54.225063
398,45.0,53.480114
399,50.0,57.41239
400,100.0,77.55145
401,80.0,90.30524
402,95.0,59.221447
403,30.0,58.54626
404,30.0,41.113113
405,45.0,52.736763
406,35.0,65.20008
407,75.0,76.25676
408,90.0,68.48073
409,50.0,61.003742
410,100.0,82.302376
411,35.0,64.89524
412,5.0,41.139038
413,15.0,80.59076
414,90.0,76.56145
415,30.0,60.587185
416,5.0,57.66458
417,90.0,76.02502
418,60.0,56.536194
419,30.0,38.432613
420,90.0,86.04197
421,45.0,56.692074
422,45.0,55.254974
423,90.0,71.77594
424,15.0,59.91611
425,75.0,69.48994
426,80.0,86.04693
427,30.0,42.354458
428,90.0,66.85245
429,45.0,70.04249
430,90.0,75.68106
431,50.0,77.71543
432,35.0,40.962063
433,5.0,54.23968
434,90.0,94.95481
435,35.0,46.240116
436,75.0,72.943985
437,75.0,78.4783
438,15.0,60.722862
439,5.0,64.16478
440,75.0,77.83183
441,95.0,79.790436
442,100.0,98.865616
443,15.0,47.72536
444,60.0,79.89252
445,45.0,72.84214
446,75.0,74.36486
447,100.0,72.0242
448,5.0,21.636919
449,75.0,75.15915
450,75.0,84.31321
451,5.0,56.307133
452,50.0,66.165474
453,45.0,53.864662
454,100.0,64.15916
455,90.0,80.35847
456,75.0,85.47878
457,50.0,56.045704
458,75.0,76.41702
459,90.0,41.11192
460,100.0,72.83096
461,95.0,38.316555
462,5.0,71.36484
463,45.0,47.404175
464,95.0,80.57023
465,60.0,62.093685
466,100.0,64.65441
467,45.0,50.918293
468,45.0,46.437126
469,50.0,50.221573
470,90.0,79.19902
471,60.0,65.59773
472,5.0,61.971825
473,80.0,84.347595
474,60.0,62.464672
475,50.0,60.602715
476,95.0,77.004486
477,5.0,19.205791
478,15.0,52.23695
479,30.0,45.892365
480,30.0,44.20834
481,100.0,74.33719
482,5.0,44.2935
483,60.0,67.01487
484,30.0,51.559124
485,95.0,81.50465
486,60.0,78.68094
487,45.0,52.62309
488,75.0,65.245094
489,35.0,69.56735
490,95.0,90.532555
491,90.0,77.32379
492,95.0,80.848915
493,60.0,55.75236
494,60.0,71.10373
