,BULLY,0
95,42.0,43.23131
96,51.0,50.849
97,42.0,44.178017
98,98.0,64.05206
99,55.0,53.96893
100,44.0,43.873363
101,49.0,44.420956
102,64.0,61.954998
103,46.0,44.19268
104,49.0,45.459644
105,44.0,47.167408
106,49.0,43.855957
107,44.0,47.665207
108,73.0,61.003635
109,44.0,47.182617
110,55.0,51.61037
111,46.0,46.51411
112,53.0,53.550423
113,42.0,49.62033
114,49.0,46.937035
115,71.0,60.948845
116,42.0,46.086113
117,51.0,45.60386
118,42.0,49.067657
119,42.0,42.536423
120,49.0,50.23877
121,42.0,42.34249
122,62.0,62.104504
123,51.0,55.76497
124,62.0,57.314667
125,44.0,51.09401
126,49.0,47.510124
127,53.0,50.145706
128,42.0,46.00959
129,53.0,50.59134
130,44.0,41.414326
131,49.0,46.609642
132,91.0,67.109375
133,42.0,48.294006
134,53.0,53.28038
135,44.0,45.03747
136,42.0,50.193214
137,44.0,48.79654
138,46.0,45.169605
139,42.0,42.796158
140,64.0,53.267498
141,49.0,47.718582
142,46.0,48.911713
143,51.0,50.468784
144,51.0,51.121525
145,42.0,49.182026
146,51.0,44.239395
147,46.0,46.946106
148,42.0,43.523106
149,51.0,47.8208
150,53.0,51.801502
151,42.0,42.597137
152,58.0,51.50877
153,53.0,51.479633
154,46.0,40.822613
155,55.0,52.091362
156,49.0,50.1463
157,49.0,51.533382
158,60.0,60.645996
159,53.0,45.129707
160,53.0,54.43297
161,42.0,37.298306
162,46.0,43.97678
163,44.0,45.671314
164,44.0,47.33088
165,42.0,46.753525
166,46.0,48.092926
167,58.0,49.81227
168,42.0,50.817844
169,53.0,49.884727
170,42.0,45.836754
171,46.0,44.907978
172,51.0,56.640594
173,46.0,51.762474
174,44.0,52.201138
175,49.0,48.968185
176,46.0,47.988506
177,42.0,48.97761
178,44.0,48.100353
179,46.0,47.93988
180,60.0,49.08275
181,53.0,53.537224
182,58.0,49.08264
183,44.0,42.58375
184,53.0,46.62546
185,49.0,52.778954
186,49.0,46.685665
187,49.0,50.006542
188,46.0,48.69241
189,44.0,53.064205
190,42.0,52.625237
191,66.0,54.95978
192,62.0,60.033028
193,49.0,50.942898
194,49.0,53.829544
195,42.0,47.16037
196,51.0,47.303917
197,80.0,54.950455
198,89.0,56.991417
199,87.0,61.56318
200,46.0,52.56371
201,46.0,43.173744
202,44.0,49.784718
203,44.0,46.23356
204,42.0,43.161434
205,51.0,48.690063
206,49.0,55.239178
207,55.0,51.04743
208,53.0,51.679363
209,44.0,42.969437
210,55.0,50.27366
211,51.0,49.118774
212,49.0,48.685833
213,42.0,45.79604
214,55.0,52.717354
215,42.0,48.59645
216,46.0,53.74736
217,76.0,51.918777
218,51.0,57.07148
219,51.0,49.953785
220,44.0,51.411854
221,55.0,57.37548
222,44.0,47.87359
223,44.0,44.690704
224,53.0,44.15179
225,46.0,52.386314
226,84.0,68.685425
227,53.0,49.96563
228,71.0,54.441216
229,55.0,57.853355
230,44.0,50.934048
231,44.0,43.80645
232,44.0,45.246643
233,51.0,55.15818
234,46.0,50.59264
235,49.0,45.479202
236,46.0,50.52076
237,49.0,40.849552
238,53.0,50.182682
239,55.0,51.5993
240,58.0,53.94669
241,44.0,44.387722
242,42.0,51.24347
243,44.0,48.002995
244,58.0,47.258003
245,49.0,55.908615
246,42.0,39.860367
247,49.0,50.177917
248,75.0,64.366646
249,42.0,44.457764
250,49.0,47.094223
251,44.0,42.502277
252,42.0,43.089993
253,62.0,55.272057
254,75.0,57.376343
255,42.0,43.84039
256,44.0,46.43205
257,46.0,46.14152
258,44.0,46.2361
259,49.0,43.694637
260,46.0,43.491486
261,42.0,40.822422
262,62.0,55.481953
263,44.0,47.45356
264,46.0,43.43299
265,46.0,47.729668
266,44.0,47.603325
267,46.0,47.430603
268,58.0,51.54516
269,46.0,43.804993
270,51.0,50.77488
271,49.0,48.579006
272,71.0,58.217827
273,42.0,43.8661
274,51.0,52.299824
275,46.0,47.8301
276,53.0,55.968338
277,60.0,49.340904
278,42.0,53.955727
279,46.0,45.16592
280,49.0,46.544346
281,51.0,47.961613
282,46.0,45.928734
283,42.0,43.289528
284,80.0,68.76784
285,53.0,49.836647
286,46.0,47.94106
287,44.0,43.679222
288,49.0,40.805847
289,64.0,54.844032
290,46.0,49.997986
291,44.0,51.631935
292,62.0,53.338097
293,46.0,45.52166
294,49.0,52.474937
295,49.0,49.077843
296,46.0,44.26075
297,46.0,47.15029
298,42.0,48.886856
299,58.0,50.82032
300,42.0,50.418827
301,51.0,52.000217
302,51.0,51.414776
303,46.0,41.716843
304,44.0,47.75134
305,44.0,43.793514
306,49.0,53.110977
307,60.0,49.900696
308,66.0,54.817303
309,55.0,53.42759
310,49.0,49.22622
311,49.0,46.339584
312,42.0,43.35054
313,62.0,52.54603
314,96.0,68.73829
315,66.0,63.104855
316,46.0,49.12166
317,49.0,44.61845
318,58.0,52.4897
319,55.0,56.9444
320,42.0,46.808533
321,42.0,46.49718
322,60.0,53.714546
323,60.0,50.68495
324,51.0,47.33759
325,46.0,48.137974
326,49.0,52.305862
327,46.0,48.016945
328,87.0,61.629517
329,55.0,50.08271
330,51.0,47.679104
331,44.0,47.095516
332,44.0,46.543167
333,42.0,48.423637
334,42.0,45.177853
335,49.0,49.40291
336,42.0,44.619442
337,44.0,52.142612
338,51.0,48.913574
339,44.0,46.528576
340,55.0,52.789627
341,98.0,70.08067
342,60.0,48.37595
343,69.0,60.30567
344,62.0,48.604565
345,49.0,51.611053
346,44.0,43.73017
347,44.0,44.81326
348,42.0,44.31532
349,46.0,51.814857
350,51.0,46.36953
351,46.0,48.720337
352,44.0,43.18946
353,53.0,48.683384
354,71.0,63.521328
355,53.0,48.121384
356,49.0,47.31935
357,44.0,43.42414
358,42.0,44.26916
359,69.0,55.278206
360,46.0,45.31491
361,46.0,46.32446
362,51.0,50.784023
363,55.0,52.16702
364,46.0,43.855762
365,53.0,49.7629
366,42.0,46.120686
367,69.0,56.066902
368,73.0,62.9953
369,55.0,52.632046
370,46.0,47.22077
371,44.0,42.61891
372,91.0,66.33633
373,53.0,48.71263
374,46.0,53.376457
375,49.0,45.017647
376,44.0,43.87884
377,71.0,60.504364
378,46.0,45.23606
379,73.0,55.029236
380,42.0,42.882393
381,58.0,50.338085
382,53.0,48.923256
383,53.0,52.49357
384,44.0,37.22116
385,51.0,48.397354
386,73.0,53.163143
387,44.0,49.69104
388,42.0,46.30819
389,42.0,40.738438
390,53.0,47.703598
391,46.0,47.344036
392,51.0,51.476685
393,44.0,48.790066
394,49.0,49.56543
395,44.0,48.344315
396,46.0,43.212948
397,44.0,46.72638
398,58.0,52.364906
399,44.0,50.895985
400,46.0,48.390728
401,42.0,50.389736
402,51.0,56.646248
403,44.0,45.764713
404,55.0,59.966625
405,44.0,52.43265
406,91.0,68.25541
407,55.0,51.627502
408,49.0,55.52126
409,44.0,44.38259
410,46.0,54.87705
411,49.0,55.842552
412,49.0,44.521133
413,44.0,42.858086
414,44.0,43.976624
415,49.0,47.689835
416,80.0,57.83619
417,53.0,55.58522
418,46.0,47.735302
419,49.0,51.604385
420,49.0,48.363487
421,55.0,52.23016
422,46.0,49.810425
423,46.0,41.231117
424,46.0,43.540874
425,60.0,54.306183
426,49.0,48.889244
427,58.0,53.754963
428,44.0,47.702076
429,49.0,50.334667
430,53.0,55.07344
431,42.0,54.952587
432,62.0,56.9058
433,51.0,46.968143
434,44.0,48.18174
435,42.0,45.498623
436,44.0,48.606277
437,46.0,46.708454
438,58.0,52.923874
