,EXE_FUN,0
338,65.0,13.898123
339,58.0,13.735155
340,47.0,13.981014
341,38.0,8.442765
342,42.0,13.678215
343,58.0,17.45423
344,56.0,14.054592
345,46.0,7.227684
346,46.0,7.7586203
347,38.0,8.887565
348,47.0,11.245384
349,58.0,12.754089
350,42.0,11.209019
351,82.0,17.34
352,51.0,13.07036
353,45.0,5.776641
354,38.0,10.890155
355,56.0,11.591422
356,70.0,16.13774
357,56.0,12.86644
358,47.0,12.236899
359,54.0,14.135715
360,51.0,13.329307
361,54.0,10.556039
362,52.0,12.62603
363,54.0,10.389141
364,44.0,12.833991
365,70.0,13.214965
366,42.0,14.868865
367,49.0,9.971064
368,58.0,12.730319
369,47.0,12.563464
370,51.0,14.970045
371,42.0,7.9517546
372,65.0,12.900276
373,66.0,10.119365
374,51.0,11.863267
375,51.0,12.160886
376,60.0,12.04732
377,37.0,16.813751
378,53.0,15.594371
379,46.0,10.891831
380,45.0,12.966147
381,51.0,9.149494
382,42.0,12.464893
383,44.0,14.004565
384,56.0,11.857954
385,56.0,17.558575
386,58.0,11.644341
387,53.0,14.004556
388,66.0,15.460529
389,49.0,11.753801
390,40.0,11.232549
391,73.0,8.605311
392,45.0,8.709426
393,59.0,11.915179
394,49.0,9.63647
395,49.0,12.092794
396,44.0,10.626175
397,47.0,9.00195
398,42.0,8.322648
399,66.0,18.614824
400,51.0,10.835214
401,61.0,15.870955
402,59.0,13.281928
403,49.0,10.25719
404,56.0,13.848962
405,44.0,4.8607025
406,42.0,9.8243065
407,45.0,19.629183
408,51.0,4.70199
409,51.0,5.20222
410,45.0,12.240561
411,52.0,10.770616
412,58.0,13.383258
413,49.0,15.769332
414,60.0,12.948773
415,51.0,14.244987
416,46.0,10.665217
417,58.0,15.424656
418,51.0,10.959788
419,51.0,12.865338
420,59.0,19.316809
421,45.0,15.575749
422,56.0,14.019109
423,47.0,7.2433157
424,52.0,10.575547
425,63.0,15.653623
426,42.0,7.173855
427,53.0,8.028089
428,49.0,10.448212
429,75.0,17.414461
430,65.0,11.831896
431,54.0,7.9080887
432,46.0,15.985294
433,45.0,5.62658
434,63.0,18.217386
435,53.0,11.783535
436,54.0,9.069554
437,67.0,11.796352
438,47.0,12.350114
