,LEAD,0
337,58.13333333,22.661345
338,51.0,14.604192
339,62.0,19.033392
340,52.0,20.729483
341,49.0,17.306517
342,29.0,14.327506
343,56.125,21.971254
344,68.0,24.019278
345,34.875,15.348676
346,45.0,19.068302
347,41.0,15.966666
348,42.0,16.698273
349,41.0,19.605291
350,57.0,15.254592
351,47.0,13.244171
352,43.83333333,16.685423
353,73.0,29.419464
354,42.0,14.251513
355,54.0,25.640165
356,59.0,12.764115
357,33.0,15.518385
358,39.0,16.03372
359,49.0,21.38053
360,62.0,19.560541
361,52.0,14.7627125
362,48.0,16.714764
363,69.0,16.207638
364,68.0,17.197971
365,64.0,19.449936
366,41.0,10.054732
367,53.0,18.559752
368,58.0,14.495806
369,37.0,12.784291
370,44.83333333,15.859164
371,45.0,14.522178
372,49.33333333,18.426485
373,51.0,18.86859
374,51.0,11.0113535
375,39.0,16.733496
376,60.0,22.447668
377,39.0,15.342972
378,49.75,15.6373005
379,40.8,15.672486
380,53.0,16.484743
381,51.0,13.55464
382,54.0,20.086815
383,35.0,17.05381
384,51.8,14.25215
385,67.0,19.568731
386,52.93333333,14.567631
387,58.0,18.142202
388,47.2,15.664386
389,45.0,16.355562
390,47.73333333,8.681318
391,48.0,15.789976
392,57.0,18.055017
393,71.0,18.191378
394,45.66666667,14.940132
395,48.0,15.789322
396,30.0,14.246902
397,48.0,9.417532
398,20.0,10.394128
399,50.0,14.648937
400,35.3,11.157427
401,71.0,17.612585
402,72.0,17.91565
403,67.0,14.751759
404,39.0,13.324113
405,60.0,19.911493
406,50.0,18.057001
407,47.2,14.660183
408,37.0,19.378008
409,49.75,17.17028
410,39.0,14.382571
411,60.0,8.386604
412,38.0,15.200974
413,72.0,17.154839
414,66.0,16.157433
415,32.13333333,14.923071
416,39.0,11.653759
417,62.4,12.6701
418,47.0,9.975877
419,44.0,4.6405535
420,56.0,17.878504
421,58.0,19.485174
422,44.0,17.964273
423,43.375,15.5206375
424,38.0,13.477697
425,59.0,15.366851
426,53.0,22.951513
427,60.0,16.39056
428,45.5,17.001371
429,49.0,11.738321
430,39.125,14.417384
431,60.0,13.544135
432,51.2,17.654636
433,62.16666667,15.947815
434,34.0,14.600312
435,46.0,19.637192
436,47.0,17.749811
437,33.0,12.109862
438,40.0,16.80416
