,DSP,0
160,60.0,82.48553
161,60.0,68.078285
162,60.0,57.013847
163,50.0,59.4311
164,80.0,90.64973
165,60.0,65.82984
166,75.0,78.22642
167,5.0,52.071014
168,50.0,67.813774
169,95.0,70.99566
170,45.0,63.480103
171,45.0,63.588917
172,75.0,82.622536
173,60.0,65.81157
174,95.0,74.17259
175,65.0,77.32187
176,60.0,73.47021
177,65.0,72.602425
178,30.0,41.3571
179,5.0,42.05926
180,80.0,44.62045
181,60.0,68.54316
182,85.0,82.463005
183,30.0,56.15933
184,100.0,77.59605
185,30.0,59.21663
186,90.0,88.58779
187,5.0,41.701263
188,60.0,73.84052
189,95.0,87.85567
190,65.0,75.106255
191,60.0,67.284195
192,45.0,61.29592
193,65.0,76.997375
194,45.0,74.9094
195,50.0,66.41991
196,45.0,61.170193
197,85.0,89.70575
198,60.0,65.30992
199,100.0,66.74513
200,50.0,55.577778
201,85.0,71.91037
202,75.0,77.76283
203,30.0,57.842064
204,75.0,70.337494
205,5.0,74.97478
206,5.0,61.156685
207,100.0,108.66071
208,45.0,60.76118
209,75.0,89.045074
210,30.0,62.693005
211,80.0,75.5408
212,95.0,70.6302
213,95.0,81.0681
214,5.0,57.49117
215,100.0,76.43165
216,50.0,67.84889
217,100.0,71.44162
218,30.0,41.52945
219,5.0,20.464226
220,45.0,58.639328
221,30.0,68.74579
222,5.0,51.788284
223,60.0,64.57113
224,60.0,72.674194
225,45.0,49.152138
226,80.0,76.78767
227,60.0,58.25202
228,95.0,100.380516
229,85.0,80.077644
230,30.0,45.602837
231,60.0,77.25708
232,60.0,78.325356
233,90.0,74.44854
234,45.0,54.041943
235,45.0,56.636265
236,65.0,73.13585
237,50.0,74.263016
238,50.0,59.024517
239,100.0,86.01231
240,60.0,58.14042
241,85.0,77.49247
242,100.0,82.63695
243,90.0,74.48956
244,75.0,76.50477
245,100.0,66.98384
246,45.0,62.756184
247,75.0,78.306984
248,5.0,85.94541
249,85.0,90.05723
250,85.0,83.39323
251,65.0,66.684845
252,45.0,52.709908
253,80.0,81.25938
254,45.0,56.27786
255,80.0,76.28787
256,50.0,61.26628
257,85.0,90.25735
258,60.0,83.59231
259,90.0,77.28896
260,60.0,64.49025
261,45.0,62.23794
262,75.0,81.8943
263,30.0,54.38107
264,45.0,77.139175
265,60.0,74.921005
266,30.0,64.7349
267,45.0,85.747986
268,45.0,67.518005
269,95.0,66.38246
270,75.0,81.16371
271,60.0,72.00825
272,85.0,85.71244
273,5.0,59.15645
274,60.0,82.41458
275,60.0,72.793304
276,95.0,62.15496
277,30.0,46.795242
278,45.0,70.221275
279,100.0,78.46619
280,95.0,78.71806
281,75.0,81.81165
282,30.0,76.294106
283,30.0,71.15617
284,5.0,54.1461
285,60.0,81.662155
286,95.0,88.1227
287,75.0,72.040436
288,95.0,58.377914
289,45.0,75.45708
290,30.0,47.63434
291,60.0,68.57687
292,60.0,75.64644
293,65.0,75.818085
294,5.0,47.499508
295,80.0,82.53054
296,5.0,66.65034
297,85.0,86.35693
298,30.0,67.797485
299,75.0,81.38995
300,95.0,104.3006
301,50.0,78.276436
302,45.0,63.326973
303,60.0,69.580605
304,100.0,67.70052
305,5.0,50.480362
306,50.0,61.263783
307,5.0,45.310604
308,80.0,71.73071
309,85.0,74.04494
310,60.0,71.21044
311,60.0,71.65675
312,30.0,55.52748
313,65.0,73.51853
314,80.0,80.64379
315,30.0,50.93929
316,95.0,70.54002
317,95.0,70.95362
318,95.0,89.45763
319,5.0,61.765507
320,50.0,71.38486
321,100.0,95.51771
322,95.0,72.14086
323,80.0,85.76732
324,95.0,77.4749
325,95.0,79.23808
326,90.0,99.20502
327,30.0,58.66623
328,5.0,34.71016
329,50.0,59.30123
330,60.0,62.427307
331,85.0,68.41602
332,45.0,57.354404
333,30.0,63.732563
334,60.0,68.0167
335,75.0,78.805176
336,30.0,70.30904
337,75.0,67.88958
338,95.0,74.86394
339,5.0,63.719345
340,5.0,44.48
341,75.0,80.00161
342,30.0,53.707394
343,5.0,47.917645
344,85.0,80.701256
345,50.0,69.7769
346,30.0,47.586617
347,95.0,70.945
348,80.0,74.82812
349,65.0,68.47452
350,60.0,66.45038
351,50.0,61.79286
352,5.0,69.46078
