,CON,0
125,90.0,40.295547
126,5.0,26.132553
127,5.0,37.543224
128,90.0,35.319088
129,90.0,37.139687
130,5.0,26.107836
131,90.0,29.984264
132,5.0,31.713762
133,100.0,45.43582
134,5.0,27.902565
135,5.0,32.611366
136,5.0,41.36173
137,5.0,28.267672
138,80.0,30.270895
139,5.0,26.841196
140,85.0,29.754488
141,5.0,32.076607
142,5.0,37.67187
143,100.0,38.292717
144,90.0,30.82087
145,100.0,31.034056
146,5.0,30.320463
147,5.0,33.36693
148,100.0,37.87277
149,5.0,19.466566
150,90.0,38.276142
151,5.0,20.849218
152,5.0,21.52172
153,90.0,44.688583
154,95.0,35.648396
155,5.0,20.344963
156,95.0,26.746853
157,80.0,44.047512
158,5.0,30.591093
159,5.0,37.217754
160,5.0,18.37536
161,5.0,34.972866
162,5.0,29.361113
163,5.0,26.405714
164,5.0,29.155077
165,85.0,43.581936
166,5.0,12.28323
167,5.0,32.535393
168,5.0,29.358728
169,80.0,33.01972
170,90.0,29.677301
171,90.0,39.110874
172,5.0,33.84708
173,5.0,21.952
174,5.0,39.267693
175,100.0,39.476723
176,5.0,35.839252
177,5.0,30.820286
178,5.0,16.227175
179,5.0,14.561476
180,5.0,25.07006
181,5.0,22.932014
182,5.0,34.850502
183,100.0,40.48055
184,5.0,26.887562
185,5.0,28.47529
186,5.0,23.147009
187,90.0,27.044607
188,5.0,25.665396
189,5.0,36.542126
190,5.0,32.266552
191,5.0,30.121023
192,5.0,27.958012
193,5.0,24.008373
194,5.0,34.06292
195,100.0,30.3898
196,95.0,29.077604
197,100.0,37.034878
198,80.0,37.208782
199,5.0,20.579847
200,5.0,33.654728
201,5.0,25.553326
202,5.0,25.718706
203,5.0,46.01551
204,5.0,18.513151
205,5.0,37.011738
206,95.0,35.94589
207,5.0,23.173607
208,5.0,35.41759
209,100.0,28.570303
210,5.0,21.852562
211,5.0,17.334856
212,5.0,20.911604
213,5.0,20.907476
214,80.0,40.02223
215,85.0,30.53338
216,80.0,34.237732
217,5.0,29.216215
218,5.0,33.179646
219,5.0,24.203493
220,100.0,30.487137
221,5.0,34.16402
222,5.0,23.304102
223,5.0,21.210192
224,5.0,29.117716
225,5.0,25.553406
226,5.0,30.247799
227,85.0,27.925688
228,5.0,39.555557
229,100.0,31.529882
230,5.0,21.738182
231,5.0,27.847504
232,90.0,38.256
233,5.0,39.0156
234,5.0,22.445309
235,5.0,26.873991
236,5.0,25.689453
237,90.0,36.867466
238,5.0,16.377182
239,100.0,28.137829
240,100.0,40.642582
241,95.0,38.687428
242,80.0,36.37903
243,5.0,23.20445
244,80.0,33.959625
245,5.0,34.961864
246,5.0,24.969877
247,5.0,26.483929
248,90.0,29.93889
249,100.0,35.554836
250,5.0,38.019104
251,5.0,24.78122
252,5.0,30.169752
