,CALLOUSNESS,0
107,0.5,17.576908
108,0.25,17.01468
109,0.0,16.855305
110,0.0,18.000576
111,0.0,17.797958
112,0.0,16.813807
113,0.0,15.353628
114,0.5,20.147682
115,1.5,19.587227
116,1.25,20.14008
117,0.0,18.290602
118,0.0,12.194164
119,0.75,18.940166
120,0.75,19.12445
121,0.0,17.744415
122,0.0,17.56587
123,0.25,19.336895
124,0.0,15.209283
125,0.0,15.836923
126,0.25,16.508493
127,1.0,20.741386
128,0.0,17.847836
129,2.25,23.056965
130,0.75,18.503159
131,2.25,19.953884
132,0.0,18.18134
133,0.75,18.263985
134,0.0,16.900532
135,0.5,17.36338
136,0.0,17.259506
137,0.0,17.681717
138,0.0,13.0018635
139,0.5,18.398726
140,0.0,20.54267
141,0.0,19.143688
142,0.25,17.161297
143,0.0,15.052767
144,0.0,18.577803
145,1.0,18.493437
146,0.0,16.369465
147,1.5,21.987846
148,0.0,16.509407
149,0.0,16.268051
150,0.0,14.421005
151,0.0,14.122696
152,0.0,17.96418
153,0.0,17.256365
154,0.0,19.6954
155,1.0,21.634422
156,1.5,19.342424
157,0.5,20.003887
158,0.5,17.054432
159,0.25,16.275805
160,0.0,19.323708
161,0.25,17.110477
162,1.0,24.300198
163,0.0,16.122475
164,0.0,19.931269
165,0.0,18.064274
166,2.75,24.04055
167,0.0,11.992767
168,0.0,15.83849
169,0.0,16.015251
170,1.0,20.261124
171,1.75,22.198772
172,1.75,22.11304
173,0.5,18.600983
174,0.25,19.809612
175,0.0,18.22734
176,0.25,16.740633
177,0.0,16.643303
178,0.0,15.812586
179,0.0,16.562798
180,0.0,16.334572
181,0.25,20.763031
182,0.0,17.796093
183,0.25,15.224586
184,0.0,16.288698
185,0.75,16.493002
186,0.5,19.676128
187,1.5,20.14743
188,1.25,15.326112
189,0.25,13.874121
190,0.0,18.615374
191,0.0,20.122486
192,1.25,22.119764
193,0.5,19.17842
194,0.75,18.705685
195,0.0,14.734201
196,1.5,21.63518
197,0.25,16.52317
198,0.75,20.671295
199,1.0,16.981651
200,0.0,15.531883
201,0.0,16.300728
