,COND_PR,0
236,43.0,46.206654
237,45.0,46.760273
238,39.95238095,46.439125
239,37.0,45.113766
240,44.0,47.401306
241,37.0,43.76274
242,53.0,48.211063
243,55.0,49.308422
244,50.0,48.52003
245,69.0,46.389908
246,85.0,43.7576
247,41.9047619,44.264557
248,38.0,40.37258
249,38.0,44.88301
250,43.48148148,47.67528
251,40.0,44.098927
252,37.0,53.28058
253,47.76190476,44.77407
254,43.85714286,46.11263
255,40.0,41.74973
256,70.0,51.89392
257,38.0,44.589527
258,37.0,45.083256
259,81.0,49.52144
260,53.0,51.496723
261,42.0,47.911705
262,56.0,45.599445
263,81.0,51.073452
264,55.57142857,54.693768
265,55.57142857,47.33828
266,39.95238095,45.7647
267,44.0,45.449604
268,40.0,42.454285
269,47.81481481,44.086784
270,38.0,40.473312
271,38.0,44.673603
272,38.0,43.309765
273,40.0,48.585182
274,51.0,50.743217
275,65.0,50.10351
276,38.0,41.3676
277,40.0,41.936684
278,37.0,48.34864
279,44.0,45.98805
280,41.9047619,44.41933
281,39.95238095,53.818558
282,38.0,47.4708
283,44.0,46.50756
284,47.76190476,46.383217
285,40.0,45.244812
286,38.0,47.23117
287,54.0,49.15064
288,38.0,48.003723
289,50.0,47.036827
290,43.0,42.297592
291,38.0,43.819054
292,61.0,47.248787
293,54.0,48.31638
294,44.0,46.3219
295,34.0,51.973732
296,40.0,46.93925
297,59.0,48.114986
298,38.0,43.132072
299,37.18518519,40.96029
300,39.7037037,45.184322
301,54.0,48.316723
302,46.22222222,48.226727
303,42.0,44.869255
304,48.0,50.29917
305,38.0,47.600082
306,56.0,49.14505
307,47.81481481,41.954475
308,40.0,45.080097
309,56.0,49.617813
310,41.9047619,45.41732
311,52.0,48.512756
312,38.0,46.39009
313,61.0,41.755596
314,56.0,50.42895
315,40.0,47.588333
316,55.0,44.144672
317,42.0,44.29754
318,73.0,48.123203
319,65.40740741,54.514286
320,44.0,45.186676
321,41.9047619,47.194626
322,52.0,49.67511
323,80.0,50.57478
324,38.0,46.068623
325,50.0,45.349518
326,38.0,39.203785
327,45.80952381,45.02645
328,52.0,50.241882
329,39.7037037,50.5725
330,41.0,50.720303
331,38.0,40.26128
332,38.0,40.656643
333,63.0,46.84192
334,38.0,44.59292
335,41.0,44.94884
336,37.0,50.478695
337,50.0,47.745354
338,38.0,44.507576
339,40.37037037,48.04251
340,38.0,40.36843
341,38.0,46.403286
342,61.0,52.067028
343,48.0,42.50047
344,58.0,51.182545
345,38.0,46.581398
346,46.0,46.542065
347,42.0,43.458595
348,45.80952381,47.82334
349,52.0,51.779984
350,110.0,52.255764
351,38.0,44.636887
352,38.0,41.058174
353,54.0,48.76852
354,45.80952381,46.403557
355,40.0,47.236607
356,54.0,52.42086
357,48.0,45.64559
358,40.0,44.61449
359,39.95238095,48.67487
360,48.0,46.51967
361,38.0,42.892292
362,40.0,45.975063
363,72.0,48.94601
364,43.48148148,44.50498
365,45.0,44.647453
366,64.0,45.86867
367,56.2962963,46.71489
368,38.0,41.333874
369,44.0,49.063896
370,46.0,48.514572
371,44.0,46.689
372,51.66666667,48.226944
373,38.0,41.696148
374,64.0,52.12117
375,71.0,52.654312
376,43.0,49.778664
377,52.0,46.461746
378,39.92592593,41.4944
379,42.0,43.280712
380,51.0,50.35736
381,57.7037037,44.45259
382,55.57142857,44.140476
383,40.0,44.172283
384,38.0,41.293945
385,38.0,42.70326
386,55.57142857,48.336815
387,91.0,47.47444
388,38.0,45.34079
389,38.0,41.38991
390,40.0,47.900887
391,38.0,49.22277
392,43.0,45.253727
393,46.0,47.938026
394,38.0,41.87204
395,42.0,43.34952
396,51.0,45.30974
397,43.85714286,45.603462
398,51.0,52.266876
399,45.80952381,48.09948
400,59.0,47.834724
401,39.95238095,42.884827
402,71.0,47.766865
403,38.0,49.231895
404,53.61904762,47.352818
405,46.0,51.110825
406,38.0,45.342068
407,47.76190476,50.547672
408,49.0,49.111107
409,48.96296296,49.70808
410,38.0,46.055077
411,48.0,46.25586
412,78.0,54.42669
413,42.0,44.683147
414,38.0,46.114925
