,ATTENTION_SEEKING,0
361,2.5,7.992648
362,0.5,7.1319904
363,2.0,6.014478
364,1.75,7.320483
365,1.5,7.71186
366,0.5,5.262174
367,1.0,7.6664557
368,0.5,6.5971675
369,1.75,8.624426
370,1.75,7.4060125
371,2.25,11.492137
372,1.25,9.389482
373,0.75,8.650458
374,2.25,7.573504
375,1.0,8.924815
376,1.75,8.019369
377,2.5,9.650881
378,1.0,7.364415
379,0.75,5.4767985
380,1.0,10.2239895
381,1.25,5.673329
382,3.0,10.5343
383,1.5,5.225714
384,0.25,5.6557236
385,0.0,3.6529782
386,0.0,6.9216743
387,0.25,6.663732
388,0.75,7.049933
389,1.5,8.196712
390,2.25,6.759917
391,0.5,7.5895905
392,2.0,11.258912
393,1.5,7.533385
394,0.0,5.8181396
395,0.0,7.325504
396,1.0,7.4023786
397,0.5,5.684165
398,0.0,6.948643
399,3.0,8.780395
400,0.5,6.0390463
401,2.5,10.237175
402,2.25,9.575781
403,2.0,9.362881
404,0.25,8.791897
405,1.25,8.668406
406,0.75,6.1435633
407,1.25,10.883646
408,3.0,10.994063
409,3.0,10.767429
410,1.75,9.44182
411,0.0,5.577954
412,1.75,9.369841
413,1.0,6.9047356
414,0.25,5.959956
415,0.5,7.6873875
