,OMN,0
136,40.0,44.358604
137,60.0,72.73477
138,100.0,81.266556
139,40.0,65.894775
140,60.0,66.624626
141,5.0,40.905613
142,60.0,50.966633
143,65.0,52.65463
144,100.0,61.060608
145,5.0,38.736416
146,25.0,40.953953
147,95.0,58.88139
148,20.0,59.173546
149,65.0,61.111076
150,20.0,49.658848
151,60.0,60.63449
152,60.0,63.006496
153,100.0,78.34161
154,65.0,63.30978
155,40.0,63.053627
156,20.0,45.0573
157,60.0,71.856964
158,25.0,65.43413
159,80.0,40.666035
160,40.0,53.261066
161,5.0,20.088823
162,10.0,50.02699
163,25.0,57.233837
164,25.0,32.47274
165,80.0,74.00595
166,65.0,61.239437
167,80.0,82.658005
168,80.0,87.2101
169,80.0,53.921272
170,60.0,64.53023
171,65.0,72.497284
172,60.0,80.771576
173,65.0,73.6479
174,45.0,53.464138
175,25.0,31.745293
176,80.0,79.780304
177,95.0,58.851337
178,40.0,52.435932
179,65.0,67.24327
180,10.0,44.673374
181,60.0,62.355022
182,95.0,77.61491
183,65.0,67.507866
184,40.0,44.882553
185,40.0,58.438404
186,40.0,33.24621
187,60.0,58.23259
188,65.0,83.65853
189,95.0,81.806564
190,95.0,60.158966
191,40.0,48.18803
192,40.0,63.179367
193,95.0,77.66176
194,25.0,70.29998
195,20.0,49.95318
196,20.0,38.57684
197,80.0,60.056835
198,85.0,82.85026
199,20.0,53.768772
200,10.0,40.646652
201,20.0,29.338053
202,45.0,51.8613
203,5.0,46.267853
204,20.0,40.894234
205,5.0,12.9133835
206,40.0,67.36782
207,40.0,55.328632
208,60.0,65.12498
209,25.0,52.533794
210,60.0,55.890617
211,65.0,53.986958
212,40.0,58.30003
213,95.0,80.84723
214,60.0,59.7819
215,10.0,32.083706
216,100.0,75.620445
217,40.0,56.597694
218,10.0,27.520533
219,5.0,15.41432
220,80.0,66.05207
221,10.0,57.052914
222,20.0,40.21864
223,10.0,46.030327
224,80.0,46.77288
225,25.0,50.72143
226,80.0,83.532326
227,20.0,55.35039
228,60.0,44.567974
229,20.0,42.364952
230,80.0,66.86107
231,65.0,67.963036
232,80.0,76.182724
233,65.0,61.875996
234,60.0,54.821793
235,5.0,22.26095
236,85.0,62.113605
237,60.0,49.345676
238,5.0,37.795918
239,5.0,46.241314
240,95.0,60.674973
241,20.0,29.846455
242,100.0,50.487892
243,40.0,54.537983
244,20.0,59.89662
245,95.0,80.991356
246,85.0,50.770977
247,95.0,86.51503
248,45.0,51.292194
249,85.0,60.372402
250,80.0,54.417336
251,5.0,26.574629
252,80.0,74.827866
253,40.0,49.41435
254,80.0,75.65636
255,5.0,41.200123
256,40.0,57.615986
257,60.0,59.375736
258,80.0,78.90456
259,60.0,52.526295
260,25.0,37.14822
261,40.0,48.961445
262,80.0,68.94182
263,95.0,79.176895
264,95.0,76.71986
265,45.0,67.08892
266,65.0,63.43833
267,25.0,34.49821
268,95.0,73.49974
269,20.0,43.28113
270,20.0,43.0663
271,5.0,22.09074
272,40.0,49.968487
273,60.0,43.75555
274,80.0,71.17177
275,40.0,57.749283
276,25.0,56.40752
277,45.0,41.794464
278,60.0,56.202034
279,80.0,74.247635
280,60.0,77.22494
281,95.0,67.70297
282,100.0,91.13618
283,5.0,40.54233
284,20.0,50.40745
285,95.0,98.11328
286,40.0,48.817955
287,40.0,51.01968
288,40.0,68.17153
289,20.0,36.920647
290,95.0,71.564514
291,80.0,66.0983
292,45.0,67.76892
293,80.0,81.95065
294,65.0,48.05507
295,5.0,34.78759
296,45.0,49.398136
297,60.0,67.54603
298,80.0,83.24087
299,65.0,52.02096
300,20.0,23.03341
301,40.0,61.318546
302,100.0,60.956806
303,80.0,42.14333
304,85.0,54.398895
305,60.0,59.89799
306,100.0,56.824326
307,95.0,50.286
308,20.0,26.2736
309,60.0,57.606133
310,10.0,57.59011
311,5.0,43.26024
312,95.0,88.99237
313,20.0,37.50146
314,10.0,36.40956
315,85.0,71.43336
316,95.0,54.879242
317,40.0,39.06679
318,5.0,38.858696
319,60.0,59.828205
320,5.0,35.468254
321,20.0,26.817339
322,80.0,57.499645
323,40.0,47.18498
324,10.0,43.071648
325,10.0,63.3546
326,95.0,94.56721
327,20.0,62.435932
328,45.0,42.138405
329,25.0,34.512455
330,95.0,71.33318
331,20.0,32.78807
332,5.0,17.5535
333,80.0,71.12933
334,60.0,60.24992
335,60.0,64.56359
336,10.0,44.768593
337,60.0,50.53955
338,5.0,45.111908
339,10.0,51.114304
340,45.0,47.230755
341,65.0,72.25337
342,80.0,85.8009
343,60.0,53.410732
344,80.0,64.83347
345,100.0,58.970257
346,10.0,12.373865
347,95.0,77.972565
348,40.0,49.21375
349,60.0,58.978294
350,95.0,52.39299
351,80.0,84.83033
352,10.0,40.066628
353,40.0,41.098736
354,5.0,42.490314
355,40.0,74.10696
356,20.0,36.450077
357,20.0,39.21288
358,65.0,64.79225
359,10.0,32.879517
360,45.0,53.806664
361,60.0,51.245693
362,85.0,69.09991
363,80.0,67.64926
364,85.0,100.60583
365,10.0,50.17844
366,20.0,29.530134
367,25.0,40.76425
368,60.0,70.2685
369,60.0,60.039165
370,20.0,52.81917
371,85.0,39.123966
372,40.0,42.755756
373,80.0,64.78674
374,25.0,47.00682
375,10.0,60.535954
376,80.0,51.90428
377,60.0,51.99129
378,20.0,48.16923
379,65.0,50.311855
380,40.0,51.823807
381,95.0,77.04062
382,80.0,66.10025
383,45.0,57.52757
384,65.0,59.56145
385,60.0,39.043446
386,40.0,44.54695
387,80.0,54.142582
388,95.0,60.69736
389,100.0,77.15733
390,80.0,62.97528
391,40.0,55.949642
392,40.0,41.91057
393,100.0,71.59479
394,40.0,47.60358
395,60.0,61.883316
396,95.0,46.74014
397,40.0,67.48705
398,45.0,52.55386
399,100.0,56.449116
400,10.0,43.19675
401,80.0,67.537094
402,80.0,80.306595
403,10.0,25.162792
404,40.0,57.552593
405,100.0,82.742256
406,45.0,41.55433
407,45.0,55.2143
408,20.0,41.741978
409,40.0,62.26858
410,60.0,43.687553
411,65.0,33.408142
412,5.0,32.496563
413,100.0,77.4926
414,25.0,31.453735
415,60.0,63.81258
416,60.0,50.620914
417,85.0,53.174625
418,80.0,55.623505
419,60.0,63.797703
420,85.0,37.302258
421,80.0,40.52615
422,40.0,61.179615
423,10.0,46.312443
424,95.0,63.65974
425,95.0,57.90609
426,80.0,72.5007
427,10.0,66.19608
428,25.0,41.373043
429,40.0,48.521194
430,80.0,44.352562
431,20.0,48.5585
432,95.0,80.501366
433,80.0,79.590775
434,5.0,55.19697
435,60.0,61.269466
436,40.0,42.23833
437,95.0,83.85649
438,65.0,73.633545
439,40.0,48.094875
440,95.0,80.36532
441,60.0,67.902756
442,5.0,49.76814
443,80.0,60.69178
444,60.0,57.927586
445,20.0,56.024185
446,80.0,56.601273
447,20.0,58.126846
448,20.0,32.02865
449,65.0,77.9068
450,95.0,68.61067
451,45.0,46.259045
452,40.0,47.670788
453,85.0,75.35399
454,95.0,75.45252
455,45.0,58.171333
456,10.0,23.216013
457,20.0,63.583344
458,20.0,37.517963
459,5.0,14.94062
460,100.0,58.070103
461,80.0,60.69706
462,60.0,67.05476
463,60.0,62.828045
464,40.0,34.39323
465,10.0,45.60362
466,5.0,51.5553
467,5.0,29.232796
468,20.0,28.443039
469,40.0,48.2148
470,20.0,36.346252
471,80.0,76.73603
472,60.0,54.403805
473,95.0,68.49318
474,65.0,64.48712
475,80.0,57.01126
476,95.0,76.94213
477,65.0,46.77432
478,40.0,48.128403
479,40.0,65.89914
480,45.0,50.57039
481,10.0,34.22158
482,45.0,44.943794
483,40.0,52.153446
484,45.0,52.938145
485,25.0,37.513424
486,95.0,68.74781
487,25.0,40.66717
488,40.0,39.774357
489,25.0,42.974136
490,60.0,56.405865
491,60.0,67.75245
492,10.0,42.70664
493,20.0,55.801414
494,40.0,43.249783
