,MANIPULATIVENESS,0
118,0.0,11.72905
119,0.5,6.5630074
120,1.25,12.219691
121,0.75,13.933174
122,1.25,10.620292
123,1.75,16.924019
124,0.5,4.802718
125,2.5,21.8066
126,0.75,13.938798
127,1.0,14.098851
128,0.0,11.914599
129,2.0,18.700703
130,1.0,17.544603
131,0.0,9.883218
132,1.0,14.563857
133,1.0,19.14231
134,2.25,14.569157
135,1.25,13.066959
136,0.0,15.309642
137,1.0,12.128836
138,0.5,7.5560327
139,2.25,20.190409
140,1.5,16.919083
141,0.25,13.438949
142,0.5,11.170115
143,0.0,16.783218
144,1.5,18.029121
145,1.5,16.96886
146,0.5,11.415474
147,0.75,13.160922
148,0.0,11.506685
149,1.5,15.481268
150,0.0,7.5089107
151,0.5,14.308895
152,1.25,14.01598
153,1.0,17.239626
154,0.75,16.365305
155,1.5,18.572998
156,0.0,13.963473
157,0.25,13.172004
158,0.25,13.764361
159,2.25,16.759579
160,0.25,17.005472
161,1.25,8.632157
162,2.25,15.966165
163,0.75,15.335721
164,0.0,14.90777
165,1.5,12.561004
166,0.75,17.381948
167,0.5,15.413167
168,0.75,14.844375
169,0.0,6.854512
170,1.5,15.774493
171,2.0,17.715511
172,2.75,22.515276
173,2.75,16.640312
174,0.0,13.996227
175,0.75,11.771407
176,0.5,14.195277
177,0.0,12.597871
178,0.0,14.77533
179,0.25,9.9674225
180,0.25,6.018331
181,0.75,14.561624
182,0.5,14.062767
183,1.25,20.644136
184,0.5,11.1714325
185,0.25,9.668834
186,0.0,13.49771
187,0.0,6.0858593
188,0.5,10.534167
189,0.25,16.801367
190,1.5,13.878102
191,0.25,8.804261
192,1.25,17.374931
193,1.0,14.025558
194,1.5,15.756416
195,0.0,9.805069
196,0.75,13.929391
197,0.25,10.764546
198,0.5,8.750609
199,1.0,10.213214
200,1.25,15.551885
201,1.0,15.863869
202,1.0,11.345851
203,2.0,12.953389
204,0.75,17.827465
205,1.0,7.2925425
206,2.5,15.488214
207,0.5,9.1682005
208,0.0,11.1238575
209,0.25,11.393985
210,0.0,19.550497
211,0.25,17.991104
212,0.0,10.417854
213,0.75,14.138644
214,0.5,18.805508
215,1.75,18.114706
216,0.25,11.311128
217,2.25,18.340439
218,0.5,12.438217
219,0.25,9.534287
220,2.25,14.739995
221,0.75,14.264481
222,0.75,15.985169
223,0.5,15.0190115
224,0.5,8.884316
225,0.0,15.841266
226,1.0,13.908911
227,0.0,8.8258295
228,1.25,12.590541
229,1.25,19.321468
230,2.75,22.185701
231,1.5,14.900068
232,2.75,20.43117
233,0.75,14.803357
234,0.5,10.868903
235,1.0,11.6822405
236,2.0,14.933307
237,0.0,13.298164
238,1.25,15.370325
239,2.0,15.72102
240,2.0,17.803041
241,0.0,9.833728
242,1.0,16.76789
243,0.0,10.297178
244,0.25,16.23173
245,0.0,12.485036
246,0.0,8.465882
247,1.0,10.637128
248,0.75,13.914096
249,0.75,8.748797
250,1.75,11.610763
251,2.0,12.143793
252,1.25,21.582718
253,1.0,11.339107
254,0.25,14.666668
255,0.5,13.327371
256,0.75,8.539923
257,1.5,13.845954
258,1.5,16.234604
259,1.0,15.137612
260,0.25,14.72684
261,0.0,13.468676
262,0.0,10.37419
263,1.25,20.092539
264,0.0,10.544182
265,1.75,20.415258
266,0.5,9.80331
267,1.25,18.706839
268,0.5,7.3071485
269,0.0,10.302729
270,1.25,14.340043
271,0.25,15.49669
272,0.5,14.77792
273,1.25,17.812502
274,1.5,9.958559
275,0.25,15.242094
276,1.25,14.874615
277,1.0,17.043776
278,0.5,14.225437
279,1.75,17.57142
280,1.0,13.74307
281,2.0,16.030731
282,1.75,18.512278
283,0.75,14.46955
284,0.0,5.828305
285,1.25,13.054851
286,0.25,12.179114
287,1.25,17.354214
288,0.0,12.966929
289,0.25,8.92261
290,0.25,13.251512
291,2.5,5.798383
292,0.75,12.189674
293,0.5,13.394901
294,1.5,16.441702
295,0.0,13.630946
296,2.0,15.158442
297,1.0,11.244364
298,0.0,13.253378
299,0.5,16.835758
300,0.0,13.166901
301,1.0,12.716887
302,2.75,16.622318
303,0.25,10.31869
304,2.25,17.464273
305,1.5,14.425786
306,0.25,13.064665
307,0.25,9.472709
308,1.75,15.653422
309,0.0,10.602502
310,0.75,12.248231
311,0.5,11.302189
312,0.5,12.113047
313,0.5,10.801265
314,0.0,7.633883
315,1.0,13.744283
316,1.75,14.30629
317,1.5,15.843492
318,1.75,16.889456
319,0.5,17.816458
320,1.0,14.814155
321,1.0,13.968322
322,1.0,13.480325
323,0.25,11.740617
324,1.5,15.302873
325,0.0,12.850781
326,0.5,15.040082
327,1.0,15.249816
328,1.5,14.527318
329,2.0,13.374362
330,0.25,14.07017
331,0.75,13.630172
332,0.25,11.594191
333,1.25,14.905053
334,0.5,10.027343
335,1.0,12.878119
336,0.25,13.704715
337,0.5,11.606915
338,0.0,12.480947
339,1.25,10.027987
340,1.5,13.413459
341,0.25,12.536951
342,0.5,10.373758
343,1.25,18.373013
344,2.0,16.899883
345,0.0,14.738702
346,1.0,13.74479
347,0.5,10.706275
348,2.5,16.83465
349,0.5,15.252663
350,3.0,19.750624
351,1.25,12.490279
352,0.75,13.012721
353,1.75,12.741905
354,0.0,12.211038
355,2.25,16.612732
356,0.0,13.276151
357,1.0,13.589965
358,2.25,16.984182
359,2.5,14.946045
360,1.25,12.8448925
361,0.0,12.109475
362,0.75,18.72195
363,1.5,16.567646
