,EMOTIONAL_LABILITY,0
113,2.5,13.556535
114,0.0,2.7466574
115,1.25,13.796833
116,2.0,12.959595
117,0.0,6.2530556
118,0.0,5.9305286
119,1.75,12.275037
120,1.5,10.16822
121,0.75,12.710736
122,1.5,10.766629
123,2.25,11.694268
124,3.0,15.826555
125,1.0,9.204382
126,0.75,11.613668
127,1.0,8.973064
128,0.25,3.412831
129,3.0,13.885473
130,1.5,12.879696
131,0.75,15.748986
132,1.75,11.81093
133,0.0,9.616339
134,0.25,8.919883
135,1.0,14.368581
136,2.0,10.928263
137,1.25,5.06824
138,1.75,9.170375
139,1.25,12.268254
140,1.0,8.819657
141,2.5,12.8923025
142,0.5,9.677548
143,0.75,8.734769
144,0.0,10.295029
145,2.5,16.08156
146,1.5,7.7435594
147,1.5,5.2403145
148,0.25,10.540088
149,0.25,9.033443
150,0.0,11.350626
151,0.25,8.553798
152,0.5,3.0692778
153,0.0,8.779802
154,0.5,8.938455
155,1.25,11.994912
156,1.75,15.10805
157,2.25,15.001208
158,0.25,8.46638
159,0.75,9.583803
160,1.0,12.303523
161,0.0,8.891305
162,1.0,11.291539
163,0.0,8.002475
164,0.25,7.3330097
165,0.0,9.006148
166,0.0,7.219615
167,1.25,11.442866
168,2.0,13.332925
169,1.0,9.509695
170,1.0,7.813048
171,1.5,14.824792
172,0.5,7.5232315
173,0.0,7.1266494
174,0.0,7.770685
175,0.0,7.755471
176,2.0,13.944207
177,1.5,10.540932
178,0.0,7.6639876
179,1.0,9.235961
180,0.5,6.858683
181,0.0,6.4198594
182,0.25,10.606015
183,0.25,6.4370303
184,3.0,13.0226755
185,1.25,11.426475
186,0.25,6.8639135
187,0.25,7.3698473
188,0.0,6.3725295
189,0.25,6.284324
190,2.5,13.728431
191,0.75,12.955373
192,0.0,9.689971
193,1.0,10.2087145
194,0.0,10.700613
195,0.5,6.1906967
196,1.0,7.0138383
197,1.0,11.8437605
198,2.5,11.166373
199,0.0,7.3493257
200,1.0,10.640046
201,1.75,10.515273
202,2.5,13.722415
203,3.0,16.24996
204,0.0,8.830144
205,0.0,14.523337
206,0.5,9.4626
207,1.0,11.007927
208,1.0,11.83331
209,0.75,7.202656
210,1.0,5.1973443
211,0.75,9.976383
212,1.75,9.708911
213,0.5,9.449167
214,0.5,3.2953522
215,0.0,3.3365762
216,0.0,8.385679
217,0.0,4.719522
218,0.75,8.568027
219,1.75,8.567194
220,1.25,7.9012117
221,1.0,11.014246
222,1.25,12.158139
223,0.0,9.559089
224,0.75,7.491521
225,0.5,6.4232125
226,0.0,10.398743
227,0.5,8.152764
228,0.75,6.7082644
229,1.0,10.330897
230,1.25,9.333058
231,0.25,2.4417472
232,0.0,4.999698
233,0.0,10.266081
234,2.0,15.13123
235,1.25,5.4968486
236,2.5,12.901281
237,0.5,11.752349
238,0.25,10.350666
239,0.0,8.477109
240,2.0,9.677992
241,1.25,9.761384
242,0.0,8.647188
243,1.5,9.891822
244,2.5,14.277677
245,1.75,10.509766
246,0.5,11.8305435
247,0.75,8.285798
248,0.0,7.04866
249,1.25,7.282774
250,0.5,10.325024
251,0.0,9.28548
252,0.5,10.944147
253,2.25,9.706344
254,2.25,11.034604
255,0.75,4.757626
256,2.25,13.983968
257,3.0,14.6771755
258,0.0,8.498897
259,0.0,11.2238035
260,0.0,9.576375
261,0.0,7.952771
262,2.0,13.324644
263,1.25,8.846872
264,2.25,9.523922
265,0.5,8.832854
266,3.0,13.616677
267,2.25,11.292367
268,0.5,8.776004
269,1.0,5.146211
270,0.25,6.903932
271,1.5,7.7788415
272,0.75,12.52251
273,0.0,7.330138
274,0.0,7.3399134
275,0.5,11.520843
276,0.0,6.412461
277,0.0,4.676972
278,0.25,9.571808
279,0.25,9.426196
280,0.75,5.0290465
281,0.25,6.384482
282,0.0,6.467693
283,2.25,13.532513
284,1.25,11.009819
285,0.5,7.851867
286,0.0,7.042877
