,SUB,0
206,25.0,50.433575
207,80.0,64.89584
208,100.0,73.978775
209,50.0,59.085674
210,90.0,78.01272
211,50.0,70.29298
212,80.0,52.56939
213,100.0,65.45922
214,100.0,54.40301
215,20.0,62.927746
216,45.0,56.073345
217,20.0,52.900433
218,45.0,74.29819
219,65.0,54.217484
220,90.0,62.93106
221,100.0,66.44764
222,100.0,74.385994
223,45.0,74.45552
224,35.0,58.87914
225,90.0,66.05962
226,65.0,72.57717
227,5.0,43.78393
228,45.0,52.729103
229,25.0,52.141796
230,25.0,63.170116
231,65.0,64.90237
232,65.0,65.30934
233,100.0,76.33616
234,90.0,69.318
235,80.0,67.74614
236,100.0,70.86273
237,80.0,77.744865
238,65.0,65.68067
239,25.0,68.241974
240,10.0,62.38176
241,95.0,63.573647
242,50.0,77.0033
243,50.0,55.63418
244,45.0,52.927494
245,50.0,64.46718
246,45.0,50.257023
247,85.0,60.877167
248,65.0,56.75369
249,25.0,63.600513
250,45.0,71.55174
251,65.0,68.47641
252,15.0,63.826305
253,15.0,64.883354
254,45.0,59.829357
255,5.0,60.444485
256,90.0,80.1998
257,80.0,79.55387
258,100.0,74.443085
259,45.0,68.11408
260,25.0,56.23977
261,50.0,72.56369
262,100.0,75.33591
263,90.0,74.76599
264,85.0,65.37734
265,50.0,61.591045
266,85.0,74.052826
267,20.0,61.87439
268,25.0,63.1375
269,15.0,74.731186
270,35.0,49.36919
271,45.0,61.71258
272,25.0,54.33995
273,95.0,69.17923
274,85.0,71.56869
275,45.0,59.48975
276,50.0,75.31738
277,10.0,61.329544
278,100.0,71.79201
279,45.0,61.204044
280,15.0,54.217617
281,90.0,68.0645
282,45.0,71.32005
283,20.0,55.870575
284,65.0,68.43743
285,100.0,66.48745
286,80.0,79.61503
287,80.0,67.97018
288,90.0,71.49514
289,35.0,52.187126
290,25.0,61.953022
291,95.0,60.314507
292,90.0,54.578762
293,95.0,75.08236
294,50.0,70.94883
295,25.0,56.972534
296,25.0,71.19453
297,25.0,52.82758
298,45.0,68.37682
299,50.0,51.511868
300,45.0,68.571724
301,65.0,66.15663
302,65.0,67.13651
303,90.0,60.045094
304,15.0,75.85059
305,100.0,67.968155
306,45.0,72.23305
307,25.0,59.190178
308,45.0,55.260113
309,90.0,60.17517
310,80.0,62.39182
311,65.0,62.445625
312,45.0,55.444664
313,50.0,72.126114
314,65.0,68.18164
315,100.0,82.211296
316,25.0,66.24671
317,45.0,74.522484
318,50.0,53.539608
319,50.0,56.62483
320,80.0,75.28933
321,70.0,73.08213
322,25.0,62.670593
323,100.0,72.87679
324,100.0,64.91352
325,80.0,57.52781
326,15.0,61.55662
327,100.0,74.998
328,65.0,64.14937
329,70.0,67.42412
330,70.0,66.452255
331,70.0,74.03163
332,50.0,53.85548
333,100.0,65.12326
334,80.0,67.57048
335,45.0,69.8067
336,90.0,68.24757
337,80.0,66.67011
338,65.0,73.416885
339,50.0,65.40066
340,5.0,68.57952
341,45.0,56.880474
342,100.0,66.37464
343,45.0,60.65128
344,80.0,76.623886
345,50.0,70.672485
346,90.0,82.95507
347,65.0,70.059875
348,25.0,69.627106
349,5.0,56.82035
350,90.0,71.637115
351,80.0,71.281364
352,25.0,56.457073
353,80.0,80.3265
354,100.0,66.34408
355,5.0,73.192276
356,50.0,60.030678
357,85.0,74.83659
358,80.0,69.0405
359,25.0,60.93712
360,85.0,65.21345
361,90.0,64.23548
362,65.0,73.05951
363,90.0,69.61159
364,65.0,66.49522
365,65.0,64.53771
366,45.0,64.745544
367,35.0,59.198277
368,20.0,54.0956
369,65.0,69.49525
370,65.0,67.37895
371,50.0,59.930927
372,25.0,65.84691
373,80.0,71.14213
374,80.0,81.97915
375,25.0,74.05619
376,65.0,84.26235
377,15.0,66.2273
378,100.0,72.52882
379,10.0,73.84813
380,70.0,64.2906
381,90.0,72.81978
382,65.0,71.35336
383,50.0,52.563885
384,45.0,65.295296
385,80.0,77.94499
386,65.0,60.482853
387,100.0,70.15132
388,25.0,62.96501
389,100.0,68.98726
390,65.0,65.20675
391,25.0,75.75159
392,95.0,68.28915
393,35.0,68.66795
394,90.0,51.887146
395,20.0,59.56237
396,50.0,58.42192
397,70.0,76.11202
398,90.0,66.003044
399,100.0,67.169
400,50.0,58.823284
401,100.0,68.62804
402,45.0,58.27487
403,25.0,53.075542
404,65.0,61.86901
405,65.0,63.50452
406,70.0,56.865387
407,100.0,73.009705
408,45.0,60.44326
409,20.0,58.01274
410,80.0,60.34334
411,20.0,68.43801
412,65.0,64.1502
413,50.0,61.518196
414,85.0,64.53767
415,5.0,71.131256
416,15.0,60.02553
417,65.0,62.672028
418,45.0,54.753296
419,25.0,58.058975
420,45.0,70.04289
421,65.0,76.96079
422,25.0,63.31629
423,45.0,61.978443
424,80.0,69.66004
425,65.0,65.12005
426,10.0,71.427345
427,85.0,72.31434
428,20.0,69.11686
429,85.0,79.79401
430,65.0,67.63491
431,45.0,60.97267
432,100.0,66.11844
433,25.0,56.564682
434,100.0,77.800865
435,65.0,63.177807
436,80.0,64.51866
437,15.0,55.730762
438,70.0,71.304
439,65.0,61.52106
440,90.0,75.8732
441,70.0,72.30226
442,70.0,74.0054
443,45.0,54.600403
444,80.0,60.169933
445,25.0,72.11423
446,100.0,67.36897
447,65.0,67.016106
448,90.0,67.43098
449,80.0,66.020355
450,80.0,78.0562
451,65.0,58.62608
452,85.0,71.60247
453,15.0,71.231155
454,50.0,68.0921
455,70.0,52.78365
456,25.0,67.092155
457,50.0,57.19138
458,65.0,71.135574
459,20.0,59.69472
460,20.0,67.56502
461,45.0,48.629208
462,65.0,66.93587
463,35.0,65.94264
464,45.0,67.7016
465,80.0,71.71506
466,85.0,61.20151
467,95.0,50.316452
468,100.0,69.36343
469,50.0,68.79736
470,70.0,69.15694
471,20.0,64.39827
472,100.0,69.23867
473,65.0,70.27356
474,100.0,66.10495
475,5.0,71.20528
476,90.0,62.03429
477,95.0,69.64117
478,80.0,68.13307
479,35.0,68.99468
480,35.0,52.248215
481,25.0,65.012856
482,65.0,67.35742
483,90.0,62.846684
484,85.0,77.88405
485,80.0,64.58183
486,80.0,69.034424
487,20.0,51.47003
488,80.0,76.63655
489,100.0,69.49852
490,80.0,75.42604
491,15.0,54.15951
492,90.0,73.354034
493,25.0,61.2272
494,50.0,68.79047
