,AUTISM,0
187,5.0,17.212643
188,4.0,15.401539
189,1.0,17.264027
190,2.0,15.278173
191,1.0,13.174913
192,3.0,16.757566
193,1.0,15.573596
194,3.0,14.489532
195,3.0,15.580423
196,7.0,14.055474
197,1.0,10.832676
198,10.0,17.292795
199,3.0,15.857952
200,11.0,21.81285
201,2.0,14.166765
202,15.0,20.332598
203,3.0,17.583841
204,3.0,17.267689
205,14.0,19.663471
206,3.0,16.09877
207,4.0,16.230612
208,5.0,16.909075
209,16.0,18.47889
210,8.0,15.650982
211,19.0,21.742088
212,4.0,17.426142
213,5.0,14.276401
214,5.0,17.585098
215,11.0,16.558798
216,7.0,15.523975
217,8.0,17.499035
218,3.0,15.539711
219,2.0,17.445396
220,2.0,14.064805
221,8.0,15.216479
222,5.0,15.659576
223,15.0,16.614372
224,5.0,16.509987
225,2.0,15.687069
226,8.0,17.174597
227,5.0,14.859806
228,1.0,14.290241
229,1.0,13.429672
230,1.0,13.07137
231,1.0,13.628571
232,19.0,24.946373
233,6.0,17.205738
234,1.0,14.700075
235,10.0,18.972555
236,2.0,13.3914585
237,1.0,13.629577
238,9.0,18.250933
239,13.0,22.233177
240,6.0,21.031258
241,3.0,16.402237
242,1.0,14.771266
243,2.0,14.006062
244,2.0,14.6410055
245,2.0,10.690828
246,15.0,21.875328
247,11.0,18.231474
248,6.0,16.334536
249,7.0,13.4802685
250,2.0,16.063229
251,9.0,15.995676
252,2.0,14.198042
253,2.0,14.242482
254,1.0,13.795284
255,9.0,20.422932
256,1.0,14.266996
257,13.0,18.221905
258,15.0,19.335535
259,6.0,16.523197
260,14.0,16.490559
261,12.0,20.754818
262,6.0,15.139071
263,2.0,12.922098
264,6.0,20.422026
265,12.0,16.954235
266,2.0,13.310177
267,2.0,15.022884
268,2.0,15.551622
269,13.0,18.77018
270,8.0,19.272343
271,3.0,14.034981
272,5.0,17.33544
273,1.0,12.829597
274,8.0,17.738201
275,3.0,15.607359
276,1.0,12.454166
277,8.0,17.67517
278,3.0,19.984627
279,12.0,16.64606
280,7.0,19.185354
281,4.0,18.254711
282,12.0,14.630695
283,4.0,13.689619
284,3.0,15.978149
285,1.0,14.749765
286,4.0,19.145178
287,2.0,16.10082
288,3.0,14.329567
289,9.0,16.909216
290,16.0,21.472357
291,3.0,16.250612
292,3.0,14.334736
293,11.0,19.23965
294,1.0,13.383276
295,13.0,19.743645
296,5.0,17.310919
297,10.0,18.928064
298,7.0,20.281507
299,2.0,13.542863
300,16.0,21.460722
301,3.0,19.035828
302,3.0,16.18489
303,2.0,12.989976
304,14.0,18.39568
305,1.0,16.760519
306,4.0,14.64041
