,INTIMACY_AVOIDANCE,0
160,0.5,21.516054
161,0.75,24.060225
162,2.25,25.070623
163,0.0,20.532528
164,2.25,26.809671
165,0.75,23.351683
166,1.0,22.370962
167,1.75,21.952372
168,0.0,21.573168
169,0.25,23.579718
170,1.0,23.994387
171,0.25,21.137262
172,0.5,21.074326
173,0.75,20.721712
174,0.0,15.791899
175,0.0,21.599281
176,2.25,28.498667
177,0.5,23.877645
178,0.0,17.453753
179,1.5,25.20575
180,0.75,19.920765
181,0.0,18.912191
182,0.0,20.056112
183,0.0,21.925035
184,3.0,26.006939
185,1.75,22.882162
186,0.75,22.441782
187,1.25,22.0662
188,0.0,20.557482
189,2.25,22.574406
190,2.0,24.604975
191,0.0,17.20463
192,0.75,20.223581
193,0.75,15.821635
194,1.75,24.000658
195,1.75,21.640549
196,1.25,22.885946
197,1.25,20.838488
198,0.5,19.572287
199,2.25,24.923658
200,0.0,19.137774
201,0.0,20.73985
202,0.75,17.985199
203,0.25,23.026842
204,2.25,23.515392
205,3.0,26.171257
206,1.25,23.304926
207,0.25,23.400288
208,0.5,21.496712
209,2.0,24.86423
210,0.5,22.18747
211,2.75,25.35915
212,0.75,21.046053
213,1.5,24.55217
214,1.5,18.90742
215,0.75,21.033709
216,2.75,25.214434
217,1.25,22.8584
218,1.75,22.328465
219,0.25,21.8393
220,0.25,22.043255
221,0.0,22.495533
222,1.5,22.431492
223,1.5,24.241594
224,2.0,25.082731
225,1.75,27.573423
226,2.25,22.505442
227,2.0,21.514069
228,2.25,21.053675
229,0.0,21.161919
230,1.25,24.377932
231,1.5,25.031311
232,1.25,21.119482
233,1.5,23.346754
234,1.5,19.726046
235,1.0,23.977892
236,0.75,19.970867
237,0.5,20.786589
238,0.75,20.97471
239,1.25,21.934092
240,0.0,25.276224
241,3.0,27.032412
242,2.25,24.996208
243,0.5,23.493134
244,1.75,21.319143
245,1.25,21.113081
246,2.25,24.251883
247,0.75,25.35586
248,1.75,24.583273
249,2.25,26.85163
250,0.5,22.980999
251,1.25,23.767588
252,0.25,20.92995
253,1.75,15.102267
254,0.0,20.585215
255,1.5,22.590519
256,0.0,19.0606
257,0.0,16.621378
258,0.25,21.40135
