,TRAUMA_PAST,0
255,16.0,33.51024
256,10.0,23.283798
257,0.0,24.903452
258,0.0,28.689165
259,8.0,31.63327
260,8.0,24.445446
261,18.0,30.189528
262,26.0,29.707642
263,16.0,24.943455
264,40.0,38.359818
265,8.0,27.363745
266,38.0,38.509525
267,23.0,34.847057
268,3.0,28.275644
269,5.0,32.731964
270,24.0,31.58959
271,3.0,29.537554
272,21.0,31.070093
273,0.0,28.119148
274,22.0,30.792044
275,0.0,29.418766
276,12.0,26.806196
277,10.0,29.692226
278,3.0,28.710209
279,3.0,26.703459
280,14.0,28.88411
281,10.0,29.47856
282,0.0,22.019382
283,3.0,25.024574
284,16.0,30.685139
285,13.0,29.214096
286,0.0,31.316963
287,10.0,30.1044
288,21.0,33.123352
289,3.0,30.4292
290,0.0,29.274822
291,6.0,25.222567
292,0.0,27.166655
293,0.0,25.484987
294,18.0,27.424095
295,0.0,27.44891
296,27.0,26.03206
297,26.0,33.935184
298,0.0,29.94607
299,0.0,28.06538
300,20.0,31.953869
301,13.0,31.697605
302,20.0,27.400679
303,25.0,29.784906
304,3.0,29.795029
305,13.0,27.116432
306,32.0,31.329723
307,0.0,22.897753
308,0.0,28.691133
309,0.0,26.56081
310,0.0,27.455252
311,15.0,29.582472
312,10.0,28.446426
313,15.0,30.526865
314,3.0,29.042599
315,5.0,27.473806
316,17.0,27.038702
317,5.0,28.809198
318,24.0,33.35987
319,0.0,24.47493
320,10.0,30.153467
321,0.0,25.555788
322,1.0,29.239264
323,22.0,28.675058
324,0.0,30.11538
325,12.0,31.261803
326,3.0,26.763628
327,4.0,32.486362
328,0.0,25.368465
329,0.0,27.72467
330,11.0,29.17231
331,21.0,30.501709
332,26.0,27.500578
333,25.0,30.871286
334,32.0,34.01186
335,0.0,23.094318
336,26.0,30.37528
337,13.0,29.871077
338,3.0,26.926874
339,0.0,27.140043
340,0.0,24.71659
341,0.0,25.154392
342,13.0,31.420128
343,10.0,31.255726
344,10.0,30.25972
345,9.0,23.21266
346,17.0,28.989494
347,0.0,24.523588
348,11.0,29.900898
349,0.0,21.777578
350,10.0,25.046068
351,8.0,27.597286
352,18.0,27.299969
353,18.0,27.896177
354,0.0,26.903996
355,6.0,24.891483
356,15.0,26.037487
357,13.0,30.094036
358,8.0,29.083838
359,0.0,24.9252
360,0.0,25.617558
361,18.0,31.318115
362,0.0,28.487097
363,5.0,31.877571
364,37.0,36.365196
365,26.0,35.189697
366,0.0,28.563755
367,0.0,24.181065
368,6.0,29.093338
369,0.0,31.006716
370,24.0,31.556221
371,26.0,32.929367
372,0.0,26.047348
373,25.0,30.734653
374,24.0,32.98057
375,0.0,23.667032
376,26.0,31.62665
377,11.0,30.572327
378,18.0,28.430925
379,30.0,31.095581
