,NEG_EMOT,0
137,54.0,24.099827
138,68.0,22.318272
139,68.0,25.896498
140,47.0,21.958282
141,68.0,20.129374
142,33.0,20.456598
143,37.0,16.305115
144,51.0,23.313326
145,58.0,19.932419
146,58.0,23.00704
147,51.0,22.044712
148,54.0,20.502668
149,72.0,27.25945
150,51.0,24.01048
151,47.0,19.178589
152,37.0,22.754679
153,65.0,24.465967
154,51.0,20.63761
155,58.0,24.994638
156,54.0,23.410013
157,65.0,22.133852
158,40.0,17.978155
159,37.0,18.458899
160,51.0,20.563046
161,33.0,21.079477
162,44.0,19.613752
163,44.0,18.170282
164,61.0,22.571154
165,65.0,22.418161
166,79.0,27.615112
167,68.0,27.727266
168,51.0,20.43051
169,44.0,20.877762
170,51.0,17.82259
171,54.0,21.158648
172,68.0,23.477682
173,72.0,25.042067
174,58.0,23.934458
175,37.0,18.956482
176,33.0,19.766306
177,44.0,21.0713
178,72.0,20.716078
179,54.0,22.331802
180,54.0,19.042526
181,44.0,21.516546
182,44.0,19.571102
183,61.0,24.000631
184,44.0,18.669397
185,58.0,24.57554
186,47.0,21.7432
187,68.0,21.762959
188,40.0,20.119026
189,54.0,23.915144
190,58.0,20.383715
191,54.0,24.573397
192,61.0,25.480837
193,44.0,17.475868
194,51.0,24.427782
195,72.0,26.54343
196,54.0,25.643679
197,51.0,22.870739
198,65.0,21.00142
199,44.0,19.840439
200,61.0,21.207678
201,33.0,20.009266
202,37.0,18.797731
203,37.0,18.68676
204,37.0,22.419035
205,65.0,22.39968
206,65.0,24.165504
207,54.0,22.358618
208,51.0,24.614733
209,58.0,21.361906
210,47.0,18.785614
211,33.0,21.801933
212,61.0,23.328804
213,51.0,24.616276
214,47.0,22.356647
215,61.0,21.487007
216,37.0,23.009874
217,47.0,22.53126
218,61.0,17.98116
219,44.0,14.772387
220,54.0,23.547544
221,51.0,22.835585
222,61.0,25.00508
223,68.0,24.262423
224,61.0,22.498997
225,58.0,22.655766
226,54.0,23.644047
227,40.0,17.793287
228,37.0,18.479757
229,58.0,25.689966
230,51.0,21.192486
231,47.0,22.25963
232,61.0,24.253193
233,47.0,16.542927
234,37.0,18.016533
235,37.0,21.091902
236,54.0,22.64773
237,58.0,22.719894
238,51.0,19.95753
239,54.0,18.988035
240,40.0,17.965033
241,51.0,20.727694
242,44.0,22.80328
243,47.0,21.360994
244,51.0,20.356678
245,72.0,28.598398
246,54.0,22.475077
247,33.0,16.65645
248,51.0,23.55706
249,68.0,28.656002
250,51.0,23.99845
251,40.0,23.00767
252,37.0,17.831627
253,47.0,17.082476
254,61.0,24.787687
255,72.0,21.135248
256,54.0,16.532476
257,47.0,21.031012
