,CHRONIC,0
135,2.117647059,14.606697
136,2.058823529,17.746716
137,2.882352941,19.492958
138,1.176470588,11.990417
139,1.588235294,15.731081
140,2.0,21.898754
141,2.71,17.360725
142,3.176470588,20.007568
143,2.35,14.667593
144,1.352941176,10.494467
145,2.47,17.6818
146,2.764705882,15.8553295
147,2.117647059,17.160873
148,1.352941176,14.571778
149,2.470588235,14.484629
150,2.588235294,13.55209
151,2.41,15.443509
152,2.294117647,15.670473
153,1.823529412,14.207131
154,3.235294118,20.54685
155,2.0,15.138806
156,1.294117647,15.647517
157,2.82,17.069534
158,1.588235294,13.402587
159,2.647058824,19.51297
160,1.705882353,13.612183
161,2.176470588,16.038979
162,1.705882353,13.540287
163,3.0,16.849552
164,2.117647059,18.26263
165,1.117647059,15.019356
166,1.823529412,13.333038
167,1.59,10.272718
168,2.12,14.623062
169,2.0,17.045734
170,1.882352941,13.478769
171,3.411764706,17.59274
172,1.470588235,13.431224
173,2.941176471,22.490042
174,1.352941176,16.255234
175,2.764705882,15.138678
176,1.176470588,13.698755
177,2.764705882,16.912647
178,2.176470588,14.220894
179,2.76,19.027056
180,1.588235294,14.735039
181,1.529411765,15.069326
182,2.117647059,13.805775
183,1.294117647,14.637362
184,1.352941176,16.061956
185,1.352941176,16.40937
186,2.235294118,17.408312
187,1.352941176,14.163454
188,2.235294118,12.081186
189,1.176470588,11.894695
190,1.294117647,11.954676
191,1.352941176,8.905759
192,1.352941176,11.410919
193,1.882352941,14.433071
194,1.764705882,15.560862
195,2.47,17.476217
196,2.647058824,18.685577
197,2.411764706,17.119652
198,1.882352941,15.94543
199,1.88,17.484457
200,2.941176471,17.305397
201,1.647058824,20.64875
202,2.0,16.687063
203,1.65,16.070948
204,3.235294118,19.80716
205,2.88,18.062775
206,1.764705882,14.1231365
207,1.764705882,13.731035
208,1.176470588,13.137234
209,2.82,16.557766
210,1.470588235,13.327208
211,2.411764706,19.377762
212,2.529411765,20.093842
213,2.176470588,17.249212
214,2.647058824,16.106697
215,3.058823529,14.70404
216,2.176470588,15.545235
217,2.352941176,17.052128
218,1.941176471,13.904101
219,2.058823529,15.944401
220,1.176470588,15.053502
221,1.588235294,11.256407
222,1.235294118,15.856874
223,2.352941176,17.128698
224,2.29,18.51495
225,1.647058824,15.541199
226,1.764705882,13.395973
227,2.941176471,21.28113
228,2.470588235,17.857769
229,2.47,17.361607
230,1.529411765,17.21212
231,2.294117647,16.55741
232,2.41,17.3613
233,2.82,19.036263
234,2.82,20.041073
235,1.941176471,13.66092
236,1.235294118,18.295126
