,ECCENTRICITY,0
184,0.25,12.631319
185,1.0,10.817933
186,1.0,11.80113
187,0.75,12.384829
188,1.25,9.50979
189,2.25,11.851513
190,0.0,13.256229
191,0.5,6.70304
192,0.75,10.018664
193,2.25,15.762434
194,1.25,14.956865
195,0.0,10.854823
196,0.75,13.136199
197,0.75,9.502335
198,2.25,16.758665
199,0.0,10.35215
200,0.0,10.625752
201,3.0,15.56013
202,2.25,13.058533
203,0.0,9.193642
204,0.0,10.647684
205,1.5,13.149864
206,0.0,8.49575
207,1.5,12.065083
208,0.0,10.614231
209,0.0,8.136517
210,0.0,9.097738
211,0.75,9.565389
212,0.0,8.327169
213,0.0,13.1197605
214,0.0,7.146398
215,0.0,7.9665036
216,0.0,6.5744324
217,0.25,7.997875
218,0.25,11.946505
219,2.0,15.524085
220,1.75,13.557474
221,0.0,11.615534
222,0.75,10.913481
223,1.0,11.093562
224,0.5,9.477699
225,0.0,10.515068
226,0.5,10.480209
227,0.25,8.577449
228,1.0,11.7627
229,0.25,16.320337
230,0.0,7.929676
231,0.75,9.751022
232,0.5,16.781065
233,1.25,11.005171
234,0.0,13.278893
235,0.5,12.592289
236,0.0,7.090887
237,0.0,4.6447315
238,0.0,5.2116127
239,0.0,11.762859
240,0.0,8.857314
241,0.0,10.296831
242,0.75,9.481803
243,0.0,8.932902
244,0.0,8.077079
245,0.25,8.293767
246,2.5,14.167606
247,1.25,12.843541
248,1.0,12.45206
249,2.5,11.358709
250,1.0,10.347954
251,2.0,12.668842
252,1.5,12.633764
253,0.25,10.854117
254,1.25,17.08743
255,0.0,8.483221
256,1.0,13.25745
257,0.0,11.031626
258,2.5,15.187328
259,1.25,11.884564
260,1.75,10.937094
261,1.0,13.426694
262,0.75,7.614646
263,2.0,12.354175
264,1.5,12.455282
265,2.0,15.335529
266,0.0,4.7558365
267,0.5,8.458629
268,1.0,8.862944
269,0.75,13.705224
270,1.25,13.411957
271,1.25,7.550909
272,0.0,11.874978
273,0.0,8.776151
274,0.5,12.77265
275,1.0,12.86113
276,0.75,9.488838
277,0.25,10.102823
278,0.0,9.895435
279,2.75,16.372898
280,0.0,5.7750816
281,0.0,9.913119
282,2.0,12.206495
283,2.25,11.681433
284,1.0,9.8256445
285,0.25,7.9307957
286,0.75,9.271745
287,1.75,13.017982
288,0.5,11.206441
289,0.0,12.873312
290,2.5,14.793173
291,0.25,10.654038
292,0.75,14.922297
293,0.5,10.3122
294,0.25,11.338837
295,0.0,8.898153
296,0.75,12.456814
297,0.25,9.531364
298,0.75,11.204466
299,1.5,11.745083
300,0.0,7.315358
301,0.0,10.219449
302,0.0,7.193101
303,1.25,13.135384
304,0.0,10.592766
305,0.75,11.536913
306,0.5,11.410009
307,0.0,9.677875
308,0.0,13.499033
309,0.25,7.8990126
310,1.0,9.648509
311,1.5,10.932995
312,2.5,17.319784
313,0.75,8.991854
314,0.0,10.054781
315,2.75,11.828552
316,0.5,15.186615
317,1.25,11.255053
318,0.25,10.955547
319,1.25,5.3531857
320,1.5,15.35891
321,1.25,17.766195
322,0.0,9.161123
323,0.75,10.754336
324,0.25,9.505648
325,0.5,11.414258
326,0.0,7.90169
327,0.0,9.764399
328,0.75,10.524216
329,0.0,5.4677563
330,0.25,11.247684
331,0.0,7.7646646
332,1.75,14.824044
333,1.75,8.792431
334,3.0,14.241472
335,1.75,16.434612
336,0.25,9.289162
337,0.25,9.709953
338,0.25,10.699352
339,2.25,13.404539
340,0.0,8.289619
341,2.75,15.917206
342,2.0,15.197293
343,1.25,11.634182
344,0.25,7.547781
345,2.0,14.887964
346,0.75,11.0415745
347,2.25,12.124458
348,2.0,12.109112
349,1.25,13.039407
350,0.0,11.057613
351,2.0,14.669025
352,0.0,13.13204
353,0.0,10.5356865
354,1.5,14.763189
355,0.0,8.736307
356,0.0,10.421129
357,0.0,12.459373
358,0.0,10.398096
359,2.5,10.521692
360,0.0,7.8845177
361,0.0,8.867242
362,0.0,11.879174
363,1.75,12.721731
364,0.5,10.058575
365,1.25,12.282942
366,2.25,15.910784
367,0.5,11.869482
368,0.0,10.448156
369,1.25,7.606097
370,0.0,11.157618
371,0.5,8.70742
372,0.0,8.110646
373,0.5,10.557944
374,0.5,7.455886
375,0.0,7.0537834
376,0.0,18.217583
377,0.0,11.565147
378,0.25,14.247133
379,1.0,12.317385
380,0.5,9.729953
381,2.25,14.644327
382,0.25,5.6820416
383,1.0,12.800276
384,0.0,7.140304
385,0.5,6.368744
386,0.0,13.273926
387,0.0,9.824235
388,0.5,9.652988
389,1.5,9.463066
390,1.5,9.778018
391,2.5,11.174508
392,3.0,13.08182
393,1.0,9.185171
394,0.0,11.922442
395,0.75,7.944763
396,0.25,8.712438
397,0.25,7.2854495
398,1.0,13.026701
399,0.0,4.5637894
400,0.0,10.311065
401,2.5,11.409518
402,0.75,9.950029
403,0.0,6.1193247
404,2.5,17.332083
405,0.75,9.158777
406,0.25,12.019138
407,0.0,7.451366
408,0.75,7.7388325
409,0.5,9.16453
410,1.25,14.172552
411,2.25,14.553404
412,0.0,8.807709
413,0.0,12.430343
414,2.5,13.707457
415,0.0,11.638403
