,SUICIDE,0
145,0.0,55.063614
146,0.0,39.61756
147,0.0,32.336525
148,0.0,30.27759
149,0.0,15.641064
150,0.0,22.520168
151,0.0,40.259693
152,0.0,33.725616
153,0.0,44.05802
154,0.0,41.444252
155,0.0,35.67647
156,0.0,32.253983
157,0.0,41.168995
158,0.0,35.6799
159,0.0,31.11007
160,0.0,30.695229
161,0.0,38.344616
162,0.0,42.492607
163,0.0,33.590633
164,0.0,32.785282
165,0.0,35.463932
166,0.0,32.917614
167,0.0,28.512493
168,0.0,19.464695
169,0.0,42.95681
170,0.0,20.06319
171,0.0,27.26137
172,2.0,51.237106
173,0.0,35.665974
174,0.0,45.318672
175,0.0,48.09563
176,0.0,39.267586
177,0.0,30.78251
178,0.0,36.184258
179,0.0,52.47693
180,0.0,20.785027
181,3.0,62.827908
182,0.0,33.475933
183,0.0,19.74841
184,0.0,41.314392
185,0.0,24.514902
186,0.0,43.407772
187,1.0,40.075226
188,0.0,23.43606
189,0.0,28.49907
190,0.0,24.588963
191,0.0,40.443848
192,0.0,32.570118
193,0.0,19.828001
194,0.0,24.035688
195,0.0,46.304405
196,0.0,27.457968
197,0.0,51.46046
198,0.0,42.350353
199,2.0,30.311373
200,0.0,23.13851
201,0.0,33.629467
202,0.0,43.573936
203,0.0,38.93899
204,1.0,55.293304
205,0.0,35.75724
206,0.0,33.721317
207,0.0,41.303665
208,0.0,31.855955
209,0.0,39.682922
210,0.0,33.69241
211,0.0,30.809237
212,1.0,51.96251
213,0.0,40.67756
214,0.0,46.847546
215,0.0,24.598995
216,0.0,22.397308
217,0.0,38.293198
218,0.0,27.738567
219,0.0,37.15528
220,0.0,39.85793
221,0.0,44.090717
222,0.0,34.382057
223,0.0,48.473885
224,0.0,38.570236
225,0.0,38.269592
226,0.0,41.666275
227,0.0,28.567522
228,0.0,36.59127
229,0.0,58.47069
230,0.0,29.357939
231,1.0,41.177006
232,0.0,36.454285
233,0.0,38.85336
234,0.0,33.46172
235,0.0,48.061302
236,0.0,29.855162
237,0.0,32.520203
238,0.0,40.324368
239,0.0,47.072598
240,0.0,21.570486
241,4.0,57.620045
242,0.0,40.611828
243,0.0,34.27507
244,0.0,44.797256
245,0.0,37.35747
246,0.0,22.123922
247,0.0,21.973078
248,0.0,26.372494
249,0.0,33.269936
250,0.0,45.916203
251,0.0,50.65838
252,0.0,27.982662
253,3.0,49.590343
254,0.0,31.888556
255,0.0,45.646187
256,0.0,27.041958
257,0.0,43.50916
258,0.0,35.33298
259,0.0,36.53315
260,0.0,26.531864
261,0.0,23.804108
262,0.0,32.19606
263,0.0,39.30363
264,0.0,35.272015
265,0.0,40.69344
266,0.0,43.957794
267,0.0,40.810966
268,1.0,43.823345
269,0.0,45.38719
270,0.0,31.043823
271,0.0,39.407387
272,0.0,28.840616
273,4.0,26.592651
274,0.0,41.217525
275,0.0,33.62542
276,0.0,28.12921
277,0.0,38.15323
278,0.0,41.70733
279,0.0,39.91541
280,1.0,34.79338
281,2.0,67.7981
282,1.0,62.67386
283,3.0,40.437054
284,0.0,34.94212
285,0.0,36.99764
286,0.0,24.27662
287,0.0,27.282526
288,1.0,40.497887
289,0.0,27.58265
290,0.0,28.970192
291,0.0,40.194393
292,6.0,48.123127
293,0.0,34.612465
294,0.0,40.72246
295,3.0,50.34996
296,0.0,32.38061
297,0.0,36.362892
298,0.0,41.39622
299,0.0,25.635868
300,0.0,24.105312
301,0.0,34.298428
302,0.0,39.96153
303,0.0,33.39878
304,0.0,44.18145
305,0.0,35.51435
306,0.0,39.703354
307,0.0,37.53371
308,0.0,28.301323
309,0.0,52.064037
310,0.0,25.734936
311,0.0,28.809244
312,0.0,33.910255
313,0.0,14.022912
314,0.0,32.999157
315,5.0,48.589146
316,0.0,48.965378
317,0.0,42.573406
318,0.0,25.69692
319,0.0,26.629824
320,0.0,27.378647
321,0.0,32.691708
322,0.0,48.06272
323,0.0,46.906055
324,0.0,41.405685
325,0.0,36.097782
326,0.0,42.182507
327,0.0,60.85449
328,0.0,28.408756
329,0.0,34.444935
330,0.0,35.028347
331,0.0,33.79056
332,1.0,60.751194
333,0.0,17.631945
334,0.0,28.61796
335,0.0,41.601555
336,4.0,41.67504
337,2.0,41.529854
338,2.0,46.783443
339,0.0,34.391743
340,0.0,43.00188
341,0.0,44.821266
342,0.0,22.021322
343,0.0,43.599167
344,0.0,28.513208
345,0.0,32.193966
346,0.0,23.31659
